team,rating,year
BOS,3.2221126501520874,2011
POR,2.366033756157792,2011
LAL,6.708523610784802,2011
GSW,-1.0516397311167138,2011
DEN,5.919427576312158,2011
SAS,4.18749759471407,2011
DAL,4.141130237067718,2011
OKC,5.725457077502765,2011
NOH,0.8859144236279688,2011
MIN,-6.690728017265955,2011
MEM,4.151390672944371,2011
TOR,-7.9896879650408525,2011
PHI,2.273197662697955,2011
NJN,-7.020937836459111,2011
CLE,-9.002892076153818,2011
LAC,-1.6757211969359358,2011
UTA,-4.584338689793727,2011
ORL,5.917368723917058,2011
CHO,-2.945593518485543,2011
DET,-3.4547092029057813,2011
MIA,5.482085278213193,2011
PHX,-0.4006858408416173,2011
MIL,-1.1397183304171692,2011
HOU,3.134551182551135,2011
CHI,7.275674017207559,2011
NYK,0.5509533414518687,2011
ATL,-2.6925836161596144,2011
IND,-1.6187432176778245,2011
SAC,-3.0128905461589444,2011
WAS,-8.339622130437435,2011
