team,rating,year
BOS,3.6719350343730155,2025
LAL,-1.289231165448691,2025
UTA,3.4833818428915917,2025
DET,1.1845897907023824,2025
ATL,-11.276484284325033,2025
MIA,7.8634604415778995,2025
PHI,4.9268115109252095,2025
TOR,-3.288522574710708,2025
HOU,3.821929734645633,2025
POR,5.70963912305626,2025
NOP,-9.051285016374045,2025
LAC,2.328297000095071,2025
WAS,1.6692859402888423,2025
DEN,7.122343863930459,2025
SAC,-5.669717386970455,2025
DAL,-7.14482769835102,2025
ORL,-6.738688226224071,2025
NYK,9.911736533133073,2025
CLE,10.967860786690228,2025
MIL,8.555130176405203,2025
SAS,7.755249542145551,2025
MIN,-5.876113183734321,2025
MEM,-5.9962827985055505,2025
PHX,-6.87670266315204,2025
CHO,0.0,2025
CHI,0.5484343043470792,2025
BRK,-4.388379435124218,2025
OKC,2.2970763247082675,2025
GSW,4.43834298132513,2025
IND,-12.306518344099185,2025
