team,rating,year
CLE,0.6590068267715995,2017
POR,1.3939540022447177,2017
GSW,10.866678395475448,2017
LAL,-6.864863593818828,2017
PHX,-4.794171708987704,2017
NOP,-0.6883436384069452,2017
MEM,1.225798408529727,2017
PHI,-4.295090931062013,2017
TOR,0.9887011561797276,2017
BOS,2.0214288280994763,2017
IND,0.1596116990359335,2017
ORL,-8.276512721829752,2017
MIL,-2.0257142865189857,2017
ATL,-0.7284074629491777,2017
CHI,0.20211543281424937,2017
SAC,-4.015109665205589,2017
DAL,-1.3791628439830392,2017
UTA,3.9869533750385275,2017
MIA,3.5961361570554162,2017
BRK,-5.71517616957404,2017
DET,-2.691611545676387,2017
OKC,1.158379065738556,2017
CHO,-0.9944998644520567,2017
NYK,-4.291420289545474,2017
SAS,6.822324952222166,2017
DEN,2.1548229881786014,2017
HOU,4.339578903793073,2017
LAC,3.7936876161936963,2017
MIN,0.2621970175612704,2017
WAS,3.3561214387011717,2017
