team,rating,year
NYK,3.767595091182057,2012
DAL,0.9481982301432927,2012
LAL,1.4648098644050267,2012
OKC,6.46385109985862,2012
GSW,-2.6958792248407555,2012
POR,-1.1279347468060241,2012
SAC,-3.562164921653496,2012
PHX,1.0211787180226244,2012
SAS,7.954974226299598,2012
IND,2.5988975686850426,2012
CLE,-8.382695600538126,2012
ORL,-0.10696481196180128,2012
CHO,-14.818693186614434,2012
WAS,-3.7637002288645425,2012
MIN,-2.711222933524525,2012
NJN,-6.137791910842628,2012
MIA,5.285852539249821,2012
MIL,0.7542146266604125,2012
NOH,-2.901120825755356,2012
DEN,2.504469985516056,2012
DET,-4.1392369315065904,2012
ATL,2.019131905922629,2012
TOR,-2.922975668109831,2012
MEM,2.4805836112079707,2012
HOU,0.5378717050653503,2012
LAC,3.1109684542828684,2012
UTA,0.6001819960406686,2012
BOS,3.2951858227268627,2012
CHI,6.888845916916037,2012
PHI,1.2533525517734994,2012
BRK,-6.137791910842628,2012
