rank,team,rating
1,OKC,11.27
2,CLE,8.04
3,BOS,6.81
4,MIN,5.58
5,LAC,4.45
6,DET,3.99
7,IND,3.7
8,DEN,3.34
9,HOU,3.2
10,GSW,2.69
11,LAL,2.23
12,MIL,1.69
13,NYK,1.68
14,MEM,1.43
15,SAC,0.01
16,POR,-0.17
17,MIA,-1.02
18,ATL,-1.05
19,CHI,-1.36
20,PHO,-2.18
21,SAS,-2.65
22,DAL,-2.88
23,ORL,-2.9
24,TOR,-3.34
25,NOP,-5.24
26,BRK,-5.88
27,PHI,-6.34
28,CHO,-7.32
29,UTA,-7.38
30,WAS,-9.54
