rank,team,rating
1,OKC,11.52
2,SAS,8.14
3,NYK,7.43
4,DET,7.32
5,BOS,6.87
6,DEN,4.34
7,HOU,4.19
8,CHO,3.83
9,CLE,3.59
10,MIN,3.03
11,TOR,2.29
12,MIA,2.21
13,LAL,1.66
14,ATL,1.58
15,PHX,1.35
16,LAC,0.97
17,ORL,0.91
18,POR,-0.59
19,PHI,-0.72
20,GSW,-0.76
21,NOP,-4.41
22,DAL,-5.31
23,CHI,-5.47
24,MEM,-6.13
25,MIL,-6.42
26,IND,-7.85
27,UTA,-8.61
28,BRK,-9.87
29,SAC,-9.92
30,WAS,-11.77
