Rank,Team,Record,EM Rating,Predictive Rating,Projected Record,AdjO,AdjD,Pace,RSOS,Playoffs,Conference Semis,Conference Finals,Finals,Champion
1,Oklahoma City Thunder,64-18,10.98,11.88,64.0-18.0,2.8,8.17,100.29,0.0,1.0,0.947,0.819,0.584,0.425
2,San Antonio Spurs,62-19,8.34,8.39,62.7-19.3,3.29,4.84,100.71,5.0,1.0,0.917,0.75,0.308,0.22
3,Boston Celtics,56-26,7.36,7.3,56.0-26.0,3.14,4.55,96.67,0.0,1.0,0.887,0.566,0.298,0.104
4,Detroit Pistons,60-22,7.53,6.98,60.0-22.0,2.34,5.29,99.6,0.0,1.0,0.773,0.556,0.342,0.123
5,New York Knicks,53-29,6.22,6.37,53.0-29.0,3.55,2.77,97.82,0.0,1.0,0.729,0.316,0.16,0.048
6,Denver Nuggets,53-28,4.78,5.0,53.3-28.7,7.63,-2.85,99.0,8.39,1.0,0.642,0.147,0.042,0.016
7,Houston Rockets,51-30,4.62,4.78,51.8-30.2,1.85,2.84,97.76,-10.65,1.0,0.47,0.078,0.025,0.004
8,Cleveland Cavaliers,52-30,3.77,4.57,52.0-30.0,3.72,-0.0,100.1,0.0,1.0,0.762,0.264,0.1,0.028
9,Atlanta Hawks,46-36,2.38,4.55,46.0-36.0,0.94,1.39,101.66,0.0,1.0,0.271,0.092,0.032,0.006
10,Charlotte Hornets,44-38,4.48,4.39,44.0-38.0,2.59,2.08,98.03,0.7,0.458,0.16,0.095,0.04,0.012
11,Toronto Raptors,46-36,2.75,3.51,46.0-36.0,-0.18,2.72,99.22,0.0,1.0,0.238,0.066,0.017,0.004
12,Minnesota Timberwolves,48-33,3.09,3.36,48.8-33.2,0.95,1.8,100.88,-4.22,1.0,0.444,0.091,0.016,0.005
13,Los Angeles Clippers,41-40,0.91,2.56,41.7-40.3,1.21,-0.46,97.29,-1.36,0.362,0.028,0.01,0.004,0.0
14,Orlando Magic,45-37,0.77,1.97,45.0-37.0,-0.26,1.17,100.55,0.38,0.695,0.103,0.029,0.006,0.002
15,Los Angeles Lakers,52-29,1.51,1.78,52.8-29.2,2.07,-0.57,98.76,-9.41,1.0,0.444,0.066,0.016,0.004
16,Phoenix Suns,45-37,1.72,1.07,45.0-37.0,-1.33,3.06,98.56,0.0,0.832,0.07,0.025,0.002,0.0
17,Portland Trail Blazers,41-40,-0.32,0.91,41.8-40.2,-2.24,1.98,101.66,-8.25,0.657,0.033,0.012,0.002,0.0
18,Miami Heat,43-39,2.35,0.7,43.0-39.0,1.14,1.13,103.58,4.39,0.084,0.014,0.004,0.002,0.0
19,Philadelphia 76ers,45-37,-0.28,0.38,45.0-37.0,-0.08,-0.16,100.31,1.97,0.763,0.063,0.012,0.003,0.0
20,Golden State Warriors,37-44,-0.34,-1.36,37.3-44.7,-0.54,0.29,99.71,2.56,0.149,0.006,0.002,0.0,0.0
21,New Orleans Pelicans,26-55,-4.32,-4.22,26.2-55.8,-1.0,-3.35,100.83,3.36,0.0,0.0,0.0,0.0,0.0
22,Chicago Bulls,31-50,-4.86,-5.45,31.4-50.6,-1.91,-2.83,102.31,-5.77,0.0,0.0,0.0,0.0,0.0
23,Indiana Pacers,19-63,-7.64,-5.61,19.0-63.0,-4.31,-3.28,101.22,0.0,0.0,0.0,0.0,0.0,0.0
24,Dallas Mavericks,25-56,-5.59,-5.77,25.6-56.4,-4.33,-1.17,102.11,-5.45,0.0,0.0,0.0,0.0,0.0
25,Milwaukee Bucks,32-50,-6.12,-7.16,32.0-50.0,-3.08,-3.29,98.37,0.0,0.0,0.0,0.0,0.0,0.0
26,Sacramento Kings,22-59,-9.59,-8.25,22.2-59.8,-4.07,-5.5,99.65,0.91,0.0,0.0,0.0,0.0,0.0
27,Utah Jazz,22-59,-7.92,-9.41,22.2-59.8,-0.14,-7.52,102.23,1.78,0.0,0.0,0.0,0.0,0.0
28,Memphis Grizzlies,25-56,-5.63,-10.65,25.2-56.8,-2.56,-2.9,101.64,4.78,0.0,0.0,0.0,0.0,0.0
29,Brooklyn Nets,20-62,-9.7,-11.25,20.0-62.0,-6.83,-3.12,97.61,0.0,0.0,0.0,0.0,0.0,0.0
30,Washington Wizards,17-65,-11.62,-11.29,17.0-65.0,-4.37,-7.08,101.83,0.0,0.0,0.0,0.0,0.0,0.0
