team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.989,0.009,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOU,0.008,0.382,0.242,0.142,0.095,0.059,0.027,0.017,0.011,0.014,0.002,0.001,0.0,0.0,0.0
MEM,0.001,0.273,0.217,0.209,0.113,0.078,0.046,0.026,0.022,0.009,0.002,0.004,0.0,0.0,0.0
DEN,0.001,0.207,0.223,0.189,0.126,0.086,0.059,0.04,0.04,0.016,0.008,0.005,0.0,0.0,0.0
DAL,0.001,0.042,0.108,0.109,0.145,0.138,0.131,0.111,0.08,0.07,0.042,0.022,0.001,0.0,0.0
MIN,0.0,0.03,0.079,0.107,0.138,0.142,0.16,0.112,0.081,0.076,0.046,0.027,0.002,0.0,0.0
LAC,0.0,0.024,0.046,0.076,0.089,0.122,0.125,0.147,0.136,0.09,0.076,0.063,0.005,0.001,0.0
LAL,0.0,0.01,0.03,0.062,0.093,0.112,0.133,0.138,0.127,0.11,0.113,0.066,0.006,0.0,0.0
SAC,0.0,0.01,0.018,0.031,0.078,0.091,0.111,0.116,0.127,0.145,0.142,0.124,0.006,0.001,0.0
GSW,0.0,0.008,0.023,0.041,0.055,0.075,0.094,0.134,0.124,0.152,0.164,0.115,0.013,0.002,0.0
PHO,0.0,0.005,0.009,0.029,0.048,0.063,0.082,0.101,0.16,0.16,0.175,0.152,0.014,0.002,0.0
SAS,0.0,0.0,0.003,0.005,0.02,0.034,0.032,0.058,0.091,0.152,0.214,0.33,0.055,0.005,0.001
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.029,0.32,0.367,0.28
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.013,0.044,0.341,0.349,0.248
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.018,0.237,0.273,0.471
