team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DET,0.745,0.149,0.064,0.03,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.1,0.329,0.263,0.186,0.081,0.027,0.012,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,0.088,0.307,0.264,0.188,0.092,0.039,0.015,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0
CLE,0.057,0.184,0.276,0.275,0.119,0.06,0.021,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0
TOR,0.008,0.015,0.05,0.15,0.249,0.216,0.154,0.103,0.044,0.01,0.001,0.0,0.0,0.0,0.0
PHI,0.001,0.014,0.052,0.095,0.211,0.258,0.167,0.117,0.05,0.029,0.005,0.001,0.0,0.0,0.0
ORL,0.001,0.001,0.014,0.027,0.101,0.165,0.234,0.184,0.156,0.085,0.028,0.003,0.001,0.0,0.0
MIA,0.0,0.001,0.014,0.039,0.098,0.145,0.203,0.223,0.167,0.085,0.022,0.003,0.0,0.0,0.0
ATL,0.0,0.0,0.002,0.005,0.021,0.071,0.118,0.198,0.264,0.207,0.096,0.018,0.0,0.0,0.0
CHO,0.0,0.0,0.001,0.005,0.016,0.018,0.063,0.12,0.23,0.319,0.17,0.057,0.001,0.0,0.0
MIL,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.021,0.042,0.129,0.329,0.451,0.02,0.001,0.001
CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.022,0.042,0.136,0.347,0.44,0.005,0.0,0.0
BRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.01,0.374,0.337,0.277
IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.321,0.31,0.359
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.278,0.352,0.363
