team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.831,0.116,0.034,0.014,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,0.067,0.274,0.248,0.202,0.105,0.055,0.033,0.008,0.006,0.002,0.0,0.0,0.0,0.0,0.0
SAS,0.06,0.303,0.252,0.153,0.11,0.077,0.03,0.007,0.006,0.002,0.0,0.0,0.0,0.0,0.0
HOU,0.028,0.18,0.213,0.251,0.158,0.09,0.05,0.016,0.009,0.005,0.0,0.0,0.0,0.0,0.0
MIN,0.009,0.074,0.145,0.153,0.217,0.193,0.108,0.059,0.028,0.009,0.005,0.0,0.0,0.0,0.0
LAL,0.004,0.033,0.049,0.106,0.137,0.189,0.174,0.141,0.073,0.045,0.029,0.014,0.006,0.0,0.0
MEM,0.001,0.002,0.004,0.018,0.057,0.093,0.14,0.182,0.2,0.146,0.085,0.044,0.023,0.004,0.001
GSW,0.0,0.016,0.039,0.074,0.145,0.168,0.189,0.132,0.106,0.076,0.037,0.015,0.003,0.0,0.0
LAC,0.0,0.0,0.001,0.006,0.013,0.035,0.077,0.159,0.182,0.214,0.176,0.098,0.028,0.008,0.003
DAL,0.0,0.0,0.0,0.003,0.005,0.011,0.026,0.056,0.108,0.14,0.211,0.247,0.132,0.047,0.014
POR,0.0,0.0,0.0,0.001,0.005,0.021,0.042,0.078,0.093,0.167,0.218,0.23,0.091,0.039,0.015
SAC,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.005,0.01,0.021,0.056,0.124,0.264,0.294,0.224
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.01,0.024,0.071,0.237,0.316,0.337
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.013,0.025,0.068,0.198,0.287,0.406
