team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.987,0.011,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOU,0.008,0.356,0.257,0.154,0.102,0.06,0.024,0.016,0.015,0.004,0.003,0.001,0.0,0.0,0.0
MEM,0.004,0.29,0.249,0.17,0.11,0.071,0.046,0.033,0.014,0.009,0.004,0.0,0.0,0.0,0.0
DEN,0.001,0.222,0.212,0.187,0.152,0.094,0.061,0.033,0.022,0.01,0.004,0.002,0.0,0.0,0.0
DAL,0.0,0.041,0.072,0.126,0.139,0.168,0.127,0.117,0.095,0.06,0.04,0.014,0.001,0.0,0.0
LAC,0.0,0.025,0.066,0.094,0.103,0.129,0.114,0.104,0.106,0.11,0.093,0.055,0.0,0.001,0.0
MIN,0.0,0.025,0.06,0.095,0.14,0.147,0.136,0.13,0.112,0.08,0.057,0.017,0.0,0.001,0.0
LAL,0.0,0.016,0.024,0.068,0.079,0.086,0.126,0.144,0.148,0.145,0.085,0.075,0.003,0.001,0.0
GSW,0.0,0.006,0.018,0.03,0.062,0.078,0.113,0.119,0.135,0.147,0.165,0.116,0.011,0.0,0.0
SAC,0.0,0.005,0.023,0.042,0.065,0.084,0.118,0.144,0.139,0.13,0.136,0.103,0.01,0.001,0.0
PHO,0.0,0.003,0.015,0.029,0.037,0.064,0.109,0.116,0.145,0.195,0.172,0.112,0.003,0.0,0.0
SAS,0.0,0.0,0.002,0.005,0.011,0.019,0.026,0.044,0.069,0.105,0.222,0.414,0.068,0.013,0.002
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.007,0.028,0.281,0.367,0.313
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.012,0.049,0.411,0.339,0.188
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.212,0.277,0.497
