team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,0.71,0.261,0.024,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,0.274,0.605,0.092,0.022,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.012,0.088,0.421,0.256,0.113,0.073,0.021,0.013,0.002,0.001,0.0,0.0,0.0,0.0,0.0
MEM,0.006,0.357,0.236,0.18,0.094,0.068,0.029,0.014,0.009,0.006,0.001,0.0,0.0,0.0,0.0
HOU,0.004,0.286,0.231,0.212,0.107,0.062,0.038,0.019,0.02,0.016,0.005,0.0,0.0,0.0,0.0
IND,0.004,0.032,0.247,0.296,0.212,0.095,0.056,0.035,0.02,0.003,0.0,0.0,0.0,0.0,0.0
DEN,0.0,0.262,0.282,0.195,0.107,0.067,0.033,0.036,0.008,0.007,0.002,0.001,0.0,0.0,0.0
MIN,0.0,0.026,0.075,0.084,0.132,0.159,0.148,0.128,0.1,0.076,0.056,0.014,0.002,0.0,0.0
DAL,0.0,0.024,0.055,0.105,0.177,0.168,0.145,0.1,0.105,0.048,0.055,0.017,0.001,0.0,0.0
LAC,0.0,0.021,0.044,0.08,0.12,0.126,0.163,0.106,0.121,0.101,0.081,0.031,0.006,0.0,0.0
MIL,0.0,0.012,0.145,0.204,0.241,0.152,0.119,0.068,0.039,0.018,0.001,0.001,0.0,0.0,0.0
SAC,0.0,0.008,0.031,0.049,0.08,0.107,0.131,0.142,0.133,0.122,0.122,0.07,0.004,0.001,0.0
LAL,0.0,0.005,0.024,0.047,0.08,0.103,0.107,0.154,0.14,0.16,0.105,0.067,0.008,0.0,0.0
MIA,0.0,0.001,0.031,0.063,0.121,0.204,0.195,0.176,0.123,0.061,0.021,0.004,0.0,0.0,0.0
ORL,0.0,0.001,0.025,0.09,0.158,0.216,0.21,0.156,0.095,0.039,0.01,0.0,0.0,0.0,0.0
PHO,0.0,0.001,0.009,0.021,0.042,0.062,0.104,0.126,0.14,0.2,0.17,0.105,0.017,0.003,0.0
ATL,0.0,0.0,0.013,0.044,0.094,0.158,0.181,0.186,0.178,0.093,0.042,0.009,0.002,0.0,0.0
GSW,0.0,0.0,0.012,0.023,0.056,0.059,0.079,0.135,0.14,0.158,0.175,0.143,0.014,0.005,0.001
DET,0.0,0.0,0.002,0.019,0.044,0.083,0.142,0.197,0.234,0.175,0.092,0.012,0.0,0.0,0.0
SAS,0.0,0.0,0.001,0.004,0.005,0.019,0.023,0.04,0.083,0.097,0.2,0.425,0.08,0.02,0.003
CHI,0.0,0.0,0.0,0.002,0.004,0.009,0.033,0.079,0.131,0.253,0.335,0.115,0.031,0.008,0.0
PHI,0.0,0.0,0.0,0.0,0.005,0.009,0.042,0.085,0.165,0.307,0.291,0.071,0.021,0.004,0.0
CHO,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.007,0.023,0.092,0.31,0.285,0.236,0.044
BRK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.016,0.062,0.291,0.329,0.245,0.051
TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.011,0.054,0.175,0.277,0.36,0.119
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.013,0.065,0.447,0.347,0.123
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.01,0.049,0.295,0.373,0.268
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.013,0.126,0.251,0.605
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.055,0.147,0.786
