team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.998,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,0.833,0.165,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,0.167,0.817,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEM,0.001,0.436,0.28,0.142,0.082,0.039,0.011,0.006,0.002,0.001,0.0,0.0,0.0,0.0,0.0
DEN,0.001,0.365,0.306,0.167,0.104,0.034,0.012,0.008,0.002,0.0,0.001,0.0,0.0,0.0,0.0
LAL,0.0,0.102,0.186,0.236,0.195,0.134,0.073,0.042,0.023,0.007,0.001,0.001,0.0,0.0,0.0
HOU,0.0,0.082,0.157,0.265,0.218,0.134,0.083,0.032,0.023,0.005,0.001,0.0,0.0,0.0,0.0
NYK,0.0,0.018,0.745,0.185,0.043,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,0.0,0.01,0.046,0.098,0.177,0.226,0.197,0.124,0.073,0.034,0.013,0.001,0.001,0.0,0.0
GSW,0.0,0.001,0.011,0.037,0.072,0.157,0.177,0.212,0.16,0.12,0.042,0.01,0.001,0.0,0.0
DAL,0.0,0.001,0.01,0.025,0.091,0.137,0.205,0.214,0.155,0.12,0.036,0.006,0.0,0.0,0.0
LAC,0.0,0.001,0.004,0.025,0.048,0.095,0.134,0.174,0.211,0.187,0.096,0.018,0.007,0.0,0.0
IND,0.0,0.0,0.173,0.495,0.233,0.068,0.022,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0
MIL,0.0,0.0,0.044,0.197,0.333,0.271,0.111,0.038,0.006,0.0,0.0,0.0,0.0,0.0,0.0
DET,0.0,0.0,0.02,0.109,0.286,0.338,0.163,0.068,0.015,0.001,0.0,0.0,0.0,0.0,0.0
ORL,0.0,0.0,0.0,0.009,0.039,0.104,0.267,0.285,0.234,0.052,0.009,0.001,0.0,0.0,0.0
MIA,0.0,0.0,0.0,0.005,0.032,0.131,0.248,0.308,0.189,0.071,0.012,0.004,0.0,0.0,0.0
SAC,0.0,0.0,0.0,0.004,0.012,0.04,0.09,0.134,0.248,0.256,0.16,0.046,0.01,0.0,0.0
PHO,0.0,0.0,0.0,0.001,0.001,0.004,0.017,0.043,0.081,0.194,0.391,0.197,0.071,0.0,0.0
ATL,0.0,0.0,0.0,0.0,0.033,0.077,0.175,0.248,0.343,0.081,0.03,0.008,0.005,0.0,0.0
BRK,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.017,0.087,0.174,0.362,0.335,0.02,0.001
CHI,0.0,0.0,0.0,0.0,0.0,0.001,0.014,0.025,0.118,0.401,0.263,0.131,0.046,0.001,0.0
PHI,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.016,0.068,0.241,0.365,0.208,0.099,0.002,0.0
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.007,0.013,0.051,0.152,0.352,0.412,0.012,0.0
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.025,0.107,0.368,0.472,0.015,0.0
TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.066,0.146,0.279,0.446,0.048,0.005
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.011,0.211,0.777
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.058,0.718,0.217
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.025,0.712,0.262
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.261,0.738
