date,week_number,games_completed,season_progress,favorite_team,favorite_odds,parity_index,top_5_share
2024-10-28,2,41,0.03106060606060606,BOS,0.265625,8.533333333333333,0.625
2024-11-04,3,93,0.07045454545454545,BOS,0.234375,9.061946902654867,0.625
2024-11-11,4,151,0.1143939393939394,BOS,0.171875,12.720496894409937,0.515625
2024-11-18,5,203,0.15378787878787878,BOS,0.28125,8.159362549800797,0.609375
2024-11-25,6,250,0.1893939393939394,BOS,0.296875,6.564102564102564,0.703125
2024-12-02,7,303,0.22954545454545455,BOS,0.203125,10.893617021276595,0.5625
2024-12-09,8,358,0.27121212121212124,BOS,0.296875,7.111111111111111,0.671875
2024-12-16,9,383,0.29015151515151516,BOS,0.21875,9.615023474178404,0.59375
2024-12-23,10,420,0.3181818181818182,BOS,0.21875,8.569037656903765,0.671875
2024-12-30,11,471,0.3568181818181818,BOS,0.234375,8.0,0.671875
2025-01-06,12,522,0.39545454545454545,BOS,0.34375,4.958837772397095,0.796875
2025-01-13,13,573,0.4340909090909091,BOS,0.203125,10.722513089005236,0.578125
2025-01-20,14,624,0.4727272727272727,BOS,0.265625,7.211267605633803,0.6875
2025-01-27,15,672,0.509090909090909,BOS,0.3125,6.585209003215434,0.671875
2025-02-03,16,725,0.5492424242424242,OKC,0.234375,7.876923076923077,0.6875
2025-02-10,17,780,0.5909090909090909,BOS,0.234375,7.474452554744525,0.671875
2025-02-17,18,814,0.6166666666666667,BOS,0.25,6.989761092150171,0.734375
2025-02-24,19,848,0.6424242424242425,BOS,0.28125,5.902017291066282,0.765625
2025-03-03,20,902,0.6833333333333333,BOS,0.3125,5.902017291066282,0.765625
2025-03-10,21,956,0.7242424242424242,BOS,0.28125,7.501831501831502,0.671875
2025-03-17,22,1012,0.7666666666666667,BOS,0.234375,6.942372881355932,0.75
2025-03-24,23,1065,0.8068181818181818,BOS,0.25,8.126984126984127,0.640625
2025-03-31,24,1117,0.8462121212121212,BOS,0.34375,4.796252927400468,0.8125
2025-04-07,25,1173,0.8886363636363637,BOS,0.34375,5.657458563535911,0.734375
2025-04-14,26,1230,0.9318181818181818,BOS,0.25,6.340557275541796,0.75
