simulation_date,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2024-10-28,0.046875,0.265625,0.0,0.0,0.0,0.046875,0.125,0.03125,0.0,0.015625,0.0,0.015625,0.03125,0.03125,0.03125,0.0,0.03125,0.0625,0.015625,0.03125,0.09375,0.078125,0.015625,0.03125,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04,0.0,0.234375,0.015625,0.015625,0.0,0.109375,0.03125,0.015625,0.0,0.03125,0.046875,0.046875,0.0,0.0,0.03125,0.0,0.03125,0.03125,0.015625,0.078125,0.15625,0.03125,0.015625,0.03125,0.0,0.015625,0.0,0.0,0.0,0.015625
2024-11-11,0.015625,0.171875,0.0,0.015625,0.0,0.046875,0.109375,0.0,0.0,0.078125,0.015625,0.03125,0.0,0.03125,0.046875,0.015625,0.03125,0.03125,0.0,0.078125,0.078125,0.03125,0.015625,0.0625,0.0,0.0625,0.015625,0.015625,0.0,0.0
2024-11-18,0.0,0.28125,0.0,0.0,0.0,0.109375,0.0625,0.0,0.015625,0.09375,0.03125,0.046875,0.03125,0.0,0.0,0.015625,0.03125,0.046875,0.0,0.046875,0.0625,0.046875,0.0,0.046875,0.0,0.015625,0.015625,0.0,0.0,0.0
2024-11-25,0.015625,0.296875,0.0,0.0,0.0,0.046875,0.0625,0.015625,0.0,0.03125,0.015625,0.015625,0.0,0.03125,0.015625,0.0625,0.046875,0.0,0.0,0.078125,0.203125,0.015625,0.0,0.0,0.015625,0.03125,0.0,0.0,0.0,0.0
2024-12-02,0.015625,0.203125,0.0,0.0,0.0,0.109375,0.0625,0.046875,0.0,0.03125,0.015625,0.03125,0.0,0.015625,0.046875,0.0,0.03125,0.046875,0.015625,0.109375,0.078125,0.0625,0.0,0.03125,0.0,0.03125,0.015625,0.0,0.0,0.0
2024-12-09,0.03125,0.296875,0.015625,0.0,0.0,0.015625,0.078125,0.015625,0.0,0.015625,0.03125,0.0,0.015625,0.015625,0.03125,0.03125,0.046875,0.0625,0.0,0.0625,0.171875,0.0,0.015625,0.03125,0.0,0.015625,0.0,0.0,0.0,0.0
2024-12-16,0.0,0.21875,0.0,0.0,0.0,0.078125,0.0625,0.0625,0.0,0.0,0.015625,0.015625,0.0,0.015625,0.015625,0.03125,0.046875,0.109375,0.0,0.046875,0.125,0.0,0.046875,0.0625,0.0,0.046875,0.0,0.0,0.0,0.0
2024-12-23,0.0,0.21875,0.0,0.0,0.0,0.09375,0.109375,0.015625,0.015625,0.0,0.0,0.03125,0.0,0.046875,0.078125,0.015625,0.046875,0.0,0.0,0.0625,0.171875,0.03125,0.03125,0.0,0.0,0.0,0.0,0.015625,0.015625,0.0
2024-12-30,0.046875,0.234375,0.0,0.015625,0.0,0.0625,0.140625,0.015625,0.0,0.03125,0.03125,0.03125,0.015625,0.0,0.03125,0.015625,0.03125,0.0,0.0,0.03125,0.1875,0.0,0.03125,0.03125,0.0,0.015625,0.0,0.0,0.0,0.0
