game_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
0020900001,2009-10-27,CLE,BOS,Cleveland Cavaliers,Boston Celtics,89.0,95.0,-6.0,Home,,True,2010
0020900002,2009-10-27,DAL,WAS,Dallas Mavericks,Washington Wizards,91.0,102.0,-11.0,Home,,True,2010
0020900003,2009-10-27,POR,HOU,Portland Trail Blazers,Houston Rockets,96.0,87.0,9.0,Home,,True,2010
0020900004,2009-10-27,LAL,LAC,Los Angeles Lakers,Los Angeles Clippers,99.0,92.0,7.0,Home,,True,2010
0020900005,2009-10-28,ATL,IND,Atlanta Hawks,Indiana Pacers,120.0,109.0,11.0,Home,,True,2010
0020900006,2009-10-28,ORL,PHI,Orlando Magic,Philadelphia 76ers,120.0,106.0,14.0,Home,,True,2010
0020900007,2009-10-28,TOR,CLE,Toronto Raptors,Cleveland Cavaliers,101.0,91.0,10.0,Home,,True,2010
0020900008,2009-10-28,BOS,CHA,Boston Celtics,Charlotte Bobcats,92.0,59.0,33.0,Home,,True,2010
0020900009,2009-10-28,MIA,NYK,Miami Heat,New York Knicks,115.0,93.0,22.0,Home,,True,2010
0020900010,2009-10-28,MEM,DET,Memphis Grizzlies,Detroit Pistons,74.0,96.0,-22.0,Home,,True,2010
0020900011,2009-10-28,MIN,NJN,Minnesota Timberwolves,New Jersey Nets,95.0,93.0,2.0,Home,,True,2010
0020900012,2009-10-28,OKC,SAC,Oklahoma City Thunder,Sacramento Kings,102.0,89.0,13.0,Home,,True,2010
0020900013,2009-10-28,SAS,NOH,San Antonio Spurs,New Orleans Hornets,113.0,96.0,17.0,Home,,True,2010
0020900014,2009-10-28,DEN,UTA,Denver Nuggets,Utah Jazz,114.0,105.0,9.0,Home,,True,2010
0020900015,2009-10-28,GSW,HOU,Golden State Warriors,Houston Rockets,107.0,108.0,-1.0,Home,,True,2010
0020900016,2009-10-28,LAC,PHX,Los Angeles Clippers,Phoenix Suns,107.0,109.0,-2.0,Home,,True,2010
0020900017,2009-10-29,CHI,SAS,Chicago Bulls,San Antonio Spurs,92.0,85.0,7.0,Home,,True,2010
0020900018,2009-10-29,POR,DEN,Portland Trail Blazers,Denver Nuggets,94.0,97.0,-3.0,Home,,True,2010
