game_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year,garbage_time_detected,garbage_time_cutoff_period,garbage_time_cutoff_clock,garbage_time_cutoff_action_number,garbage_time_possessions_before_cutoff,effective_margin,effective_possessions,effective_pace,team_score_at_cutoff,opponent_score_at_cutoff
0021600001,2016-10-25,CLE,NYK,Cleveland Cavaliers,New York Knicks,117.0,88.0,29.0,Home,,True,2017,True,4,PT07M29.00S,506,26,-21,26,30.802139037433157,74,95
0021600002,2016-10-25,POR,UTA,Portland Trail Blazers,Utah Jazz,113.0,104.0,9.0,Home,,True,2017,False,,,,31,9.0,0,,113.0,104.0
0021600003,2016-10-25,GSW,SAS,Golden State Warriors,San Antonio Spurs,100.0,129.0,-29.0,Home,,True,2017,False,,,,35,-29.0,0,,100.0,129.0
0021600004,2016-10-26,ORL,MIA,Orlando Magic,Miami Heat,96.0,108.0,-12.0,Home,,True,2017,False,,,,29,-12.0,0,,96.0,108.0
0021600005,2016-10-26,IND,DAL,Indiana Pacers,Dallas Mavericks,130.0,121.0,9.0,Home,,True,2017,False,,,,42,9.0,0,,130.0,121.0
0021600006,2016-10-26,BOS,BKN,Boston Celtics,Brooklyn Nets,122.0,117.0,5.0,Home,,True,2017,True,4,PT08M19.00S,424,36,-23,36,43.5447291054179,87,110
0021600007,2016-10-26,TOR,DET,Toronto Raptors,Detroit Pistons,109.0,91.0,18.0,Home,,True,2017,False,,,,28,18.0,0,,109.0,91.0
0021600008,2016-10-26,MIL,CHA,Milwaukee Bucks,Charlotte Hornets,96.0,107.0,-11.0,Home,,True,2017,False,,,,21,-11.0,0,,96.0,107.0
0021600009,2016-10-26,MEM,MIN,Memphis Grizzlies,Minnesota Timberwolves,102.0,98.0,4.0,Home,,True,2017,False,,,,27,4.0,0,,102.0,98.0
0021600010,2016-10-26,NOP,DEN,New Orleans Pelicans,Denver Nuggets,102.0,107.0,-5.0,Home,,True,2017,False,,,,45,-5.0,0,,102.0,107.0
0021600011,2016-10-26,PHI,OKC,Philadelphia 76ers,Oklahoma City Thunder,97.0,103.0,-6.0,Home,,True,2017,False,,,,27,-6.0,0,,97.0,103.0
0021600012,2016-10-26,PHX,SAC,Phoenix Suns,Sacramento Kings,94.0,113.0,-19.0,Home,,True,2017,False,,,,36,-19.0,0,,94.0,113.0
0021600013,2016-10-26,LAL,HOU,Los Angeles Lakers,Houston Rockets,120.0,114.0,6.0,Home,,True,2017,False,,,,36,6.0,0,,120.0,114.0
0021600014,2016-10-27,ATL,WAS,Atlanta Hawks,Washington Wizards,114.0,99.0,15.0,Home,,True,2017,True,4,PT04M14.00S,519,37,-19,37,40.57882711348058,86,105
0021600015,2016-10-27,CHI,BOS,Chicago Bulls,Boston Celtics,105.0,99.0,6.0,Home,,True,2017,False,,,,33,6.0,0,,105.0,99.0
0021600016,2016-10-27,SAC,SAS,Sacramento Kings,San Antonio Spurs,94.0,102.0,-8.0,Home,,True,2017,False,,,,28,-8.0,0,,94.0,102.0
0021600017,2016-10-27,POR,LAC,Portland Trail Blazers,LA Clippers,106.0,114.0,-8.0,Home,,True,2017,False,,,,28,-8.0,0,,106.0,114.0
0021600018,2016-10-28,TOR,CLE,Toronto Raptors,Cleveland Cavaliers,91.0,94.0,-3.0,Home,,True,2017,False,,,,,-3.0,0,,91.0,94.0
0021600019,2016-10-28,BKN,IND,Brooklyn Nets,Indiana Pacers,103.0,94.0,9.0,Home,,True,2017,False,,,,34,9.0,0,,103.0,94.0
0021600020,2016-10-28,DET,ORL,Detroit Pistons,Orlando Magic,108.0,82.0,26.0,Home,,True,2017,True,3,PT02M49.00S,326,15,-31,15,21.69763937719739,48,79
0021600021,2016-10-28,OKC,PHX,Oklahoma City Thunder,Phoenix Suns,113.0,110.0,3.0,Home,,True,2017,False,,,,,3.0,0,,113.0,110.0
0021600022,2016-10-28,MIA,CHA,Miami Heat,Charlotte Hornets,91.0,97.0,-6.0,Home,,True,2017,False,,,,25,-6.0,0,,91.0,97.0
0021600023,2016-10-28,DAL,HOU,Dallas Mavericks,Houston Rockets,98.0,106.0,-8.0,Home,,True,2017,False,,,,31,-8.0,0,,98.0,106.0
0021600024,2016-10-28,UTA,LAL,Utah Jazz,Los Angeles Lakers,96.0,89.0,7.0,Home,,True,2017,False,,,,,7.0,0,,96.0,89.0
0021600025,2016-10-28,NOP,GSW,New Orleans Pelicans,Golden State Warriors,114.0,122.0,-8.0,Home,,True,2017,False,,,,,-8.0,0,,114.0,122.0
0021600026,2016-10-29,PHI,ATL,Philadelphia 76ers,Atlanta Hawks,72.0,104.0,-32.0,Home,,True,2017,False,,,,36,-32.0,0,,72.0,104.0
0021600027,2016-10-29,CHA,BOS,Charlotte Hornets,Boston Celtics,98.0,104.0,-6.0,Home,,True,2017,False,,,,23,-6.0,0,,98.0,104.0
0021600028,2016-10-29,NYK,MEM,New York Knicks,Memphis Grizzlies,111.0,104.0,7.0,Home,,True,2017,False,,,,28,7.0,0,,111.0,104.0
0021600029,2016-10-29,CLE,ORL,Cleveland Cavaliers,Orlando Magic,105.0,99.0,6.0,Home,,True,2017,False,,,,29,6.0,0,,105.0,99.0
0021600030,2016-10-29,CHI,IND,Chicago Bulls,Indiana Pacers,118.0,101.0,17.0,Home,,True,2017,True,4,PT11M10.00S,350,19,-27,19,24.76018099547511,68,95
0021600031,2016-10-29,MIL,BKN,Milwaukee Bucks,Brooklyn Nets,110.0,108.0,2.0,Home,,True,2017,False,,,,30,2.0,0,,110.0,108.0
0021600032,2016-10-29,SAS,NOP,San Antonio Spurs,New Orleans Pelicans,98.0,79.0,19.0,Home,,True,2017,True,4,PT11M07.00S,403,17,-26,17,22.123813827383643,61,87
0021600033,2016-10-29,DEN,POR,Denver Nuggets,Portland Trail Blazers,113.0,115.0,-2.0,Home,,True,2017,False,,,,40,-2.0,0,,113.0,115.0
0021600034,2016-10-29,SAC,MIN,Sacramento Kings,Minnesota Timberwolves,106.0,103.0,3.0,Home,,True,2017,False,,,,25,3.0,0,,106.0,103.0
0021600035,2016-10-30,LAC,UTA,LA Clippers,Utah Jazz,88.0,75.0,13.0,Home,,True,2017,True,4,PT04M49.00S,441,30,-18,30,33.34619837900425,64,82
