game_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,off_rating,def_rating,net_rating,efg_pct,ts_pct,tov_pct,oreb_pct,dreb_pct,ast_pct,ast_to,opp_off_rating,opp_def_rating,opp_net_rating,opp_efg_pct,opp_ts_pct,opp_tov_pct,opp_oreb_pct,opp_dreb_pct,opp_ast_pct,opp_ast_to
12200001,2022-09-30,WAS,GSW,Wizards,Warriors,87.0,96.0,-9.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200002,2022-09-30,LAC,MRA,Clippers,Maccabi Ra'anana,121.0,81.0,40.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200003,2022-10-01,MIL,MEM,Bucks,Grizzlies,102.0,107.0,-5.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200004,2022-10-02,GSW,WAS,Warriors,Wizards,104.0,95.0,9.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200005,2022-10-02,BOS,CHO,Celtics,Hornets,134.0,93.0,41.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200006,2022-10-02,TOR,UTA,Raptors,Jazz,114.0,82.0,32.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200007,2022-10-02,HOU,SAS,Rockets,Spurs,134.0,96.0,38.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200008,2022-10-02,PHX,ADL,Suns,36ers,124.0,134.0,-10.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200009,2022-10-03,BRK,PHI,Nets,76ers,108.0,127.0,-19.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200010,2022-10-03,MEM,ORL,Grizzlies,Magic,109.0,97.0,12.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200011,2022-10-03,DEN,OKC,Nuggets,Thunder,101.0,112.0,-11.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200012,2022-10-03,LAL,SAC,Lakers,Kings,75.0,105.0,-30.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200013,2022-10-03,LAC,POR,Clippers,Trail Blazers,102.0,97.0,5.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200014,2022-10-04,NYK,DET,Knicks,Pistons,117.0,96.0,21.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200015,2022-10-04,MIA,MIN,Heat,Timberwolves,111.0,121.0,-10.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12200016,2022-10-04,CHI,NOP,Bulls,Pelicans,125.0,129.0,-4.0,Home,,True,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
