game_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,off_rating,def_rating,net_rating,efg_pct,ts_pct,tov_pct,oreb_pct,dreb_pct,ast_pct,ast_to,opp_off_rating,opp_def_rating,opp_net_rating,opp_efg_pct,opp_ts_pct,opp_tov_pct,opp_oreb_pct,opp_dreb_pct,opp_ast_pct,opp_ast_to,garbage_time_detected,garbage_time_cutoff_period,garbage_time_cutoff_clock,garbage_time_cutoff_action_number,garbage_time_possessions_before_cutoff,effective_margin,effective_possessions,effective_pace,team_score_at_cutoff,opponent_score_at_cutoff
12300022,2023-10-10,POR,NZB,Trail Blazers,Breakers,106.0,66.0,40.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,40.0,0,,106.0,66.0
12300023,2023-10-11,PHI,BOS,76ers,Celtics,101.0,112.0,-11.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-11.0,0,,101.0,112.0
12300024,2023-10-11,LAL,SAC,Lakers,Kings,109.0,101.0,8.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,8.0,0,,109.0,101.0
12300025,2023-10-12,WAS,CHO,Wizards,Hornets,98.0,92.0,6.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,6.0,0,,98.0,92.0
12300026,2023-10-12,CLE,ORL,Cavaliers,Magic,105.0,108.0,-3.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-3.0,0,,105.0,108.0
12300027,2023-10-12,OKC,DET,Thunder,Pistons,125.0,128.0,-3.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-3.0,0,,125.0,128.0
12300028,2023-10-12,ATL,MEM,Hawks,Grizzlies,103.0,102.0,1.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,1.0,0,,103.0,102.0
12300029,2023-10-12,BRK,MRA,Nets,Maccabi Ra'anana,135.0,103.0,32.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,32.0,0,,135.0,103.0
12300030,2023-10-12,CHI,DEN,Bulls,Nuggets,133.0,124.0,9.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,9.0,0,,133.0,124.0
12300031,2023-10-12,NOP,HOU,Pelicans,Rockets,87.0,120.0,-33.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-33.0,0,,87.0,120.0
12300032,2023-10-12,POR,PHX,Trail Blazers,Suns,111.0,122.0,-11.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-11.0,0,,111.0,122.0
12300033,2023-10-13,SAS,MIA,Spurs,Heat,120.0,104.0,16.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,16.0,0,,120.0,104.0
12300034,2023-10-13,LAL,GSW,Lakers,Warriors,125.0,129.0,-4.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-4.0,0,,125.0,129.0
12300035,2023-10-14,ATL,NOP,Hawks,Pelicans,110.0,105.0,5.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,5.0,0,,110.0,105.0
12300036,2023-10-14,NYK,MIN,Knicks,Timberwolves,112.0,121.0,-9.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-9.0,0,,112.0,121.0
12300037,2023-10-14,UTA,POR,Jazz,Trail Blazers,138.0,133.0,5.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,5.0,0,,138.0,133.0
12300038,2023-10-15,CHO,OKC,Hornets,Thunder,117.0,115.0,2.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,2.0,0,,117.0,115.0
12300039,2023-10-15,MIA,MEM,Heat,Grizzlies,132.0,124.0,8.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,8.0,0,,132.0,124.0
12300040,2023-10-15,TOR,CNS,Raptors,Taipans,134.0,93.0,41.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,41.0,0,,134.0,93.0
12300041,2023-10-15,LAL,MIL,Lakers,Bucks,97.0,108.0,-11.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-11.0,0,,97.0,108.0
12300042,2023-10-15,DEN,CHI,Nuggets,Bulls,116.0,102.0,14.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,14.0,0,,116.0,102.0
12300043,2023-10-15,SAC,GSW,Kings,Warriors,115.0,121.0,-6.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-6.0,0,,115.0,121.0
12300044,2023-10-16,IND,ATL,Pacers,Hawks,116.0,112.0,4.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,4.0,0,,116.0,112.0
12300045,2023-10-16,CLE,MRA,Cavaliers,Maccabi Ra'anana,120.0,89.0,31.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,31.0,0,,120.0,89.0
12300046,2023-10-16,BRK,PHI,Nets,76ers,119.0,127.0,-8.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-8.0,0,,119.0,127.0
12300047,2023-10-16,SAS,HOU,Spurs,Rockets,89.0,99.0,-10.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,-10.0,0,,89.0,99.0
12300048,2023-10-16,UTA,NZB,Jazz,Breakers,114.0,94.0,20.0,Home,,True,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,20.0,0,,114.0,94.0
