game_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
0021200001,2012-10-30,CLE,WAS,Cleveland Cavaliers,Washington Wizards,94.0,84.0,10.0,Home,,True,2013
0021200002,2012-10-30,MIA,BOS,Miami Heat,Boston Celtics,120.0,107.0,13.0,Home,,True,2013
0021200003,2012-10-30,LAL,DAL,Los Angeles Lakers,Dallas Mavericks,91.0,99.0,-8.0,Home,,True,2013
0021200004,2012-10-31,TOR,IND,Toronto Raptors,Indiana Pacers,88.0,90.0,-2.0,Home,,True,2013
0021200005,2012-10-31,PHI,DEN,Philadelphia 76ers,Denver Nuggets,84.0,75.0,9.0,Home,,True,2013
0021200006,2012-10-31,DET,HOU,Detroit Pistons,Houston Rockets,96.0,105.0,-9.0,Home,,True,2013
0021200007,2012-10-31,CHI,SAC,Chicago Bulls,Sacramento Kings,93.0,87.0,6.0,Home,,True,2013
0021200008,2012-10-31,NOH,SAS,New Orleans Hornets,San Antonio Spurs,95.0,99.0,-4.0,Home,,True,2013
0021200009,2012-10-31,UTA,DAL,Utah Jazz,Dallas Mavericks,113.0,94.0,19.0,Home,,True,2013
0021200010,2012-10-31,PHX,GSW,Phoenix Suns,Golden State Warriors,85.0,87.0,-2.0,Home,,True,2013
0021200011,2012-10-31,LAC,MEM,Los Angeles Clippers,Memphis Grizzlies,101.0,92.0,9.0,Home,,True,2013
0021200012,2012-10-31,POR,LAL,Portland Trail Blazers,Los Angeles Lakers,116.0,106.0,10.0,Home,,True,2013
0021200014,2012-11-01,SAS,OKC,San Antonio Spurs,Oklahoma City Thunder,86.0,84.0,2.0,Home,,True,2013
0021200015,2012-11-02,CHA,IND,Charlotte Bobcats,Indiana Pacers,90.0,89.0,1.0,Home,,True,2013
0021200016,2012-11-02,ORL,DEN,Orlando Magic,Denver Nuggets,102.0,89.0,13.0,Home,,True,2013
0021200017,2012-11-02,BOS,MIL,Boston Celtics,Milwaukee Bucks,88.0,99.0,-11.0,Home,,True,2013
0021200018,2012-11-02,ATL,HOU,Atlanta Hawks,Houston Rockets,102.0,109.0,-7.0,Home,,True,2013
0021200019,2012-11-02,CLE,CHI,Cleveland Cavaliers,Chicago Bulls,86.0,115.0,-29.0,Home,,True,2013
0021200020,2012-11-02,NYK,MIA,New York Knicks,Miami Heat,104.0,84.0,20.0,Home,,True,2013
0021200021,2012-11-02,NOH,UTA,New Orleans Hornets,Utah Jazz,88.0,86.0,2.0,Home,,True,2013
0021200022,2012-11-02,OKC,POR,Oklahoma City Thunder,Portland Trail Blazers,106.0,92.0,14.0,Home,,True,2013
0021200023,2012-11-02,MIN,SAC,Minnesota Timberwolves,Sacramento Kings,92.0,80.0,12.0,Home,,True,2013
0021200024,2012-11-02,PHX,DET,Phoenix Suns,Detroit Pistons,92.0,89.0,3.0,Home,,True,2013
0021200025,2012-11-02,LAL,LAC,Los Angeles Lakers,Los Angeles Clippers,95.0,105.0,-10.0,Home,,True,2013
0021200026,2012-11-02,GSW,MEM,Golden State Warriors,Memphis Grizzlies,94.0,104.0,-10.0,Home,,True,2013
0021200027,2012-11-03,WAS,BOS,Washington Wizards,Boston Celtics,86.0,89.0,-3.0,Home,,True,2013
0021200028,2012-11-03,IND,SAC,Indiana Pacers,Sacramento Kings,106.0,98.0,8.0,Home,,True,2013
0021200029,2012-11-03,BKN,TOR,Brooklyn Nets,Toronto Raptors,107.0,100.0,7.0,Home,,True,2013
0021200030,2012-11-03,MIA,DEN,Miami Heat,Denver Nuggets,119.0,116.0,3.0,Home,,True,2013
0021200031,2012-11-03,CHI,NOH,Chicago Bulls,New Orleans Hornets,82.0,89.0,-7.0,Home,,True,2013
0021200032,2012-11-03,HOU,POR,Houston Rockets,Portland Trail Blazers,85.0,95.0,-10.0,Home,,True,2013
0021200033,2012-11-03,MIL,CLE,Milwaukee Bucks,Cleveland Cavaliers,105.0,102.0,3.0,Home,,True,2013
0021200034,2012-11-03,DAL,CHA,Dallas Mavericks,Charlotte Bobcats,126.0,99.0,27.0,Home,,True,2013
0021200035,2012-11-03,SAS,UTA,San Antonio Spurs,Utah Jazz,110.0,100.0,10.0,Home,,True,2013
0021200036,2012-11-03,LAC,GSW,Los Angeles Clippers,Golden State Warriors,110.0,114.0,-4.0,Home,,True,2013
0021200037,2012-11-04,NYK,PHI,New York Knicks,Philadelphia 76ers,100.0,84.0,16.0,Home,,True,2013
0021200038,2012-11-04,TOR,MIN,Toronto Raptors,Minnesota Timberwolves,105.0,86.0,19.0,Home,,True,2013
0021200039,2012-11-04,ORL,PHX,Orlando Magic,Phoenix Suns,115.0,94.0,21.0,Home,,True,2013
0021200040,2012-11-04,OKC,ATL,Oklahoma City Thunder,Atlanta Hawks,95.0,104.0,-9.0,Home,,True,2013
0021200041,2012-11-04,LAL,DET,Los Angeles Lakers,Detroit Pistons,108.0,79.0,29.0,Home,,True,2013
0021200042,2012-11-05,PHI,NYK,Philadelphia 76ers,New York Knicks,88.0,110.0,-22.0,Home,,True,2013
0021200043,2012-11-05,BKN,MIN,Brooklyn Nets,Minnesota Timberwolves,96.0,107.0,-11.0,Home,,True,2013
0021200044,2012-11-05,MIA,PHX,Miami Heat,Phoenix Suns,124.0,99.0,25.0,Home,,True,2013
0021200045,2012-11-05,MEM,UTA,Memphis Grizzlies,Utah Jazz,103.0,94.0,9.0,Home,,True,2013
0021200046,2012-11-05,DAL,POR,Dallas Mavericks,Portland Trail Blazers,114.0,91.0,23.0,Home,,True,2013
0021200047,2012-11-05,SAS,IND,San Antonio Spurs,Indiana Pacers,101.0,79.0,22.0,Home,,True,2013
0021200048,2012-11-05,SAC,GSW,Sacramento Kings,Golden State Warriors,94.0,92.0,2.0,Home,,True,2013
0021200049,2012-11-05,LAC,CLE,Los Angeles Clippers,Cleveland Cavaliers,101.0,108.0,-7.0,Home,,True,2013
0021200050,2012-11-06,CHI,ORL,Chicago Bulls,Orlando Magic,99.0,93.0,6.0,Home,,True,2013
0021200051,2012-11-06,OKC,TOR,Oklahoma City Thunder,Toronto Raptors,108.0,88.0,20.0,Home,,True,2013
0021200052,2012-11-06,DEN,DET,Denver Nuggets,Detroit Pistons,109.0,97.0,12.0,Home,,True,2013
0021200053,2012-11-07,CHA,PHX,Charlotte Bobcats,Phoenix Suns,110.0,117.0,-7.0,Home,,True,2013
0021200054,2012-11-07,BOS,WAS,Boston Celtics,Washington Wizards,100.0,94.0,6.0,Home,,True,2013
0021200055,2012-11-07,ATL,IND,Atlanta Hawks,Indiana Pacers,89.0,86.0,3.0,Home,,True,2013
0021200056,2012-11-07,MIA,BKN,Miami Heat,Brooklyn Nets,103.0,73.0,30.0,Home,,True,2013
0021200057,2012-11-07,MIL,MEM,Milwaukee Bucks,Memphis Grizzlies,90.0,108.0,-18.0,Home,,True,2013
0021200058,2012-11-07,NOH,PHI,New Orleans Hornets,Philadelphia 76ers,62.0,77.0,-15.0,Home,,True,2013
0021200059,2012-11-07,HOU,DEN,Houston Rockets,Denver Nuggets,87.0,93.0,-6.0,Home,,True,2013
0021200060,2012-11-07,MIN,ORL,Minnesota Timberwolves,Orlando Magic,90.0,75.0,15.0,Home,,True,2013
0021200061,2012-11-07,DAL,TOR,Dallas Mavericks,Toronto Raptors,109.0,104.0,5.0,Home,,True,2013
0021200062,2012-11-07,UTA,LAL,Utah Jazz,Los Angeles Lakers,95.0,86.0,9.0,Home,,True,2013
0021200063,2012-11-07,SAC,DET,Sacramento Kings,Detroit Pistons,105.0,103.0,2.0,Home,,True,2013
0021200064,2012-11-07,LAC,SAS,Los Angeles Clippers,San Antonio Spurs,106.0,84.0,22.0,Home,,True,2013
0021200065,2012-11-07,GSW,CLE,Golden State Warriors,Cleveland Cavaliers,106.0,96.0,10.0,Home,,True,2013
0021200066,2012-11-08,CHI,OKC,Chicago Bulls,Oklahoma City Thunder,91.0,97.0,-6.0,Home,,True,2013
0021200067,2012-11-08,POR,LAC,Portland Trail Blazers,Los Angeles Clippers,90.0,103.0,-13.0,Home,,True,2013
0021200068,2012-11-09,WAS,MIL,Washington Wizards,Milwaukee Bucks,91.0,101.0,-10.0,Home,,True,2013
0021200069,2012-11-09,ORL,BKN,Orlando Magic,Brooklyn Nets,68.0,107.0,-39.0,Home,,True,2013
0021200070,2012-11-09,BOS,PHI,Boston Celtics,Philadelphia 76ers,100.0,106.0,-6.0,Home,,True,2013
0021200071,2012-11-09,NYK,DAL,New York Knicks,Dallas Mavericks,104.0,94.0,10.0,Home,,True,2013
0021200072,2012-11-09,ATL,MIA,Atlanta Hawks,Miami Heat,89.0,95.0,-6.0,Home,,True,2013
0021200073,2012-11-09,MEM,HOU,Memphis Grizzlies,Houston Rockets,93.0,85.0,8.0,Home,,True,2013
0021200074,2012-11-09,NOH,CHA,New Orleans Hornets,Charlotte Bobcats,107.0,99.0,8.0,Home,,True,2013
0021200075,2012-11-09,OKC,DET,Oklahoma City Thunder,Detroit Pistons,105.0,94.0,11.0,Home,,True,2013
0021200076,2012-11-09,MIN,IND,Minnesota Timberwolves,Indiana Pacers,96.0,94.0,2.0,Home,,True,2013
0021200077,2012-11-09,PHX,CLE,Phoenix Suns,Cleveland Cavaliers,107.0,105.0,2.0,Home,,True,2013
0021200078,2012-11-09,SAC,SAS,Sacramento Kings,San Antonio Spurs,86.0,97.0,-11.0,Home,,True,2013
0021200079,2012-11-09,DEN,UTA,Denver Nuggets,Utah Jazz,104.0,84.0,20.0,Home,,True,2013
0021200080,2012-11-09,LAL,GSW,Los Angeles Lakers,Golden State Warriors,101.0,77.0,24.0,Home,,True,2013
0021200081,2012-11-10,TOR,PHI,Toronto Raptors,Philadelphia 76ers,83.0,93.0,-10.0,Home,,True,2013
0021200082,2012-11-10,IND,WAS,Indiana Pacers,Washington Wizards,89.0,85.0,4.0,Home,,True,2013
0021200083,2012-11-10,CHA,DAL,Charlotte Bobcats,Dallas Mavericks,101.0,97.0,4.0,Home,,True,2013
0021200084,2012-11-10,CHI,MIN,Chicago Bulls,Minnesota Timberwolves,87.0,80.0,7.0,Home,,True,2013
0021200085,2012-11-10,HOU,DET,Houston Rockets,Detroit Pistons,96.0,82.0,14.0,Home,,True,2013
0021200086,2012-11-10,MIL,BOS,Milwaukee Bucks,Boston Celtics,92.0,96.0,-4.0,Home,,True,2013
0021200087,2012-11-10,UTA,PHX,Utah Jazz,Phoenix Suns,94.0,81.0,13.0,Home,,True,2013
0021200088,2012-11-10,POR,SAS,Portland Trail Blazers,San Antonio Spurs,109.0,112.0,-3.0,Home,,True,2013
0021200089,2012-11-10,GSW,DEN,Golden State Warriors,Denver Nuggets,101.0,107.0,-6.0,Home,,True,2013
0021200090,2012-11-11,BKN,ORL,Brooklyn Nets,Orlando Magic,82.0,74.0,8.0,Home,,True,2013
0021200091,2012-11-11,LAC,ATL,Los Angeles Clippers,Atlanta Hawks,89.0,76.0,13.0,Home,,True,2013
0021200092,2012-11-11,MEM,MIA,Memphis Grizzlies,Miami Heat,104.0,86.0,18.0,Home,,True,2013
0021200093,2012-11-11,OKC,CLE,Oklahoma City Thunder,Cleveland Cavaliers,106.0,91.0,15.0,Home,,True,2013
0021200094,2012-11-11,LAL,SAC,Los Angeles Lakers,Sacramento Kings,103.0,90.0,13.0,Home,,True,2013
0021200095,2012-11-12,TOR,UTA,Toronto Raptors,Utah Jazz,133.0,140.0,-7.0,Home,,True,2013
0021200096,2012-11-12,PHI,MIL,Philadelphia 76ers,Milwaukee Bucks,96.0,105.0,-9.0,Home,,True,2013
