simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,63,46,42,34,38,35,34,44,36,52,48,33,32,55,16,46,43,25,28,48,31,45,49,50,51,17,46,47,47,50
1,66,47,47,32,36,29,33,32,39,48,51,34,36,57,22,43,45,20,20,57,29,49,46,52,55,17,41,51,48,49
2,67,44,48,29,35,39,40,45,40,44,51,26,36,55,24,49,37,25,36,48,23,47,40,49,47,25,39,45,46,52
3,59,51,49,25,31,35,41,34,36,45,51,38,27,53,27,52,41,22,23,51,25,40,41,49,59,23,45,53,48,57
4,65,44,50,26,35,38,34,42,43,46,51,31,33,41,28,45,42,21,29,46,21,49,46,48,54,22,41,49,54,57
5,61,49,40,31,44,36,41,38,43,47,54,31,41,51,15,46,42,22,22,53,26,49,46,46,49,18,48,47,40,55
6,60,46,46,32,36,43,36,41,43,49,51,28,41,52,23,44,34,19,28,49,23,48,47,57,48,21,41,46,38,61
7,63,45,51,24,31,43,41,36,41,42,43,36,38,52,28,46,42,19,20,52,22,41,47,45,54,20,52,54,48,55
8,64,42,41,26,30,37,34,45,39,49,48,30,33,57,26,46,36,26,21,51,19,50,46,57,58,26,47,47,49,51
9,60,49,47,28,33,32,39,44,39,50,47,36,31,57,23,45,40,14,26,55,24,41,47,54,55,18,53,49,48,47
10,67,50,46,26,39,45,46,36,49,43,46,27,28,46,20,50,39,25,25,46,31,51,40,53,44,22,37,50,48,56
11,66,44,41,33,35,36,39,38,42,39,49,31,35,54,24,44,42,22,27,54,28,33,47,55,48,19,47,52,46,61
12,68,40,47,31,34,39,39,40,45,49,46,23,38,47,26,39,39,27,30,44,35,42,46,46,53,25,41,49,49,54
13,63,51,43,28,33,46,31,34,46,51,49,40,23,57,27,50,41,24,19,51,31,39,42,53,48,19,44,48,48,52
14,58,49,43,31,33,44,37,33,43,41,51,36,30,49,27,45,37,20,28,54,24,40,48,54,54,21,45,52,49,55
15,60,42,38,23,37,37,45,36,40,44,56,28,33,53,29,45,36,18,32,53,25,47,44,52,56,23,43,47,52,57
16,64,46,43,30,33,43,35,43,48,41,38,27,38,54,22,45,39,23,25,48,28,41,44,53,51,24,47,54,47,57
17,64,49,46,32,37,35,40,45,43,47,48,31,26,46,18,44,39,25,21,51,27,47,54,54,53,27,35,52,45,50
18,60,43,41,30,34,34,37,33,45,42,47,40,33,55,23,47,48,26,26,51,29,47,45,54,48,20,42,48,52,51
19,63,43,49,33,39,37,32,40,47,42,50,34,33,53,17,41,41,19,31,51,24,48,46,52,53,21,44,48,43,57
20,60,46,40,24,36,39,28,35,36,48,54,25,32,53,25,50,37,19,29,50,33,45,53,55,51,23,53,49,43,60
21,59,47,45,32,30,33,31,36,46,48,51,35,35,52,31,45,41,18,27,45,28,52,39,56,48,18,47,53,46,57
22,62,46,45,32,32,40,38,37,44,45,47,30,39,46,20,40,48,22,20,51,26,48,54,51,47,24,50,45,44,58
23,65,47,52,28,31,37,28,39,41,45,46,29,32,53,29,39,48,24,19,57,29,41,45,54,53,25,48,48,43,56
24,60,40,45,31,31,40,33,40,44,47,52,32,37,50,21,44,41,20,22,53,31,44,46,52,53,25,46,48,50,53
25,63,51,45,25,35,37,44,38,44,43,39,34,39,47,29,44,38,18,28,47,27,45,40,50,55,28,46,55,44,53
26,64,44,41,30,36,35,44,40,37,46,51,38,28,52,15,46,42,27,21,57,24,48,48,51,51,23,44,50,49,49
27,59,40,39,25,39,37,38,41,43,48,50,33,34,53,17,47,33,33,21,50,25,41,49,56,53,26,44,56,46,55
28,65,42,42,20,41,38,32,40,45,46,40,33,34,56,21,41,40,30,28,41,30,47,45,52,53,25,49,52,52,51
29,60,51,44,25,32,41,42,38,41,48,48,36,32,58,23,46,39,25,19,51,29,37,44,54,54,20,46,50,46,52
30,63,48,46,30,38,42,32,46,46,41,51,26,30,52,17,41,33,30,23,48,26,50,52,55,53,25,45,52,42,48
31,59,41,53,28,34,32,31,37,44,49,41,31,38,61,20,45,34,18,32,55,28,54,44,54,58,18,47,48,46,51
32,62,43,45,28,40,36,38,34,41,46,49,32,36,55,30,48,43,26,28,56,24,42,41,55,39,23,43,59,46,43
33,64,42,51,21,38,42,27,41,41,52,49,31,34,53,18,54,38,20,28,50,27,46,48,51,48,24,43,52,47,51
34,67,47,43,25,39,41,35,37,41,43,55,32,33,50,26,46,41,19,29,52,28,40,47,52,48,24,41,49,48,53
35,66,49,51,25,40,41,38,41,36,44,45,32,37,48,17,48,39,23,19,49,34,49,46,53,53,20,36,48,49,55
36,55,48,46,36,30,36,38,41,43,49,45,27,35,59,19,43,36,26,23,45,25,39,53,54,53,25,39,50,54,59
37,64,49,41,33,34,42,34,38,47,46,49,37,29,56,22,43,41,22,28,46,20,37,45,56,52,26,43,52,45,54
38,60,52,44,31,35,37,28,32,43,42,51,24,29,49,33,39,46,27,26,54,32,49,37,55,48,23,50,58,49,48
39,60,48,40,29,35,34,30,38,43,48,48,35,27,59,24,46,44,25,15,50,25,50,47,50,50,25,48,57,47,54
40,67,43,46,29,39,46,33,41,36,46,45,35,28,49,15,46,47,21,23,51,31,39,47,50,45,29,48,51,47,58
41,59,52,49,28,34,39,35,41,47,51,47,33,27,47,27,41,42,24,25,50,19,48,49,51,52,19,42,54,44,55
42,59,47,40,32,33,44,29,44,44,51,50,25,32,59,26,47,34,19,27,51,23,45,38,50,53,26,41,58,49,55
43,65,50,46,26,35,39,32,49,43,50,51,26,38,53,21,41,38,27,20,46,26,39,47,51,50,24,41,59,47,51
44,67,48,51,29,38,44,34,40,44,44,49,25,27,49,27,49,41,27,24,50,22,46,43,51,47,22,42,53,44,54
