team,wins,losses,champion,finals,conference_finals,second_round,playoffs
OKC,66.812,15.188,0.257,0.415,0.601,0.79,1.0
BOS,59.311,22.689,0.212,0.379,0.559,0.814,1.0
CLE,63.326,18.674,0.079,0.173,0.367,0.669,1.0
MIN,47.004,34.996,0.062,0.132,0.275,0.507,0.916
IND,48.213,33.787,0.06,0.117,0.27,0.58,1.0
NYK,50.413,31.587,0.057,0.129,0.251,0.613,1.0
DEN,50.469,31.531,0.055,0.118,0.267,0.553,0.989
MIL,46.112,35.888,0.042,0.102,0.226,0.47,0.999
GSW,47.242,34.758,0.038,0.08,0.192,0.403,0.895
LAL,49.315,32.685,0.032,0.07,0.178,0.449,0.976
HOU,51.513,30.487,0.03,0.065,0.19,0.471,0.996
MEM,48.567,33.433,0.023,0.063,0.151,0.443,0.957
ORL,38.721,43.279,0.014,0.037,0.092,0.174,0.699
LAC,46.108,35.892,0.012,0.034,0.098,0.275,0.781
CHI,35.647,46.353,0.006,0.015,0.039,0.095,0.316
DET,44.462,37.538,0.005,0.026,0.093,0.329,0.993
ATL,39.215,42.785,0.005,0.013,0.066,0.164,0.694
SAC,41.476,40.524,0.003,0.013,0.025,0.052,0.24
MIA,35.009,46.991,0.003,0.009,0.036,0.091,0.292
DAL,39.498,42.502,0.003,0.006,0.014,0.036,0.146
PHO,38.818,43.182,0.002,0.004,0.009,0.016,0.082
TOR,29.677,52.323,0.0,0.0,0.001,0.001,0.003
POR,36.743,45.257,0.0,0.0,0.0,0.003,0.012
SAS,35.213,46.787,0.0,0.0,0.0,0.002,0.01
PHI,29.259,52.741,0.0,0.0,0.0,0.0,0.004
BRK,27.595,54.405,0.0,0.0,0.0,0.0,0.0
NOP,23.829,58.171,0.0,0.0,0.0,0.0,0.0
CHO,21.857,60.143,0.0,0.0,0.0,0.0,0.0
UTA,19.407,62.593,0.0,0.0,0.0,0.0,0.0
WAS,19.169,62.831,0.0,0.0,0.0,0.0,0.0
