team,wins,losses,champion,finals,conference_finals,second_round,playoffs
OKC,62.741,19.259,0.262,0.406,0.565,0.79,1.0
BOS,57.231,24.769,0.239,0.412,0.571,0.789,1.0
DAL,47.589,34.411,0.069,0.134,0.297,0.553,0.915
NYK,50.284,31.716,0.068,0.132,0.266,0.581,0.983
IND,46.664,35.336,0.055,0.118,0.246,0.478,0.931
CLE,59.325,22.675,0.046,0.128,0.337,0.623,1.0
MIN,44.895,37.105,0.045,0.1,0.205,0.428,0.807
DEN,47.11,34.89,0.036,0.073,0.192,0.443,0.875
MEM,48.883,33.117,0.03,0.077,0.178,0.469,0.952
MIL,45.003,36.997,0.028,0.072,0.171,0.408,0.874
ORL,45.073,36.927,0.02,0.051,0.146,0.379,0.885
SAC,42.339,39.661,0.019,0.044,0.106,0.217,0.559
HOU,48.298,32.702,0.018,0.065,0.175,0.419,0.914
PHI,38.453,43.547,0.014,0.039,0.081,0.165,0.405
PHO,40.769,41.231,0.014,0.038,0.091,0.172,0.416
GSW,41.282,40.718,0.014,0.025,0.063,0.149,0.425
LAL,42.53,37.47,0.011,0.025,0.079,0.196,0.55
MIA,44.21,37.79,0.006,0.024,0.101,0.307,0.84
ATL,38.947,42.053,0.003,0.013,0.037,0.106,0.399
LAC,41.252,39.748,0.001,0.011,0.039,0.123,0.429
DET,38.696,43.304,0.001,0.006,0.024,0.082,0.336
SAS,38.055,42.945,0.001,0.002,0.01,0.041,0.156
CHI,37.781,44.219,0.0,0.004,0.019,0.081,0.339
CHO,24.689,55.311,0.0,0.001,0.001,0.001,0.001
BRK,27.78,54.22,0.0,0.0,0.0,0.0,0.005
TOR,23.984,58.016,0.0,0.0,0.0,0.0,0.002
POR,29.016,52.984,0.0,0.0,0.0,0.0,0.001
UTA,26.445,55.555,0.0,0.0,0.0,0.0,0.001
NOP,26.272,55.728,0.0,0.0,0.0,0.0,0.0
WAS,20.404,61.596,0.0,0.0,0.0,0.0,0.0
