simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
752,61,49,37,28,41,43,33,35,39,50,46,36,32,49,20,49,33,25,24,55,30,48,52,56,48,23,37,48,48,56
753,58,50,44,27,39,38,36,42,36,54,54,38,29,52,20,49,46,19,22,50,27,49,42,50,47,14,49,51,45,54
754,61,42,41,20,42,42,29,43,36,40,55,27,31,49,37,48,38,17,21,55,36,49,42,56,45,25,40,59,53,52
755,61,50,50,26,39,34,44,37,45,44,41,37,32,59,19,47,39,22,15,54,29,46,43,49,41,27,45,56,42,58
756,65,47,42,29,38,37,30,50,47,54,49,26,33,48,22,46,40,20,20,59,30,35,53,47,46,25,43,54,45,51
757,64,48,45,25,28,41,43,39,47,47,49,41,32,49,21,47,36,28,25,49,26,42,46,53,48,23,35,53,48,53
758,64,50,44,25,39,37,38,38,41,38,47,31,31,47,26,46,39,28,21,56,34,44,42,55,54,20,38,48,46,64
759,66,47,35,24,30,42,43,38,41,45,48,33,35,52,20,49,37,28,26,52,22,39,50,42,51,23,48,53,58,54
760,59,53,42,24,43,35,38,35,40,50,56,37,22,52,21,47,42,27,24,47,31,47,45,52,47,17,45,54,43,56
761,57,45,43,25,37,44,35,49,47,41,46,26,31,51,22,44,48,24,18,55,28,51,45,46,47,22,47,54,50,53
762,57,44,44,21,32,42,32,46,40,42,47,36,34,59,25,45,33,24,23,58,31,45,53,49,44,20,42,51,52,60
763,59,49,40,25,43,45,28,47,40,45,48,31,28,54,28,43,32,24,24,58,20,49,50,50,56,20,44,57,38,56
764,59,47,43,21,44,31,33,30,43,44,52,31,34,58,26,45,40,17,26,51,24,45,53,60,57,22,42,51,53,49
765,64,47,46,22,37,45,42,41,38,42,45,31,33,54,16,44,39,28,21,53,23,50,50,55,51,22,48,45,47,52
766,64,52,42,33,35,37,40,42,42,49,50,36,32,52,13,46,41,21,22,47,29,49,45,53,52,25,34,43,49,56
767,65,49,39,27,38,37,42,30,48,45,44,33,31,49,18,47,39,21,29,54,25,49,44,50,53,24,46,53,47,55
768,64,45,47,29,36,34,34,36,46,45,58,35,31,52,22,42,39,24,19,49,28,48,42,48,56,22,37,55,52,56
769,63,45,37,29,42,35,28,40,43,49,52,40,38,52,20,48,41,17,25,55,21,44,51,50,50,25,40,59,40,52
770,65,44,47,35,38,33,33,35,39,43,45,34,29,59,29,48,41,22,25,59,26,50,49,52,40,18,49,46,44,54
771,68,45,40,24,37,35,29,41,44,47,55,27,43,54,29,44,36,22,24,52,22,49,45,52,46,21,44,57,50,49
772,66,38,44,22,36,37,31,46,40,48,50,30,32,50,19,38,40,20,31,57,27,46,43,53,56,28,45,47,50,61
773,64,52,42,20,38,36,34,44,48,49,49,32,27,58,21,41,44,23,25,55,20,42,45,52,42,24,44,55,50,55
774,61,50,44,29,35,38,34,38,44,48,45,33,25,51,20,53,43,20,20,52,25,42,47,54,53,35,43,53,43,53
775,57,40,39,19,34,37,33,40,53,46,48,33,29,55,20,47,36,32,20,57,30,54,46,55,53,21,46,52,48,51
776,59,47,45,23,35,31,34,42,41,50,54,27,38,53,19,38,40,28,17,48,31,42,50,50,48,32,48,53,56,52
777,65,45,46,24,33,32,41,37,49,43,43,35,35,56,20,44,38,24,23,49,32,43,49,51,54,20,47,59,46,48
778,63,46,51,24,40,43,34,37,44,47,51,32,30,51,28,45,36,20,23,45,25,44,42,51,47,26,50,59,43,54
779,61,45,43,25,38,40,41,42,44,44,47,32,27,54,16,46,45,21,24,45,29,48,45,51,48,19,44,61,50,56
780,63,46,48,34,33,29,41,41,38,47,50,29,35,53,21,53,47,16,21,55,24,42,50,53,47,19,43,48,53,52
781,68,47,41,25,35,44,33,45,40,47,49,38,32,55,24,49,42,20,21,50,22,46,45,47,50,19,43,48,52,54
782,68,44,43,23,35,37,25,46,42,43,58,36,33,43,22,42,38,28,22,48,19,48,48,55,51,26,42,54,53,59
783,63,50,49,20,39,41,39,37,42,50,51,35,32,50,16,42,43,20,18,50,25,42,44,54,49,23,45,56,47,59
