team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,57.953,24.047,0.259,0.405,0.554,0.791,1.0
OKC,61.562,20.438,0.247,0.415,0.592,0.808,1.0
NYK,50.851,31.149,0.069,0.153,0.293,0.595,0.99
DAL,47.324,34.676,0.055,0.131,0.257,0.537,0.913
MIN,44.868,37.132,0.049,0.1,0.199,0.399,0.777
CLE,59.316,22.684,0.045,0.124,0.33,0.632,1.0
ORL,46.539,35.461,0.038,0.084,0.172,0.407,0.912
MEM,48.828,33.172,0.037,0.084,0.218,0.477,0.928
DEN,46.525,35.475,0.036,0.089,0.201,0.426,0.863
IND,46.151,35.849,0.036,0.081,0.215,0.474,0.912
MIL,44.372,37.628,0.025,0.064,0.159,0.355,0.836
PHI,39.519,42.481,0.025,0.044,0.094,0.204,0.492
HOU,48.043,33.957,0.015,0.053,0.149,0.408,0.909
SAC,41.095,40.905,0.015,0.026,0.078,0.17,0.434
MIA,42.836,39.164,0.011,0.028,0.088,0.259,0.724
LAL,43.467,38.533,0.01,0.027,0.083,0.238,0.649
PHO,39.922,42.078,0.009,0.025,0.064,0.147,0.366
GSW,41.514,40.486,0.007,0.023,0.086,0.178,0.471
LAC,41.75,40.25,0.005,0.018,0.05,0.142,0.47
ATL,39.863,42.137,0.004,0.009,0.046,0.133,0.466
CHI,37.221,44.779,0.002,0.004,0.022,0.058,0.274
SAS,38.538,43.462,0.001,0.009,0.022,0.067,0.208
DET,38.855,43.145,0.0,0.004,0.025,0.09,0.371
POR,29.896,52.104,0.0,0.0,0.001,0.003,0.01
BRK,28.601,53.399,0.0,0.0,0.001,0.001,0.016
CHO,25.553,56.447,0.0,0.0,0.001,0.001,0.004
UTA,27.649,54.351,0.0,0.0,0.0,0.0,0.002
TOR,24.793,57.207,0.0,0.0,0.0,0.0,0.002
WAS,21.164,60.836,0.0,0.0,0.0,0.0,0.001
NOP,25.432,56.568,0.0,0.0,0.0,0.0,0.0
