team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,62.173,19.827,62.0,2.924905297612215,58.0,66.0,1.0,0.992,0.818,0.216,0.0,0.39,0.526,0.714,0.869,1.0
CLE,49.316,32.684,49.0,3.1987722644789827,45.0,53.0,0.486,0.047,0.0,0.0,0.0,0.1,0.219,0.361,0.635,0.976
DET,55.321,26.679,55.0,3.4876867691924396,51.0,60.0,0.951,0.611,0.111,0.005,0.0,0.071,0.207,0.376,0.667,0.999
NYK,49.96,33.04,50.0,3.3767439938496966,46.0,54.0,0.568,0.094,0.003,0.0,0.0,0.067,0.19,0.36,0.64,0.988
HOU,51.5,30.5,52.0,3.426660181576224,47.0,56.0,0.727,0.195,0.007,0.0,0.0,0.065,0.125,0.287,0.586,0.986
BOS,50.248,31.752,50.0,3.410351301552378,46.0,55.0,0.597,0.102,0.002,0.0,0.0,0.057,0.156,0.312,0.582,0.983
DEN,51.324,30.676,51.0,3.356638794985245,47.0,56.0,0.706,0.168,0.006,0.0,0.0,0.046,0.101,0.247,0.571,0.986
MIN,47.833,34.167,48.0,3.2931916130100904,44.0,52.0,0.317,0.019,0.0,0.0,0.0,0.04,0.072,0.191,0.437,0.908
SAS,51.043,31.957,51.0,3.281638462719499,47.0,55.0,0.675,0.148,0.003,0.0,0.0,0.035,0.068,0.216,0.522,0.973
GSW,45.439,36.561,45.0,3.238252460818952,41.0,50.0,0.106,0.003,0.0,0.0,0.0,0.025,0.042,0.119,0.303,0.772
TOR,47.527,34.473,48.0,3.492745481709196,43.0,52.0,0.293,0.018,0.0,0.0,0.0,0.021,0.058,0.14,0.357,0.915
ORL,43.112,38.888,43.0,3.425997081142948,39.0,47.0,0.027,0.0,0.0,0.0,0.0,0.016,0.052,0.118,0.286,0.691
MIA,44.879,37.121,45.0,3.44678966576146,40.0,49.0,0.084,0.001,0.0,0.0,0.0,0.016,0.038,0.115,0.301,0.788
LAC,41.921,40.079,42.0,3.467385037748188,37.0,46.0,0.009,0.0,0.0,0.0,0.0,0.015,0.019,0.052,0.133,0.457
ATL,41.745,40.255,42.0,3.306051270019871,37.0,46.0,0.007,0.0,0.0,0.0,0.0,0.01,0.033,0.091,0.194,0.573
LAL,47.049,34.951,47.0,3.4357821525818544,42.0,51.0,0.235,0.016,0.0,0.0,0.0,0.01,0.026,0.088,0.304,0.848
PHI,43.375,38.625,43.0,3.245670192733698,39.0,48.0,0.029,0.0,0.0,0.0,0.0,0.007,0.028,0.085,0.214,0.668
PHX,44.987,37.013,45.0,3.5373480179366013,40.0,49.0,0.092,0.002,0.0,0.0,0.0,0.003,0.014,0.051,0.179,0.646
POR,40.718,41.282,41.0,3.6625777807440483,36.0,45.0,0.009,0.0,0.0,0.0,0.0,0.003,0.006,0.025,0.07,0.29
CHI,38.14,43.86,38.0,3.6756496024512453,34.0,43.0,0.0,0.0,0.0,0.0,0.0,0.001,0.007,0.02,0.055,0.213
CHO,36.012,45.988,36.0,3.5802033461802143,31.0,41.0,0.001,0.0,0.0,0.0,0.0,0.001,0.006,0.01,0.033,0.108
MEM,36.6,45.4,37.0,3.845776904605882,32.0,42.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.01,0.024,0.104
MIL,35.772,46.228,36.0,3.7870854228548896,31.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.012,0.036,0.098
DAL,34.059,47.941,34.0,3.600488716827203,29.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.029
UTA,26.259,55.741,26.0,3.2317052774038664,22.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
SAC,23.845,58.155,24.0,3.3500708947722284,20.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,23.806,58.194,24.0,3.346993277555245,20.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,23.162,58.838,23.0,3.5028211487314054,19.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRK,22.971,59.029,23.0,3.256402769928806,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,20.904,61.096,21.0,2.872765914584758,17.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
