team,wins,losses,champion,finals,conference_finals,second_round,playoffs
OKC,65.39,16.61,0.311,0.491,0.655,0.838,1.0
BOS,58.415,23.585,0.281,0.463,0.639,0.854,1.0
CLE,65.649,16.351,0.069,0.171,0.418,0.724,1.0
MIN,47.883,34.117,0.061,0.141,0.287,0.565,0.963
NYK,51.918,30.082,0.056,0.122,0.216,0.647,1.0
DEN,51.94,30.06,0.05,0.108,0.327,0.593,0.997
IND,47.333,34.667,0.038,0.092,0.271,0.585,1.0
MEM,50.016,31.984,0.026,0.069,0.189,0.498,0.992
MIL,45.904,36.096,0.025,0.08,0.212,0.474,0.996
GSW,46.518,35.482,0.022,0.05,0.135,0.322,0.852
HOU,49.812,32.188,0.017,0.048,0.136,0.398,0.982
LAL,48.554,33.446,0.013,0.051,0.151,0.455,0.949
ORL,37.958,44.042,0.008,0.021,0.065,0.141,0.575
ATL,39.559,42.441,0.006,0.017,0.051,0.14,0.689
SAC,41.138,40.862,0.005,0.011,0.035,0.065,0.278
LAC,44.577,37.423,0.004,0.019,0.057,0.205,0.701
DET,44.024,37.976,0.003,0.022,0.075,0.273,0.978
DAL,40.049,41.951,0.003,0.008,0.022,0.048,0.207
MIA,37.182,44.818,0.002,0.01,0.035,0.104,0.499
PHO,38.049,43.951,0.0,0.004,0.006,0.012,0.071
CHI,35.004,46.996,0.0,0.002,0.016,0.047,0.22
PHI,29.717,52.283,0.0,0.0,0.001,0.002,0.008
BRK,27.299,54.701,0.0,0.0,0.001,0.001,0.001
TOR,30.868,51.132,0.0,0.0,0.0,0.008,0.034
POR,34.757,47.243,0.0,0.0,0.0,0.001,0.005
SAS,34.155,47.845,0.0,0.0,0.0,0.0,0.003
NOP,24.503,57.497,0.0,0.0,0.0,0.0,0.0
CHO,22.201,59.799,0.0,0.0,0.0,0.0,0.0
UTA,20.118,61.882,0.0,0.0,0.0,0.0,0.0
WAS,19.51,62.49,0.0,0.0,0.0,0.0,0.0
