team,wins,losses,champion,finals,conference_finals,second_round,playoffs
OKC,62.354,19.646,0.274,0.428,0.595,0.791,1.0
BOS,55.806,26.194,0.263,0.443,0.601,0.804,1.0
CLE,59.32,22.68,0.064,0.142,0.357,0.658,1.0
DEN,50.401,31.599,0.064,0.12,0.251,0.521,0.985
IND,46.839,35.161,0.042,0.099,0.233,0.515,0.974
MIN,44.861,37.139,0.041,0.091,0.196,0.385,0.754
NYK,49.928,32.072,0.04,0.12,0.271,0.609,0.995
MIL,46.215,34.785,0.031,0.079,0.207,0.493,0.95
DAL,45.055,36.945,0.03,0.081,0.188,0.394,0.777
MEM,50.25,31.75,0.03,0.078,0.219,0.52,0.966
HOU,49.764,32.236,0.027,0.073,0.18,0.425,0.961
SAC,42.709,39.291,0.018,0.033,0.092,0.225,0.528
ORL,41.5,40.5,0.014,0.043,0.1,0.255,0.745
PHO,41.24,40.76,0.012,0.032,0.075,0.165,0.387
PHI,35.251,46.749,0.011,0.02,0.052,0.105,0.259
MIA,41.109,40.891,0.01,0.031,0.083,0.22,0.721
GSW,41.101,40.899,0.007,0.022,0.053,0.133,0.368
LAC,43.622,38.378,0.005,0.014,0.052,0.182,0.579
ATL,39.905,42.095,0.005,0.011,0.055,0.154,0.562
SAS,38.1,42.9,0.005,0.011,0.021,0.044,0.123
LAL,43.391,37.609,0.004,0.017,0.078,0.215,0.571
DET,40.495,41.505,0.003,0.007,0.025,0.138,0.6
CHI,34.694,47.306,0.0,0.005,0.014,0.043,0.168
TOR,27.757,54.243,0.0,0.0,0.001,0.004,0.01
BRK,26.561,55.439,0.0,0.0,0.001,0.001,0.007
CHO,27.469,54.531,0.0,0.0,0.0,0.001,0.009
POR,30.062,51.938,0.0,0.0,0.0,0.0,0.001
NOP,28.307,52.693,0.0,0.0,0.0,0.0,0.0
UTA,24.975,57.025,0.0,0.0,0.0,0.0,0.0
WAS,18.959,63.041,0.0,0.0,0.0,0.0,0.0
