simulation,OKC,LAL,DAL,CHO,BOS,ORL,ATL,NYK,CHI,MEM,POR,MIL,UTA,PHX,IND,GSW,BRK,HOU,TOR,SAC,LAC,NOP,PHI,DEN,SAS,DET,CLE,MIA,WAS,MIN
0,56,55,38,29,48,47,45,57,40,35,45,39,24,41,19,31,21,55,49,26,38,20,45,49,49,51,52,49,29,49
1,67,41,35,31,59,49,44,56,34,33,37,44,26,46,12,48,22,57,35,24,44,21,49,48,53,51,53,44,28,40
2,67,42,32,38,52,41,35,45,42,44,46,39,20,37,16,47,35,46,45,24,38,28,53,50,57,52,49,48,22,41
3,57,54,29,28,47,45,29,55,33,44,46,46,26,49,20,42,28,59,40,27,38,24,41,47,53,60,48,45,18,53
4,67,53,40,38,55,43,41,55,38,40,35,34,23,35,16,41,25,57,49,24,33,26,42,47,51,53,52,48,22,48
5,63,42,38,33,47,48,35,52,39,37,42,36,26,47,23,35,25,60,42,24,34,23,48,54,53,59,48,45,18,55
6,64,51,39,34,48,50,40,53,43,36,39,40,24,33,12,37,27,57,41,26,42,17,51,54,56,57,45,46,21,48
7,61,45,41,28,57,45,40,50,31,41,35,45,27,44,23,50,35,51,43,21,42,16,40,47,54,61,46,48,19,45
8,62,51,41,25,52,39,39,50,37,38,38,36,22,38,16,41,30,52,46,24,39,31,50,45,55,57,56,48,26,47
9,67,43,31,34,53,46,35,47,32,36,50,42,23,47,22,47,18,58,43,23,48,18,42,50,57,59,50,46,19,45
10,59,41,39,30,56,49,37,55,30,43,40,31,28,48,34,42,26,49,46,24,33,23,41,44,52,57,50,44,22,58
11,62,54,40,27,43,45,45,55,38,34,39,38,22,50,21,44,32,53,43,29,39,16,51,50,52,48,42,44,24,51
12,63,55,38,29,49,54,39,43,29,37,41,42,22,47,23,46,23,59,47,27,42,20,50,53,42,54,42,42,21,52
13,62,48,36,27,55,47,45,52,33,40,35,36,25,44,22,43,26,53,39,25,48,21,42,50,50,51,59,48,23,46
14,58,51,30,28,48,52,43,55,37,42,40,34,28,46,21,40,40,50,46,31,36,21,44,55,58,48,42,38,27,42
15,62,49,42,37,50,41,43,53,38,47,33,34,22,41,29,39,24,52,43,23,36,27,40,47,58,56,50,39,24,52
16,66,51,38,34,45,46,43,48,39,38,39,31,25,35,24,42,39,49,48,23,42,25,41,50,53,55,52,43,22,45
17,69,42,29,24,53,49,36,53,34,40,38,34,27,49,31,44,24,53,48,24,47,26,37,56,48,54,49,45,21,47
18,55,53,36,25,48,44,40,55,40,39,36,36,18,38,29,46,29,56,42,28,40,24,53,52,49,56,46,46,21,51
19,63,39,30,40,52,42,40,59,36,39,44,33,26,40,24,47,33,45,49,20,45,20,37,48,56,53,52,44,24,51
20,68,43,35,39,50,45,42,55,41,42,39,41,33,38,14,42,34,51,41,17,29,25,44,48,51,56,50,51,21,46
21,59,47,38,36,51,46,45,53,40,42,36,48,29,40,15,39,28,47,42,22,30,22,51,54,52,47,54,43,32,43
22,65,48,33,34,50,46,35,46,27,34,37,38,25,45,17,38,32,49,42,33,38,26,50,52,53,60,50,49,28,51
23,62,52,35,36,47,52,41,54,35,38,37,48,25,43,16,44,26,56,43,23,42,20,38,50,57,55,44,48,17,47
24,65,41,33,27,53,48,41,58,38,30,40,45,23,40,17,47,25,58,42,29,42,22,43,56,56,52,46,47,26,41
25,55,51,38,30,52,43,36,51,34,47,37,45,18,33,22,44,37,48,53,29,38,17,47,51,48,61,51,43,20,52
26,71,48,31,22,53,45,45,49,41,38,40,32,26,50,18,44,25,55,40,31,34,18,55,47,53,51,46,50,22,51
27,56,50,34,32,55,49,41,50,38,39,38,38,24,43,18,45,31,56,41,26,44,23,40,48,55,54,50,39,25,49
