simulation,OKC,LAL,DAL,CHO,BOS,ORL,ATL,NYK,CHI,MEM,POR,MIL,UTA,PHX,IND,GSW,BRK,HOU,TOR,SAC,LAC,NOP,PHI,DEN,SAS,DET,CLE,MIA,WAS,MIN
0,64,44,31,29,53,38,50,58,43,38,44,32,22,43,22,40,33,50,47,24,34,31,39,54,58,56,49,41,19,45
1,62,54,36,34,50,47,33,58,33,40,31,31,28,48,25,44,24,49,43,26,42,18,51,52,59,51,48,48,22,44
2,57,45,33,40,52,51,42,48,34,41,41,35,29,45,22,38,36,49,43,14,38,27,42,50,58,57,46,36,25,57
3,65,47,31,24,48,45,40,53,36,38,47,40,30,42,17,39,26,48,45,23,39,21,48,55,58,56,48,48,25,49
4,59,48,30,44,52,43,45,52,39,30,37,34,20,40,27,51,22,51,39,23,41,33,38,53,55,54,49,42,28,52
5,65,43,36,35,42,50,46,49,37,33,48,39,26,38,19,51,32,52,40,25,33,19,42,55,51,58,55,43,21,48
6,60,44,30,33,52,50,50,57,35,35,42,35,29,47,17,45,24,55,50,19,39,21,48,55,52,47,46,42,27,45
7,63,51,30,29,45,46,41,45,27,44,39,39,23,51,23,47,27,53,52,21,37,30,44,54,53,58,39,53,18,49
8,62,48,35,26,46,37,35,52,29,38,37,38,29,43,19,49,33,54,51,27,39,21,44,54,51,56,48,50,26,54
9,59,51,37,25,52,50,37,42,41,40,41,30,31,37,22,39,31,52,43,18,46,23,46,58,55,54,42,52,28,49
10,62,48,39,27,53,43,33,50,38,41,45,40,31,45,20,44,25,57,50,21,48,23,43,46,44,58,46,50,20,41
11,63,55,42,40,49,48,34,53,37,34,39,38,23,38,20,40,23,45,51,25,48,23,48,46,52,52,52,43,26,44
12,60,49,35,34,48,49,38,54,33,37,38,38,24,42,22,46,24,58,46,24,37,24,47,53,47,54,46,45,24,55
13,67,45,39,35,47,39,39,51,40,36,29,33,29,39,21,42,25,51,47,27,38,21,45,57,51,58,52,48,31,49
14,60,48,38,36,51,46,41,53,36,47,44,30,28,42,20,42,21,57,40,20,52,23,45,48,51,55,43,43,29,42
15,59,43,37,33,56,50,44,48,45,34,37,37,25,47,22,38,22,56,49,28,44,19,45,50,53,59,41,44,18,48
16,63,38,32,27,50,48,45,52,40,37,42,39,23,46,25,40,25,49,47,20,43,27,57,51,46,56,41,48,27,47
17,63,41,36,35,49,41,44,53,33,42,40,35,22,51,21,47,25,52,42,25,44,20,45,54,52,47,46,45,27,54
18,63,44,34,30,56,50,40,53,37,32,35,34,30,46,23,40,24,51,54,20,45,16,47,57,50,60,43,41,34,42
19,62,46,40,30,56,47,43,51,43,34,32,34,27,44,19,45,28,52,42,21,41,24,48,56,51,47,47,51,25,45
20,60,49,37,28,50,52,39,51,34,41,36,37,29,42,25,42,28,55,45,25,36,27,44,54,51,47,48,46,21,52
21,66,49,32,38,44,44,47,50,36,37,36,29,22,43,18,50,29,51,53,22,34,21,47,49,54,56,46,45,31,52
22,68,52,27,39,58,44,39,50,43,41,43,41,23,41,23,41,31,55,41,15,42,25,36,47,53,52,52,42,21,46
23,58,39,40,24,53,43,40,53,47,44,27,39,23,43,20,40,25,62,51,25,49,24,41,53,46,52,51,44,27,48
24,59,61,35,34,52,49,31,56,36,43,41,39,23,40,28,43,29,52,49,17,37,21,49,45,52,52,45,43,25,45
25,62,49,28,40,50,51,33,54,33,44,34,36,22,54,17,45,29,53,45,26,36,20,48,60,52,56,38,48,23,45
26,65,48,39,30,48,49,40,58,34,29,43,38,24,44,19,46,26,49,50,24,41,24,42,49,52,55,52,43,19,51
27,65,47,37,28,50,45,41,53,34,41,43,42,27,44,29,43,22,41,48,30,41,15,37,50,52,61,44,43,26,52
28,62,41,39,38,48,43,43,56,33,35,37,38,23,49,18,44,33,47,41,30,37,18,57,53,56,57,42,41,20,52
29,60,47,35,29,50,49,50,56,33,40,34,39,28,48,25,45,23,48,50,20,39,16,45,48,53,58,49,39,32,43
30,57,44,34,39,49,51,42,48,42,36,36,42,27,40,19,44,24,51,44,34,38,21,41,53,51,53,50,47,18,56
31,64,46,28,35,49,46,39,59,23,40,41,37,20,43,18,44,27,50,47,31,42,18,45,55,54,60,47,50,22,51
32,66,46,30,33,44,49,48,52,40,41,45,36,29,48,18,45,35,44,42,19,41,23,44,46,54,53,48,43,23,46
33,54,47,32,32,50,40,45,56,35,33,33,38,27,43,28,47,19,49,49,20,44,28,50,53,47,50,53,44,32,53
34,62,58,31,34,49,46,38,49,31,31,33,40,30,45,18,50,33,47,48,18,44,19,39,50,60,55,51,51,25,46
35,58,52,37,38,53,46,43,47,37,42,31,45,27,52,16,40,24,47,45,29,46,14,43,51,49,63,48,37,28,43
36,57,48,33,27,56,42,37,53,37,38,47,41,28,45,18,42,26,53,48,23,40,20,37,49,51,56,46,46,33,54
37,61,46,33,37,48,44,46,55,24,42,40,32,23,51,25,44,25,51,42,24,38,25,44,51,49,56,48,51,25,51
38,68,45,33,33,48,42,41,58,34,40,29,36,24,40,19,50,32,53,41,28,42,17,42,51,55,60,53,42,20,55
39,58,45,35,27,50,50,38,50,36,37,47,47,26,38,35,47,22,43,46,31,35,21,44,57,52,55,48,43,23,45
40,58,45,27,29,56,45,43,53,36,42,30,32,24,48,21,47,32,50,46,26,45,22,48,54,47,51,53,46,26,49
41,62,47,33,37,46,50,38,57,37,35,43,40,23,43,21,45,30,46,48,21,32,21,48,59,57,50,49,49,16,48
42,61,47,43,30,45,46,46,54,33,34,44,41,19,48,20,40,22,49,42,19,44,31,45,58,52,49,47,51,21,50
43,58,49,41,28,52,45,39,48,27,35,45,43,18,38,30,47,24,49,48,26,43,20,39,56,58,53,52,51,18,51
44,62,59,34,32,51,49,46,48,32,42,39,37,27,43,19,49,25,47,44,30,40,22,51,46,50,62,38,39,21,47
45,61,34,34,32,52,47,45,47,40,43,35,38,17,47,16,49,35,54,44,15,42,26,38,51,53,51,57,50,30,48
46,64,44,36,20,44,46,41,52,32,40,34,35,33,36,28,49,22,49,53,20,44,22,50,52,49,60,47,47,27,55
47,59,48,36,37,53,50,45,57,32,26,32,35,21,42,20,46,29,57,53,24,40,21,45,55,47,46,49,49,27,50
48,63,38,38,29,49,41,38,46,40,39,43,39,24,38,23,47,29,49,46,20,43,20,44,51,52,61,53,38,35,55
49,69,45,31,29,49,40,44,58,36,36,41,41,26,47,27,39,31,54,49,20,42,25,43,54,47,47,44,38,22,57
50,59,33,45,27,46,50,31,51,35,38,30,30,19,53,26,44,35,54,47,23,37,31,47,56,46,51,53,45,35,54
51,62,46,40,25,44,35,41,54,28,44,34,39,26,45,21,41,27,54,47,15,44,24,50,50,54,58,43,52,33,55
52,56,54,34,35,55,44,39,54,44,48,41,41,24,45,20,51,21,46,35,24,45,22,41,55,49,49,48,48,19,44
53,57,45,38,24,46,42,42,57,33,46,46,36,22,53,24,49,27,58,50,21,34,17,39,47,49,54,50,49,22,54
54,65,48,33,36,57,50,35,45,35,34,40,44,27,40,22,50,24,49,47,26,45,20,39,54,50,55,44,46,20,51
55,65,46,34,27,56,45,38,55,31,40,39,32,27,38,23,50,31,56,33,25,40,18,51,53,49,61,48,46,20,54
56,54,56,25,22,53,49,46,50,43,39,40,33,23,48,23,40,31,49,43,23,38,21,54,59,56,57,37,44,25,50
57,54,51,30,29,45,50,42,52,46,28,44,30,25,47,19,45,35,49,40,22,46,32,38,58,51,55,53,42,22,51
58,61,47,37,27,51,49,43,40,38,43,35,37,25,44,15,52,29,49,48,26,43,23,40,55,48,57,42,46,25,56
59,64,41,27,34,45,49,41,50,35,33,39,40,23,45,21,49,32,56,45,28,35,22,49,55,53,56,49,45,22,48
60,61,45,41,21,53,49,38,56,30,37,42,39,23,42,22,45,25,56,39,30,34,27,52,51,49,58,47,45,20,54
61,61,40,35,37,47,41,46,53,29,35,51,37,16,48,19,54,27,43,48,22,44,23,39,51,55,55,56,41,28,50
62,63,48,38,32,47,56,37,53,39,42,37,42,28,38,26,39,35,47,37,31,39,14,37,58,50,56,44,38,29,51
63,55,52,37,34,50,49,40,47,35,37,36,39,25,45,23,43,31,39,47,28,39,21,53,50,54,54,46,52,18,52
64,61,51,35,36,50,42,39,55,31,39,40,36,28,40,21,47,29,60,41,28,39,22,43,49,50,53,45,42,25,54
65,64,48,34,27,48,50,45,47,36,42,37,42,27,43,25,42,26,54,49,22,29,28,48,52,52,52,47,38,28,49
66,63,42,34,31,50,47,41,52,30,39,37,39,33,43,19,50,33,52,48,32,30,13,48,51,55,61,42,45,25,46
67,64,40,35,38,52,44,38,49,34,41,44,39,21,38,33,47,27,49,51,31,32,24,38,49,54,58,45,42,24,50
68,68,47,44,32,40,41,45,54,40,36,33,32,28,49,18,47,28,47,48,24,35,23,43,49,58,50,49,53,27,43
69,60,49,24,30,42,51,50,60,36,34,45,29,25,47,27,46,36,55,43,19,35,26,40,52,50,52,48,46,20,54
70,62,42,27,29,55,48,40,52,37,40,33,45,23,46,19,45,38,57,51,18,40,24,46,55,50,57,51,34,24,43
71,68,43,32,37,45,42,38,57,36,36,44,46,30,39,31,41,18,44,50,23,42,27,48,44,48,59,44,50,20,49
72,66,48,30,31,50,40,35,52,37,40,35,29,25,54,29,42,35,50,46,26,36,24,47,49,45,47,46,53,29,55
73,66,41,37,36,49,46,43,50,39,44,40,33,28,48,18,40,33,58,43,24,39,23,36,47,47,56,50,46,21,50
74,67,52,43,38,44,49,41,58,34,36,36,37,29,47,20,43,27,46,41,27,37,22,34,46,56,61,48,40,27,45
75,58,47,34,35,52,53,43,53,36,45,40,28,39,41,23,40,32,55,40,21,36,23,41,52,48,58,51,42,19,46
76,61,42,26,34,49,41,45,53,36,27,44,45,25,39,21,50,24,44,46,29,37,25,50,52,59,61,49,43,22,52
77,53,45,33,34,49,44,41,57,29,34,45,41,23,46,15,50,29,55,34,24,40,19,41,59,54,60,42,49,26,60
78,58,47,35,32,40,52,47,60,36,36,40,29,24,40,22,43,29,51,47,19,40,21,49,51,59,55,42,49,21,57
79,65,49,37,32,51,56,46,51,39,40,39,42,18,50,24,38,21,53,48,32,28,22,37,45,51,55,49,42,22,49
80,58,55,39,28,55,41,44,51,37,33,43,36,24,38,29,46,22,53,47,17,45,20,47,48,51,60,55,44,17,48
81,58,50,40,30,44,43,38,42,31,43,40,38,22,47,19,48,36,54,40,25,36,22,49,50,55,62,46,42,26,55
