simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,66,43,45,21,39,38,37,39,45,47,51,31,36,56,23,48,43,21,28,46,23,42,49,52,47,24,38,52,46,55
1,64,49,41,33,42,40,35,33,37,48,50,36,28,58,17,45,39,26,22,53,28,41,51,50,55,25,44,50,45,46
2,62,49,43,29,40,39,34,41,43,55,43,32,34,56,20,45,46,17,23,52,19,44,50,51,51,22,44,46,46,55
3,59,47,43,28,38,47,33,43,39,44,54,33,31,54,22,44,46,17,22,53,30,46,40,48,48,18,43,54,49,58
4,71,43,51,28,32,29,35,42,44,44,48,35,28,51,17,51,44,24,22,51,21,50,44,49,49,25,50,53,50,50
5,66,52,45,24,38,40,39,47,40,47,54,27,33,45,33,43,38,20,22,47,18,44,44,52,46,22,48,52,52,53
6,58,41,39,26,42,43,35,39,45,46,48,37,29,53,23,45,43,22,25,51,21,44,45,52,56,23,46,51,49,54
7,59,52,39,26,43,37,36,47,39,44,50,31,33,48,23,43,43,26,31,53,22,44,53,52,46,21,41,50,45,54
8,66,44,48,28,40,33,36,42,34,46,50,29,35,50,17,43,39,17,26,52,23,41,53,53,52,28,46,56,49,55
9,66,47,47,26,36,38,35,37,47,41,42,42,33,49,24,48,50,23,25,46,27,43,46,46,51,19,45,49,49,54
10,64,54,49,29,44,47,41,43,36,46,44,37,34,57,21,44,39,17,20,47,23,43,39,45,49,26,49,55,43,46
11,57,53,41,32,40,37,44,36,40,47,43,30,29,54,29,51,34,27,23,46,27,38,41,52,52,19,48,52,57,52
12,66,50,44,29,38,38,29,41,43,48,49,35,30,48,19,44,42,18,29,52,26,46,48,53,43,22,48,51,47,55
13,66,42,41,26,38,41,32,36,41,45,48,30,31,55,17,42,44,25,25,60,29,41,53,56,51,28,42,50,44,52
14,64,48,42,24,35,37,36,38,47,46,41,38,25,51,22,43,41,23,35,48,26,43,45,58,49,21,48,52,46,59
15,68,42,44,31,31,37,34,40,45,46,46,30,29,55,25,40,44,22,27,46,32,45,43,56,51,25,44,51,49,53
16,61,47,45,27,32,40,38,37,44,47,48,31,33,48,25,45,39,22,22,51,30,39,43,59,51,22,43,55,50,57
17,69,46,53,24,41,33,45,44,42,45,53,32,30,46,15,44,43,22,28,54,27,46,38,50,56,21,39,43,46,56
18,63,47,39,29,38,45,32,40,39,47,50,36,36,52,24,44,42,26,22,47,23,46,43,52,52,17,46,50,46,58
19,59,47,46,26,41,43,34,38,46,40,51,37,31,46,24,45,35,27,18,52,28,50,39,57,48,29,39,54,52,49
20,65,41,43,26,42,42,35,40,44,45,44,28,35,53,24,47,40,23,24,53,24,45,48,49,57,18,47,47,50,52
21,63,46,51,30,41,33,34,42,40,45,48,28,34,51,29,45,39,22,19,48,31,46,40,54,45,21,55,52,44,55
22,55,41,51,26,36,41,40,40,40,48,53,33,31,53,20,52,44,22,20,53,23,50,39,53,45,25,48,48,51,50
23,69,47,38,23,37,38,37,39,41,46,45,29,29,50,24,40,44,27,27,46,22,50,52,50,60,24,40,55,49,53
24,62,42,43,24,36,41,42,31,44,44,51,31,28,55,30,41,39,30,18,56,27,36,39,58,57,21,45,52,51,57
25,63,47,45,31,35,36,30,46,46,45,44,31,35,58,24,48,41,26,23,48,27,44,36,57,49,20,47,50,47,52
26,64,49,44,23,36,44,32,44,39,38,50,28,36,49,19,47,41,25,26,50,33,41,41,52,54,17,56,49,49,55
27,64,48,49,36,39,41,32,34,42,50,49,30,29,48,27,45,37,21,23,53,26,45,50,50,46,16,45,53,44,59
28,63,51,42,22,37,41,34,40,39,48,49,36,32,51,23,45,39,22,30,57,23,41,44,53,57,22,48,45,44,53
29,60,51,38,31,43,39,41,36,41,42,54,31,28,45,21,46,41,22,29,44,21,44,46,57,54,20,46,49,52,59
30,57,49,55,26,39,34,36,38,46,46,47,33,34,46,19,48,42,23,23,50,27,46,38,55,50,26,44,49,51,54
31,65,51,41,27,39,39,33,38,40,50,49,38,27,49,23,43,40,24,19,46,24,47,46,54,60,21,43,50,52,53
32,63,46,46,35,35,41,32,33,37,48,49,26,32,47,18,48,39,26,27,52,33,47,47,53,49,27,48,53,47,47
33,62,46,52,27,37,31,37,36,48,46,50,30,28,50,25,46,48,24,29,51,24,45,45,53,47,23,41,51,50,49
34,60,48,45,27,45,44,37,44,41,43,53,27,35,54,21,49,45,24,21,49,17,43,35,52,52,19,41,49,48,63
35,59,45,46,27,34,32,30,38,28,49,57,31,39,50,20,48,36,21,26,56,30,48,48,59,56,19,51,53,44,51
36,71,46,46,23,28,34,38,43,38,44,43,35,41,51,22,44,44,20,21,51,23,43,43,55,54,27,47,53,49,54
37,63,49,41,21,39,36,35,33,42,43,42,28,44,55,21,43,39,23,30,52,22,41,51,56,53,25,47,51,53,53
38,66,47,44,24,34,42,34,35,40,46,46,37,36,57,19,52,32,22,26,49,21,49,47,51,50,24,41,57,54,49
39,60,38,50,25,41,35,41,38,45,44,47,29,36,49,29,45,37,23,24,49,26,45,47,57,57,23,37,52,48,54
40,62,46,43,31,38,38,39,38,47,47,38,38,36,48,33,46,41,18,36,44,21,42,41,51,51,25,41,54,42,56
41,64,50,51,22,36,37,35,40,47,48,48,34,29,53,24,45,40,24,30,47,22,46,43,49,56,18,48,51,46,48
42,61,50,43,20,32,34,40,36,39,50,53,36,30,54,27,44,36,26,21,50,34,41,45,57,53,21,47,54,43,54
43,68,48,44,24,24,42,35,41,42,42,51,29,32,50,23,43,38,23,24,52,27,48,50,49,45,24,48,58,50,57
44,63,49,37,32,31,36,30,42,43,48,48,40,32,47,21,46,42,18,19,60,31,49,44,45,45,25,44,55,49,60
45,67,51,52,24,39,41,33,41,44,40,52,26,31,55,26,46,37,28,23,47,24,40,44,48,53,22,40,57,46,54
46,59,42,49,26,42,35,40,39,46,44,46,32,30,46,19,42,37,21,29,54,25,44,48,52,52,22,50,53,49,58
47,59,44,47,25,39,36,33,43,43,50,47,31,31,54,18,46,48,30,25,50,31,42,47,49,52,22,41,54,44,50
48,68,48,43,23,36,35,38,39,48,39,54,31,35,53,26,42,46,25,23,49,22,47,45,49,55,17,42,50,45,58
49,67,49,50,26,37,29,33,34,44,44,52,28,38,49,19,45,38,25,35,47,24,45,47,53,55,20,48,52,47,51
50,62,48,41,34,33,38,42,39,45,45,44,31,21,53,28,45,50,20,26,55,21,38,41,50,53,20,43,53,57,55
51,66,51,42,24,40,37,30,37,46,45,46,25,23,50,21,50,47,21,27,50,30,50,47,49,53,23,43,52,50,56
52,55,51,44,28,42,29,39,35,40,47,48,29,34,47,19,41,41,21,27,60,25,44,54,49,54,26,43,50,49,60
53,58,47,44,27,37,36,40,42,40,42,52,36,26,53,23,44,36,22,31,55,23,43,47,53,49,23,45,60,43,54
54,63,49,42,23,44,42,33,42,42,46,44,35,38,54,21,49,35,25,25,49,27,45,43,48,47,23,45,54,44,54
55,62,46,40,27,33,36,30,43,49,39,52,32,30,51,20,49,45,25,25,55,24,50,47,52,47,25,44,51,46,56
56,59,45,42,36,36,26,32,43,37,51,47,33,28,62,23,47,44,25,18,53,30,51,50,52,49,21,40,50,51,50
57,57,44,40,29,40,38,32,48,38,40,53,36,25,49,18,48,39,25,27,50,28,46,41,57,54,24,39,48,54,64
58,64,37,49,32,29,40,40,29,34,50,51,25,28,49,30,43,41,25,27,47,26,44,48,55,52,25,46,56,52,57
59,56,51,49,27,39,36,42,36,48,49,55,26,41,49,24,46,34,22,32,49,20,45,43,58,42,23,40,46,44,59
60,62,43,46,25,35,35,39,49,43,42,47,31,35,53,22,47,43,25,29,51,25,41,43,50,47,21,43,55,48,56
61,64,46,46,28,34,41,33,32,38,50,44,33,36,50,22,38,37,19,27,52,27,49,53,51,52,24,47,55,45,58
62,67,45,43,29,35,38,32,44,41,49,52,35,26,49,15,40,40,23,25,49,29,44,42,57,55,21,49,56,46,55
63,62,45,41,26,35,43,38,38,42,42,54,25,35,51,27,48,41,16,26,51,23,44,48,53,49,27,44,56,43,58
64,60,49,48,27,37,38,32,39,46,49,50,35,31,47,22,45,37,16,27,54,25,47,48,53,51,25,46,53,49,45
65,63,45,53,26,34,37,38,37,42,44,51,35,31,52,16,49,41,26,30,52,20,42,46,52,52,26,42,51,42,56
66,65,45,47,32,32,34,39,31,45,43,49,41,28,51,14,45,46,21,32,44,18,43,44,56,56,27,43,51,50,59
67,60,56,43,29,40,39,32,37,40,48,44,33,36,52,19,44,42,22,21,54,27,46,49,49,52,24,42,55,42,54
68,64,49,42,25,40,34,34,44,42,44,45,37,24,55,25,47,47,23,18,48,27,48,41,54,50,21,47,54,46,56
69,63,43,48,26,36,37,43,35,37,44,50,42,36,54,22,42,47,28,18,50,20,44,49,51,51,25,42,47,49,52
70,62,46,46,32,39,36,41,36,45,49,50,34,33,44,19,44,40,22,26,49,18,48,45,60,48,24,41,55,45,54
71,62,44,48,26,33,43,34,39,35,53,49,32,32,52,28,41,39,29,21,52,27,47,54,46,54,18,40,54,50,49
72,62,53,47,28,35,42,31,36,42,42,49,35,31,50,16,37,35,21,31,58,24,44,50,56,50,28,39,50,52,57
73,63,47,47,22,38,44,38,33,41,46,49,29,36,49,22,43,35,25,23,49,20,48,48,58,47,23,46,54,53,55
74,66,47,39,27,34,32,28,43,45,49,49,34,39,50,22,44,42,26,15,48,28,47,46,49,50,23,47,56,50,56
75,57,51,48,22,40,40,37,36,47,40,41,36,36,50,22,49,42,19,31,53,21,46,39,57,54,20,42,53,51,51
76,59,55,36,30,38,44,39,39,52,42,50,34,32,48,20,40,49,18,19,46,28,49,45,55,46,31,44,46,48,49
77,68,50,46,25,38,35,38,34,44,44,41,38,26,50,24,43,45,28,23,53,27,45,45,49,49,24,43,53,48,55
78,61,46,50,35,35,31,35,38,42,50,47,35,38,50,19,43,42,22,31,52,26,51,43,58,41,25,42,50,41,52
79,62,42,47,27,38,40,33,44,39,45,47,30,35,56,25,48,48,23,32,47,26,43,50,42,50,22,48,43,49,50
80,64,43,37,25,41,33,29,43,44,48,52,35,37,52,25,46,42,20,23,51,26,48,43,51,52,29,37,55,51,49
81,64,46,42,26,34,45,42,43,42,45,48,37,35,47,14,46,38,25,22,49,28,47,49,51,55,22,38,54,47,50
82,60,42,44,28,33,39,38,36,40,46,43,31,34,54,24,50,42,23,24,58,34,49,46,53,48,21,42,50,47,52
83,59,43,42,33,41,44,43,36,42,44,55,26,36,50,15,48,41,26,27,45,30,44,39,62,49,24,45,49,45,48
84,63,44,46,30,32,34,38,34,48,51,53,28,33,50,22,43,41,24,29,53,23,48,44,48,46,15,48,55,54,54
85,63,46,49,26,40,43,31,36,41,48,49,29,35,60,23,50,36,23,23,50,25,46,44,47,53,22,42,55,40,56
86,59,47,39,33,40,41,36,43,34,50,43,28,34,47,28,47,38,19,20,57,22,44,55,55,53,18,45,52,47,57
87,64,42,51,26,38,42,30,41,46,44,48,30,36,51,26,35,44,20,28,53,25,48,46,52,55,22,40,45,50,53
88,66,53,45,26,29,41,30,37,43,49,51,28,30,48,22,45,45,23,18,56,25,45,50,53,50,19,47,52,46,59
89,59,42,40,28,38,41,32,46,38,47,50,36,33,50,22,46,40,24,23,51,25,51,45,57,50,20,50,48,39,60
