simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,60,51,45,27,26,29,40,37,43,47,53,35,37,45,25,42,44,26,24,51,23,46,41,53,53,21,48,53,50,56
1,64,47,46,17,35,35,41,34,47,43,45,36,27,51,32,48,39,35,20,53,31,45,39,52,53,22,39,56,48,51
2,60,40,49,28,39,41,36,38,46,44,49,42,36,53,25,45,41,29,22,48,25,42,45,51,50,17,42,50,44,54
3,59,42,45,22,32,33,48,46,42,44,54,32,35,48,20,48,41,25,24,58,23,44,41,56,46,20,42,53,49,59
4,59,46,48,21,32,37,39,37,41,42,51,34,39,53,24,45,43,19,28,48,25,49,45,52,43,25,48,53,46,59
5,65,49,48,24,35,34,36,40,42,45,55,33,32,49,27,41,42,20,27,51,23,42,47,53,49,22,46,46,50,58
6,56,50,45,24,31,27,39,41,45,50,48,36,34,54,22,46,39,24,23,45,25,51,45,54,51,18,46,53,50,59
7,60,45,45,22,39,33,36,38,36,45,50,39,31,51,21,50,45,21,23,56,26,48,45,53,47,26,42,54,50,54
8,61,49,52,27,37,34,39,40,43,44,49,35,29,47,27,45,43,19,25,55,22,42,47,54,52,20,42,50,44,58
9,67,49,51,21,35,39,32,39,36,49,48,36,30,46,28,44,40,22,25,51,27,49,37,47,53,18,55,57,46,54
10,64,45,44,23,34,32,40,39,47,46,47,41,32,51,23,48,48,18,19,54,21,47,43,54,50,19,47,50,47,58
11,63,42,45,26,34,35,44,38,41,45,44,38,34,55,21,43,44,24,27,52,30,36,42,55,46,22,51,48,48,58
12,56,45,49,19,31,35,39,38,44,42,50,36,34,53,23,46,43,30,27,52,18,44,40,58,48,25,51,51,45,59
13,61,50,47,22,36,43,35,38,49,43,40,38,30,52,20,40,40,27,25,49,22,45,44,55,52,28,46,50,48,56
14,63,41,48,20,46,35,40,41,42,40,45,38,34,54,23,50,35,24,27,54,26,45,41,50,50,19,43,54,48,55
15,57,44,41,26,38,32,42,42,44,44,47,40,33,53,21,52,40,26,18,51,24,47,40,50,54,21,45,55,49,55
16,56,48,49,28,37,32,31,34,42,45,45,39,28,54,22,48,46,23,23,49,21,48,45,52,50,26,54,50,48,58
17,58,46,44,26,35,28,39,41,38,43,50,31,34,53,27,46,42,26,23,51,24,43,45,56,50,19,44,55,53,61
18,58,52,42,24,36,33,34,39,38,47,51,34,37,54,26,46,45,17,22,48,27,47,50,50,52,18,52,52,48,52
19,63,51,54,24,35,32,28,38,44,44,45,41,34,52,23,43,46,21,26,51,22,45,42,53,53,22,47,50,44,58
20,65,49,48,23,30,35,37,42,48,45,49,30,34,52,20,45,42,22,22,51,30,48,44,51,50,17,46,51,48,57
21,58,42,45,20,32,33,38,42,37,43,47,38,35,55,27,50,42,27,27,57,18,48,43,47,51,19,50,55,48,57
22,62,55,48,22,30,39,36,40,40,45,49,37,31,55,21,46,45,22,23,52,23,47,42,48,50,18,47,51,52,55
23,66,47,48,29,34,36,34,37,43,41,46,37,36,52,19,39,39,25,24,58,25,46,49,50,47,24,46,55,42,57
24,60,47,51,22,32,36,33,39,47,48,49,38,33,54,24,43,45,26,21,45,22,48,39,56,51,20,50,49,46,57
25,65,46,46,23,30,31,35,38,42,42,50,41,38,52,27,42,45,28,22,54,18,45,45,57,44,28,44,51,48,54
26,63,51,46,33,26,35,36,40,42,45,47,39,23,53,24,41,50,26,26,47,20,46,42,52,44,17,47,59,49,62
27,60,44,42,30,29,39,39,38,42,48,47,42,35,53,26,46,32,26,26,56,19,49,44,49,49,20,44,51,53,53
28,62,53,47,28,32,36,39,38,44,44,50,36,34,53,25,43,40,21,23,56,19,51,39,57,49,18,46,49,42,57
29,62,45,47,25,33,34,37,44,44,42,53,35,41,51,30,43,43,22,21,52,19,49,44,52,47,21,41,51,47,56
30,62,49,47,23,29,32,41,39,46,43,52,34,30,50,21,46,43,29,21,54,26,46,39,51,52,22,46,55,49,54
31,61,44,44,21,37,30,36,36,40,48,50,40,38,50,29,50,39,26,24,54,21,43,38,56,49,22,47,52,47,59
32,61,49,46,29,39,30,40,42,39,42,47,38,38,50,19,45,38,26,18,48,26,48,44,52,53,21,45,55,43,60
33,61,44,45,19,35,39,35,37,42,44,51,37,36,52,18,48,43,27,23,51,24,44,48,50,49,21,52,49,50,57
34,61,45,52,31,32,31,38,43,39,43,50,35,32,54,20,47,42,18,17,56,21,47,44,54,51,20,46,52,49,61
35,63,47,50,29,34,31,36,35,44,40,45,38,36,54,25,45,43,22,24,52,26,44,47,52,47,25,46,54,46,51
