simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,64,38,51,35,29,38,30,37,38,46,49,31,32,53,18,38,47,24,20,58,31,42,52,55,50,25,44,50,46,60
1,62,45,46,32,38,37,33,43,45,44,47,30,39,55,18,44,35,16,23,48,31,41,44,54,56,23,47,50,51,54
2,63,54,48,34,27,36,34,37,50,43,48,36,31,58,23,41,43,19,26,43,18,49,43,53,59,23,40,50,52,50
3,67,41,47,26,39,38,42,38,42,42,50,31,29,54,17,42,42,16,26,58,30,42,42,54,49,20,45,56,48,58
4,62,45,50,33,36,30,36,34,38,45,46,34,27,51,26,45,45,22,20,52,25,42,52,50,51,22,47,60,48,57
5,61,39,43,23,35,40,38,43,40,42,51,32,26,52,21,53,39,30,23,49,31,50,50,53,49,25,37,60,48,48
6,65,51,39,28,43,35,43,41,51,43,56,34,31,55,18,41,38,23,17,43,27,47,49,54,52,16,41,55,47,48
7,60,47,46,29,37,37,35,39,44,44,48,38,38,48,20,43,38,30,26,46,23,40,46,55,52,19,47,51,50,55
8,63,47,44,27,30,32,33,44,42,45,49,38,36,53,29,42,45,25,27,52,20,45,42,54,42,23,45,50,47,60
9,61,54,43,27,37,34,37,36,42,51,52,37,29,51,24,49,39,22,22,52,26,49,45,50,46,22,44,55,48,47
10,62,42,36,41,41,38,40,41,43,47,52,36,32,47,26,49,42,19,21,53,31,41,46,47,46,20,37,51,47,57
11,61,44,43,24,39,35,35,46,40,52,43,33,35,52,16,43,38,23,27,54,32,50,41,47,56,19,38,57,50,58
12,65,41,48,24,28,42,40,44,45,36,51,31,35,50,22,49,37,22,23,54,25,50,49,49,44,25,40,55,47,60
13,66,42,48,27,47,31,40,49,43,45,45,37,26,52,24,50,37,20,23,50,22,45,44,49,50,20,46,54,46,53
14,57,53,48,23,39,39,36,38,50,45,49,31,35,56,17,39,44,25,22,52,23,44,49,52,44,28,39,52,53,49
15,62,48,42,30,42,37,36,40,52,45,49,36,28,49,29,38,40,27,20,53,19,42,45,51,56,19,42,52,47,55
16,61,44,43,29,38,40,42,42,46,43,47,35,32,53,25,50,35,30,17,50,27,47,41,51,49,22,45,53,40,54
17,64,50,43,27,36,35,37,37,44,49,49,32,35,55,26,41,36,21,20,50,26,50,49,54,49,25,35,56,44,56
18,64,46,50,28,36,44,39,40,43,42,48,31,36,58,19,43,33,26,22,48,20,45,44,50,51,24,45,54,50,52
19,62,44,43,30,32,30,32,44,45,48,55,29,33,50,26,44,40,23,27,50,27,44,46,54,50,18,47,56,45,57
20,66,45,43,23,39,37,33,43,45,44,48,35,31,53,19,47,46,23,20,52,22,40,44,51,51,20,46,55,50,60
21,58,48,43,24,38,38,30,41,35,47,51,32,33,52,21,40,37,22,23,50,33,57,45,54,53,20,51,53,52,50
22,62,40,43,29,40,39,42,26,42,43,51,35,39,49,27,51,41,20,19,53,20,50,50,49,48,24,45,54,47,53
23,64,46,44,25,41,38,35,36,33,45,54,38,36,54,23,49,49,19,24,54,20,39,39,61,42,17,49,45,54,58
