team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,61.385,20.615,62.0,2.693097658830812,58.0,65.0,1.0,0.988,0.764,0.117,0.0,0.518,0.652,0.778,0.905,1.0
DET,56.75,25.25,57.0,3.3026504507743475,52.0,61.0,0.986,0.751,0.215,0.005,0.0,0.096,0.246,0.457,0.743,0.999
CLE,50.737,31.263,51.0,2.908578862606273,47.0,54.0,0.669,0.095,0.0,0.0,0.0,0.088,0.233,0.405,0.74,0.991
NYK,52.794,30.206,53.0,2.9542450812347982,49.0,57.0,0.86,0.283,0.009,0.0,0.0,0.076,0.256,0.44,0.725,0.999
HOU,51.016,30.984,51.0,3.0281585163263824,47.0,55.0,0.694,0.134,0.001,0.0,0.0,0.046,0.092,0.267,0.618,0.982
BOS,51.043,30.957,51.0,3.0336695601202184,47.0,55.0,0.687,0.135,0.001,0.0,0.0,0.042,0.132,0.271,0.58,0.991
SAS,52.839,30.161,53.0,3.074585988389331,49.0,57.0,0.867,0.301,0.01,0.0,0.0,0.039,0.079,0.293,0.62,0.992
DEN,50.134,31.866,50.0,2.9539878131095936,46.0,54.0,0.583,0.07,0.002,0.0,0.0,0.022,0.053,0.193,0.516,0.977
MIN,49.465,32.535,50.0,3.0510285151076513,45.900000000000006,53.0,0.504,0.046,0.001,0.0,0.0,0.019,0.052,0.186,0.506,0.966
GSW,44.333,37.667,44.0,3.0932363310940207,40.0,48.0,0.044,0.0,0.0,0.0,0.0,0.01,0.028,0.094,0.234,0.746
PHI,46.238,35.762,46.0,3.2510545981265837,42.0,50.0,0.165,0.005,0.0,0.0,0.0,0.009,0.035,0.096,0.277,0.876
LAL,46.899,35.101,47.0,3.210420377458379,42.0,51.0,0.209,0.01,0.0,0.0,0.0,0.007,0.025,0.087,0.28,0.837
MIA,43.612,38.388,44.0,3.1156790592100463,39.0,48.0,0.022,0.0,0.0,0.0,0.0,0.006,0.023,0.078,0.217,0.698
ATL,41.732,40.268,42.0,3.0584597430733003,38.0,46.0,0.004,0.0,0.0,0.0,0.0,0.006,0.019,0.066,0.16,0.526
ORL,43.451,38.549,44.0,3.237529768202912,39.0,48.0,0.023,0.0,0.0,0.0,0.0,0.004,0.026,0.078,0.251,0.701
CHO,38.266,43.734,38.0,3.365002823178608,34.0,43.0,0.0,0.0,0.0,0.0,0.0,0.004,0.005,0.012,0.044,0.198
TOR,45.968,36.032,46.0,3.0680573658261348,42.0,50.0,0.126,0.002,0.0,0.0,0.0,0.003,0.023,0.086,0.237,0.871
LAC,40.907,41.093,41.0,3.1755867174429353,37.0,45.0,0.004,0.0,0.0,0.0,0.0,0.002,0.006,0.032,0.087,0.395
PHX,46.616,35.384,47.0,3.1953941853862102,42.0,51.0,0.18,0.008,0.0,0.0,0.0,0.001,0.011,0.064,0.211,0.844
MIL,34.662,47.338,35.0,3.6317703671900845,30.0,39.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.006,0.014,0.067
DAL,32.496,49.504,32.0,3.34663771567823,28.0,37.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.015
CHI,36.329,45.671,36.0,3.405401444763892,32.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.012,0.083
POR,38.273,43.727,38.0,3.394771126305866,34.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.017,0.169
MEM,35.282,46.718,35.0,3.682726707210297,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.077
UTA,25.519,56.481,25.0,2.8892280976066953,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,23.529,58.471,23.0,3.089200381975892,19.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,23.239,58.761,23.0,3.1638392816323653,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,22.57,59.43,22.0,2.7471985730922324,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRK,22.533,59.467,22.0,2.9166609333276976,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC,22.383,59.617,22.0,3.056519425752109,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
