team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,63.926,18.074,64.0,2.969263208272382,60.0,68.0,1.0,0.998,0.93,0.449,0.02,0.425,0.546,0.698,0.883,1.0
DET,55.532,26.468,56.0,3.7388468810583833,51.0,60.0,0.943,0.621,0.145,0.005,0.0,0.076,0.212,0.404,0.657,0.998
CLE,47.459,34.541,48.0,3.374065648442543,43.0,52.0,0.273,0.013,0.0,0.0,0.0,0.069,0.193,0.311,0.566,0.946
SAS,52.068,30.932,52.0,3.499339366223288,48.0,56.0,0.774,0.24,0.019,0.0,0.0,0.057,0.092,0.268,0.568,0.987
HOU,51.268,30.732,51.0,3.334992653665072,47.0,55.0,0.703,0.158,0.002,0.0,0.0,0.056,0.105,0.263,0.568,0.976
NYK,48.669,34.331,49.0,3.361463818041182,44.0,53.0,0.412,0.04,0.0,0.0,0.0,0.05,0.155,0.291,0.57,0.972
BOS,50.16,31.84,50.0,3.5696498427716965,46.0,55.0,0.578,0.113,0.006,0.0,0.0,0.05,0.15,0.306,0.557,0.98
DEN,50.547,31.453,51.0,3.509955982629981,46.0,55.0,0.628,0.138,0.001,0.0,0.0,0.039,0.073,0.251,0.557,0.961
MIN,49.113,32.887,49.0,3.517418229326731,45.0,54.0,0.463,0.064,0.001,0.0,0.0,0.039,0.073,0.185,0.483,0.942
ORL,45.437,36.563,46.0,3.577154036381436,41.0,50.0,0.132,0.001,0.0,0.0,0.0,0.028,0.086,0.192,0.409,0.852
PHI,44.588,37.412,45.0,3.5162844026045446,40.0,49.0,0.084,0.001,0.0,0.0,0.0,0.019,0.054,0.131,0.317,0.807
GSW,45.831,36.169,46.0,3.4653194657924398,41.0,50.0,0.151,0.005,0.0,0.0,0.0,0.017,0.039,0.113,0.284,0.781
MIA,44.398,37.602,44.0,3.638625564687853,40.0,49.0,0.076,0.001,0.0,0.0,0.0,0.016,0.052,0.13,0.325,0.77
TOR,45.462,36.538,46.0,3.500650796637677,41.0,50.0,0.12,0.004,0.0,0.0,0.0,0.016,0.048,0.118,0.315,0.856
PHX,46.207,35.793,46.0,3.6452916207074573,41.900000000000006,51.0,0.178,0.011,0.0,0.0,0.0,0.015,0.026,0.074,0.219,0.759
LAL,45.964,36.036,46.0,3.782155998897983,41.0,51.0,0.164,0.012,0.0,0.0,0.0,0.008,0.016,0.072,0.255,0.758
ATL,40.299,41.701,40.0,3.618784188094117,35.0,45.0,0.001,0.0,0.0,0.0,0.0,0.006,0.037,0.083,0.184,0.447
LAC,40.829,41.171,41.0,3.6619337787567923,36.0,46.0,0.005,0.0,0.0,0.0,0.0,0.004,0.014,0.033,0.074,0.343
POR,41.308,40.692,41.0,3.611528208390459,37.0,46.0,0.004,0.0,0.0,0.0,0.0,0.003,0.009,0.027,0.068,0.321
MIL,36.365,45.635,37.0,4.072809227056922,31.0,42.0,0.0,0.0,0.0,0.0,0.0,0.003,0.007,0.022,0.054,0.167
MEM,38.013,43.987,38.0,3.9393947504661173,33.0,43.0,0.001,0.0,0.0,0.0,0.0,0.002,0.006,0.013,0.035,0.147
CHI,37.088,44.912,37.0,3.797927856081524,32.0,42.0,0.002,0.0,0.0,0.0,0.0,0.001,0.005,0.01,0.038,0.173
CHO,33.731,48.269,34.0,3.819507690789482,29.0,39.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.008,0.032
DAL,34.489,47.511,35.0,3.6312365662402115,30.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.006,0.025
UTA,26.71,55.29,27.0,3.1896551537744644,23.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRK,25.047,56.953,25.0,3.632188183450852,21.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC,24.981,57.019,25.0,3.4777347512425383,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,22.081,59.919,22.0,3.3991821075076283,18.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,21.804,60.196,22.0,3.069134079834245,18.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,21.626,60.374,21.0,3.506297762598037,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
