team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,58.847,23.153,0.331,0.529,0.696,0.87,1.0
OKC,64.69,17.31,0.315,0.513,0.669,0.85,1.0
CLE,65.123,16.877,0.068,0.16,0.432,0.748,1.0
MIN,46.912,35.088,0.055,0.131,0.269,0.535,0.931
NYK,51.548,30.452,0.049,0.101,0.181,0.632,1.0
DEN,52.226,29.774,0.037,0.114,0.325,0.621,1.0
IND,46.427,35.573,0.028,0.088,0.263,0.575,0.999
MIL,45.86,36.14,0.02,0.065,0.183,0.46,0.995
MEM,50.164,31.836,0.019,0.053,0.167,0.478,0.986
LAL,49.584,32.416,0.017,0.051,0.178,0.463,0.972
GSW,46.142,35.858,0.014,0.05,0.13,0.325,0.825
HOU,48.957,33.043,0.012,0.041,0.11,0.387,0.967
SAC,42.278,39.722,0.009,0.024,0.068,0.119,0.423
DAL,41.516,40.484,0.008,0.013,0.036,0.08,0.327
ORL,37.603,44.397,0.007,0.016,0.059,0.126,0.489
ATL,39.487,42.513,0.004,0.009,0.038,0.113,0.649
MIA,38.331,43.669,0.003,0.01,0.037,0.115,0.618
PHO,38.103,43.897,0.002,0.004,0.006,0.012,0.052
DET,44.591,37.409,0.001,0.016,0.085,0.302,0.984
LAC,43.602,38.398,0.001,0.006,0.042,0.129,0.509
CHI,34.737,47.263,0.0,0.003,0.015,0.039,0.204
PHI,30.826,51.174,0.0,0.003,0.01,0.018,0.042
TOR,29.776,52.224,0.0,0.0,0.001,0.002,0.019
SAS,34.081,47.919,0.0,0.0,0.0,0.001,0.002
POR,35.374,46.626,0.0,0.0,0.0,0.0,0.006
BRK,27.63,54.37,0.0,0.0,0.0,0.0,0.001
NOP,24.408,57.592,0.0,0.0,0.0,0.0,0.0
CHO,21.709,60.291,0.0,0.0,0.0,0.0,0.0
UTA,20.587,61.413,0.0,0.0,0.0,0.0,0.0
WAS,18.881,63.119,0.0,0.0,0.0,0.0,0.0
