team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,61.493,20.507,61.0,2.902404348122432,58.0,65.0,1.0,0.989,0.761,0.154,0.001,0.371,0.51,0.679,0.868,1.0
DET,55.831,26.169,56.0,3.3586364792873904,52.0,60.0,0.968,0.653,0.143,0.004,0.0,0.1,0.208,0.388,0.675,0.999
NYK,51.688,31.312,52.0,3.174689906116816,48.0,56.0,0.761,0.188,0.002,0.0,0.0,0.08,0.215,0.368,0.636,0.997
CLE,48.763,33.237,49.0,3.0041356494006726,45.0,53.0,0.389,0.026,0.0,0.0,0.0,0.071,0.167,0.321,0.597,0.973
MIN,49.636,32.364,50.0,3.1377546111829715,46.0,54.0,0.529,0.058,0.0,0.0,0.0,0.057,0.102,0.232,0.51,0.951
DEN,51.453,30.547,51.0,3.2115091468031034,47.0,56.0,0.741,0.187,0.004,0.0,0.0,0.049,0.086,0.244,0.564,0.985
BOS,49.403,32.597,49.0,3.2754527931264708,45.0,54.0,0.489,0.059,0.0,0.0,0.0,0.047,0.145,0.272,0.538,0.977
HOU,51.432,30.568,52.0,3.1201564063360663,47.0,55.0,0.75,0.148,0.001,0.0,0.0,0.047,0.104,0.269,0.57,0.971
SAS,51.971,31.029,52.0,3.368406002844669,48.0,56.0,0.777,0.231,0.011,0.0,0.0,0.04,0.079,0.219,0.546,0.978
GSW,45.139,36.861,45.0,3.101883137708447,41.0,49.0,0.09,0.0,0.0,0.0,0.0,0.023,0.042,0.102,0.262,0.758
MIA,44.728,37.272,45.0,3.3630367229633396,40.0,49.0,0.08,0.002,0.0,0.0,0.0,0.02,0.049,0.121,0.298,0.764
ORL,44.392,37.608,44.0,3.407981220605536,40.0,49.0,0.063,0.0,0.0,0.0,0.0,0.018,0.081,0.161,0.357,0.76
LAL,47.161,34.839,47.0,3.198918410963306,43.0,51.0,0.228,0.007,0.0,0.0,0.0,0.016,0.03,0.099,0.296,0.86
TOR,46.085,35.915,46.0,3.1205408185120733,42.0,50.0,0.134,0.005,0.0,0.0,0.0,0.015,0.051,0.128,0.312,0.86
ATL,42.027,39.973,42.0,3.1064885320889246,38.0,46.0,0.007,0.0,0.0,0.0,0.0,0.014,0.034,0.081,0.212,0.555
PHI,44.172,37.828,44.0,3.2493716315620165,40.0,48.0,0.053,0.0,0.0,0.0,0.0,0.011,0.038,0.121,0.274,0.741
PHX,46.668,35.332,47.0,3.416690796662759,42.0,51.0,0.22,0.013,0.0,0.0,0.0,0.011,0.027,0.089,0.218,0.796
LAC,41.296,40.704,41.0,3.459535228899975,37.0,46.0,0.005,0.0,0.0,0.0,0.0,0.006,0.017,0.052,0.117,0.415
CHO,37.65,44.35,37.0,3.5076345305632968,33.0,42.0,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.024,0.064,0.18
POR,39.583,42.417,40.0,3.39014911176485,35.0,44.0,0.002,0.0,0.0,0.0,0.0,0.001,0.002,0.009,0.035,0.208
DAL,33.363,48.637,33.0,3.3438347746262824,29.0,37.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.004,0.006,0.025
CHI,37.094,44.906,37.0,3.5314535251083226,32.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.011,0.031,0.144
MIL,34.248,47.752,34.0,3.761714502723459,29.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.006,0.05
MEM,34.692,47.308,35.0,3.8082983076434545,30.0,39.10000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.053
UTA,24.641,57.359,25.0,2.9455252502737097,21.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,24.557,57.443,24.5,3.232143406471934,20.900000000000006,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,23.47,58.53,23.0,3.4239012836236973,19.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRK,23.277,58.723,23.0,3.2302122221303047,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC,23.068,58.932,23.0,3.075934979806953,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,22.019,59.981,22.0,2.915242528504275,18.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
