team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,63.006,18.994,63.0,2.9226638534049716,59.0,67.0,1.0,0.997,0.872,0.318,0.007,0.415,0.546,0.7,0.865,1.0
CLE,48.907,33.093,49.0,3.129592785012133,45.0,53.0,0.422,0.038,0.0,0.0,0.0,0.089,0.191,0.346,0.615,0.969
NYK,50.124,32.876,50.0,3.372628648398753,46.0,54.0,0.565,0.098,0.004,0.0,0.0,0.078,0.198,0.347,0.607,0.979
DET,54.835,27.165,55.0,3.4251678790973155,50.0,59.0,0.936,0.537,0.083,0.001,0.0,0.077,0.19,0.35,0.638,0.999
HOU,51.455,30.545,52.0,3.4219840736040834,47.0,56.0,0.716,0.191,0.005,0.0,0.0,0.048,0.105,0.302,0.606,0.975
BOS,49.882,32.118,50.0,3.306973843259121,46.0,54.0,0.553,0.082,0.001,0.0,0.0,0.047,0.138,0.263,0.548,0.984
SAS,52.428,30.572,52.0,3.42677924588089,48.0,57.0,0.802,0.278,0.017,0.0,0.0,0.043,0.081,0.253,0.576,0.994
DEN,51.027,30.973,51.0,3.2394862246967504,47.0,55.0,0.679,0.153,0.001,0.0,0.0,0.033,0.085,0.22,0.547,0.984
MIN,48.203,33.797,48.0,3.3923135173506593,44.0,52.0,0.362,0.03,0.0,0.0,0.0,0.027,0.061,0.171,0.457,0.914
ORL,43.784,38.216,44.0,3.5616490562659315,39.0,48.0,0.054,0.0,0.0,0.0,0.0,0.024,0.067,0.162,0.324,0.743
TOR,46.641,35.359,46.5,3.39766375617129,42.0,51.0,0.197,0.012,0.0,0.0,0.0,0.021,0.072,0.162,0.368,0.904
PHI,44.351,37.649,44.0,3.491962055922143,40.0,49.0,0.072,0.001,0.0,0.0,0.0,0.016,0.048,0.122,0.294,0.739
PHX,45.968,36.032,46.0,3.6045770903117056,41.0,51.0,0.172,0.011,0.0,0.0,0.0,0.016,0.032,0.081,0.243,0.735
GSW,45.122,36.878,45.0,3.3557586325598563,41.0,49.0,0.095,0.003,0.0,0.0,0.0,0.015,0.037,0.114,0.26,0.743
MIA,44.278,37.722,44.0,3.510372629793025,40.0,49.0,0.073,0.0,0.0,0.0,0.0,0.014,0.041,0.11,0.274,0.743
ATL,41.359,40.641,41.0,3.3669153538513554,37.0,46.0,0.004,0.0,0.0,0.0,0.0,0.013,0.043,0.097,0.217,0.514
LAL,46.463,35.537,47.0,3.5981427153463494,42.0,51.0,0.196,0.009,0.0,0.0,0.0,0.008,0.031,0.093,0.264,0.816
LAC,40.961,41.039,41.0,3.6771563741565303,36.0,46.0,0.008,0.0,0.0,0.0,0.0,0.007,0.014,0.035,0.085,0.365
CHI,38.862,43.138,39.0,3.683606385052561,34.0,44.0,0.004,0.0,0.0,0.0,0.0,0.003,0.006,0.022,0.064,0.255
MEM,36.711,45.289,37.0,3.719338516456925,32.0,42.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.007,0.018,0.083
MIL,35.635,46.365,36.0,3.9969707279388476,30.0,41.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.014,0.035,0.106
POR,41.418,40.582,41.0,3.5444711876385737,37.0,46.0,0.01,0.0,0.0,0.0,0.0,0.001,0.004,0.023,0.075,0.361
CHO,35.004,46.996,35.0,3.6351044001513904,30.900000000000006,40.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.005,0.016,0.065
DAL,34.496,47.504,34.0,3.542031055764475,30.0,39.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.004,0.03
UTA,25.963,56.037,26.0,3.057716631736826,22.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC,23.97,58.03,24.0,3.375070369636758,20.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRK,23.536,58.464,23.0,3.424427543400502,19.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,22.788,59.212,23.0,3.3792093749869956,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,22.599,59.401,22.0,3.6889292484405285,18.0,27.100000000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,21.224,60.776,21.0,2.909265199324393,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
