team,wins,losses,champion,finals,conference_finals,second_round,playoffs
OKC,62.135,19.865,0.324,0.462,0.632,0.843,1.0
NYK,53.251,29.749,0.101,0.209,0.382,0.665,0.993
CLE,48.026,33.974,0.098,0.202,0.344,0.598,0.951
DEN,52.099,29.901,0.076,0.118,0.279,0.578,0.98
HOU,53.742,28.258,0.061,0.129,0.308,0.602,0.987
DET,53.067,28.933,0.049,0.128,0.266,0.581,0.988
MIN,47.859,34.141,0.049,0.082,0.19,0.445,0.895
ORL,46.272,35.728,0.047,0.145,0.268,0.468,0.883
BOS,49.472,32.528,0.045,0.126,0.275,0.528,0.952
SAS,52.427,30.573,0.027,0.062,0.191,0.466,0.971
LAC,40.448,41.552,0.025,0.052,0.108,0.206,0.526
GSW,44.795,37.205,0.024,0.045,0.12,0.307,0.746
ATL,41.496,40.504,0.019,0.049,0.105,0.25,0.582
LAL,45.62,36.38,0.014,0.025,0.074,0.262,0.777
MIL,36.498,45.502,0.01,0.027,0.055,0.109,0.282
MIA,44.768,37.232,0.008,0.046,0.105,0.262,0.767
PHI,43.179,38.821,0.007,0.031,0.075,0.227,0.676
TOR,42.649,39.351,0.006,0.025,0.092,0.217,0.62
PHX,42.402,39.598,0.003,0.009,0.043,0.133,0.52
MEM,39.043,42.957,0.002,0.007,0.033,0.096,0.333
DAL,33.137,48.863,0.002,0.005,0.009,0.023,0.076
POR,35.864,46.136,0.002,0.004,0.013,0.036,0.165
CHI,37.175,44.825,0.001,0.009,0.027,0.081,0.26
CHO,29.652,52.348,0.0,0.002,0.003,0.009,0.03
BRK,27.642,54.358,0.0,0.001,0.003,0.005,0.012
UTA,29.608,52.392,0.0,0.0,0.0,0.002,0.017
SAC,25.941,56.059,0.0,0.0,0.0,0.001,0.007
WAS,24.902,57.098,0.0,0.0,0.0,0.0,0.002
IND,23.279,58.721,0.0,0.0,0.0,0.0,0.002
NOP,24.552,57.448,0.0,0.0,0.0,0.0,0.0
