simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,62,47,50,24,31,32,42,42,42,40,45,40,32,52,23,42,38,27,24,57,22,51,46,51,52,18,44,49,54,52
1,64,42,45,30,36,39,39,39,45,45,51,38,38,55,21,43,44,20,25,51,17,46,37,53,50,21,40,54,49,54
2,65,43,50,25,35,32,38,38,42,44,47,38,31,55,28,47,36,29,19,51,23,51,49,53,45,18,44,51,51,53
3,65,49,52,22,34,38,38,41,43,38,48,34,28,50,23,44,46,23,25,46,30,52,45,51,49,20,50,51,46,50
4,66,48,40,28,33,42,34,37,42,37,55,35,35,52,27,42,42,21,24,49,22,49,39,49,51,25,45,58,47,57
5,64,50,40,25,36,31,38,37,48,43,47,43,27,46,28,51,39,22,30,50,26,43,41,51,49,26,40,54,49,57
6,60,47,45,28,30,42,41,32,43,48,54,39,28,49,22,44,43,22,18,49,23,51,49,50,48,26,40,53,51,56
7,66,49,38,25,36,43,33,36,47,39,49,40,36,46,24,46,42,30,19,52,25,45,43,52,48,20,42,60,47,53
8,65,51,42,25,39,33,37,40,44,44,46,35,32,50,22,43,41,28,20,48,22,44,46,53,50,16,51,55,52,57
9,63,45,53,25,35,37,39,37,42,43,46,33,27,57,25,44,41,31,25,47,21,45,45,50,43,19,49,53,51,60
10,64,51,45,24,34,39,33,46,38,45,46,35,37,52,26,46,44,22,23,53,25,43,43,47,48,24,43,52,52,51
11,61,47,44,22,36,35,38,43,42,40,43,34,38,54,24,48,38,23,29,52,19,47,43,53,50,23,48,48,49,60
12,64,44,50,29,37,29,35,35,38,45,47,45,33,41,28,47,42,21,23,54,27,49,50,49,49,21,42,52,51,54
13,60,49,48,26,30,31,40,42,44,47,52,31,33,53,24,39,46,23,26,54,19,50,45,52,47,20,43,54,49,54
14,60,51,43,25,36,27,37,40,41,47,49,34,38,53,21,42,40,30,27,48,22,39,46,55,49,22,46,54,55,54
