team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,58.127,23.873,0.301,0.496,0.65,0.841,1.0
OKC,64.032,17.968,0.262,0.435,0.593,0.815,1.0
CLE,60.763,21.237,0.056,0.138,0.407,0.717,1.0
DEN,51.162,30.838,0.051,0.107,0.267,0.584,0.995
MIN,46.329,35.671,0.045,0.097,0.235,0.457,0.876
NYK,51.351,30.649,0.044,0.118,0.264,0.651,1.0
IND,47.262,34.738,0.043,0.105,0.261,0.608,0.996
MEM,52.127,29.873,0.042,0.087,0.228,0.522,0.995
DAL,44.257,37.743,0.031,0.086,0.176,0.311,0.678
MIL,43.476,38.524,0.027,0.053,0.145,0.379,0.916
LAL,48.208,33.792,0.018,0.057,0.147,0.396,0.914
SAC,42.245,39.755,0.017,0.03,0.08,0.172,0.462
HOU,49.074,32.926,0.015,0.05,0.138,0.39,0.945
GSW,41.601,40.399,0.012,0.03,0.051,0.121,0.357
MIA,40.528,41.472,0.009,0.025,0.074,0.2,0.724
ORL,39.509,42.491,0.008,0.024,0.074,0.194,0.633
DET,41.05,40.95,0.005,0.017,0.041,0.156,0.739
PHI,35.151,46.849,0.005,0.009,0.031,0.078,0.256
LAC,43.348,38.652,0.004,0.012,0.051,0.151,0.518
ATL,39.405,42.595,0.003,0.013,0.048,0.153,0.601
PHO,39.936,42.064,0.002,0.009,0.028,0.068,0.209
CHI,33.09,48.91,0.0,0.002,0.003,0.015,0.099
SAS,36.906,45.094,0.0,0.0,0.006,0.012,0.045
TOR,29.394,52.606,0.0,0.0,0.002,0.008,0.018
POR,34.123,47.877,0.0,0.0,0.0,0.001,0.006
BRK,28.878,53.122,0.0,0.0,0.0,0.0,0.018
NOP,24.297,57.703,0.0,0.0,0.0,0.0,0.0
CHO,23.204,58.796,0.0,0.0,0.0,0.0,0.0
UTA,22.34,59.66,0.0,0.0,0.0,0.0,0.0
WAS,18.827,63.173,0.0,0.0,0.0,0.0,0.0
