simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,64,44,34,22,36,29,39,50,42,46,43,38,39,58,29,41,36,20,28,52,26,48,46,51,50,22,39,55,48,56
1,66,39,40,24,41,38,38,48,36,52,53,33,23,49,21,50,37,24,29,53,29,44,43,52,47,24,49,50,46,53
2,62,51,45,22,32,35,35,37,45,45,50,32,33,50,21,41,36,27,24,52,30,48,46,60,56,23,38,48,50,57
3,72,54,43,34,41,34,36,44,39,46,50,28,28,53,24,46,49,25,25,53,18,38,38,49,51,27,39,52,44,51
4,59,49,39,25,36,41,42,44,43,52,52,34,30,45,17,42,41,21,29,44,26,45,48,59,48,22,46,54,44,54
5,62,47,49,27,40,43,32,37,45,45,47,32,31,52,24,47,38,24,27,54,24,47,46,47,53,24,45,48,42,52
6,59,47,49,28,33,43,37,41,40,50,51,35,21,53,26,49,35,29,20,48,25,52,39,49,49,21,41,52,52,57
7,63,47,47,21,36,29,26,49,41,44,53,35,32,50,17,45,38,21,28,53,25,45,46,55,58,25,46,51,52,53
8,66,44,48,28,39,28,34,38,38,52,47,39,29,50,18,49,37,23,27,48,29,43,44,56,53,21,49,45,49,60
9,59,39,49,27,41,39,38,46,43,45,45,34,28,50,22,49,40,22,24,53,29,51,46,54,48,24,42,52,46,46
10,65,39,40,30,37,36,38,43,41,47,54,32,32,46,23,48,38,19,18,52,22,53,53,49,56,25,45,48,46,56
11,68,45,41,23,41,34,40,44,40,42,50,31,38,52,27,49,38,25,25,47,24,46,49,56,50,19,38,51,47,51
12,61,48,45,30,34,40,40,44,43,45,46,33,29,54,23,49,37,20,25,51,21,49,43,54,48,24,40,54,47,54
13,59,43,39,25,39,38,33,37,39,47,49,29,36,56,26,47,47,26,27,43,31,42,42,56,51,19,48,57,42,58
14,64,44,49,29,32,43,40,38,37,51,55,30,35,47,27,41,39,19,29,48,28,48,38,53,48,16,47,54,43,59
15,58,52,46,23,43,41,44,36,43,43,54,37,29,51,21,47,43,22,23,46,27,44,41,54,51,25,44,48,44,51
16,60,50,43,28,34,37,31,47,40,45,54,33,28,54,17,45,42,20,25,51,27,43,47,48,54,21,49,54,50,54
17,67,47,47,29,32,39,32,33,45,47,51,31,34,49,26,46,35,20,29,54,27,50,49,53,49,25,41,46,46,52
18,69,48,39,28,32,32,44,37,44,41,58,35,36,53,20,46,42,23,22,44,25,41,49,47,55,21,39,58,50,53
19,64,45,38,25,29,38,39,37,44,48,51,38,26,49,22,44,43,23,24,55,19,38,49,52,55,27,43,63,50,53
20,62,42,47,24,34,36,36,36,44,50,54,33,32,52,17,45,37,18,26,50,33,49,48,54,51,21,48,58,44,50
21,62,41,41,26,37,44,38,38,40,46,54,34,34,47,25,47,38,21,25,56,23,50,48,53,48,26,37,54,49,49
22,65,42,46,24,33,44,34,45,42,47,48,37,25,56,24,49,36,20,21,47,26,50,47,55,50,20,37,54,54,53
23,58,39,44,26,40,36,29,40,41,48,46,26,33,40,24,51,43,24,17,54,31,46,45,53,56,31,48,48,54,60
24,62,46,43,25,34,39,42,35,38,48,48,38,37,47,15,46,37,26,23,57,23,47,51,55,52,23,49,53,44,48
25,66,44,36,27,35,38,35,41,48,51,51,33,38,53,26,48,42,20,20,45,24,43,49,50,52,20,40,55,46,55
26,68,47,45,27,44,46,39,40,45,47,42,33,33,39,16,45,44,29,22,48,23,46,46,51,58,22,45,47,49,45
27,65,50,44,31,32,37,34,37,43,41,58,26,26,51,22,52,43,18,23,56,31,45,47,50,50,16,47,54,49,53
28,61,45,45,25,36,43,29,41,45,35,49,38,34,52,29,41,40,28,20,51,22,47,39,60,55,25,44,53,44,55
29,63,45,40,25,40,38,35,41,44,51,52,28,31,49,22,42,40,29,23,50,27,40,46,54,54,22,53,48,50,49
30,63,51,34,24,31,41,40,36,37,49,52,27,26,54,30,48,45,21,26,47,28,45,44,58,54,24,35,59,49,53
31,66,52,45,21,32,44,36,43,39,43,57,31,29,52,28,47,42,22,26,48,24,46,48,47,46,23,36,56,48,54
32,65,48,43,27,40,42,36,38,42,53,54,30,33,48,28,43,47,18,27,50,19,47,47,47,45,27,41,50,42,54
33,62,40,47,23,44,34,40,42,42,47,56,34,36,53,15,47,34,26,29,48,32,47,45,50,49,20,39,52,45,53
34,56,44,45,30,45,35,32,39,42,37,47,38,39,47,21,56,43,23,22,57,22,44,39,55,50,26,44,51,49,53
35,61,49,50,22,39,37,41,35,40,49,45,37,27,50,25,51,35,24,24,53,33,43,50,46,50,24,44,53,41,53
36,63,47,44,22,37,33,34,38,41,45,54,35,29,50,25,52,39,28,22,52,23,44,51,53,53,25,44,51,48,49
