simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,62,55,48,24,36,38,38,42,39,43,51,34,31,52,21,44,45,24,20,50,24,44,46,45,45,19,48,54,48,61
1,65,46,44,28,36,37,37,43,39,45,43,37,38,53,21,47,42,27,18,47,27,43,40,53,47,24,46,50,50,58
2,58,52,42,25,41,36,35,43,38,39,48,42,37,54,23,43,46,23,22,51,24,42,44,50,47,20,46,52,50,58
3,60,47,48,22,29,36,37,40,41,49,54,40,32,54,25,44,40,28,21,52,17,44,46,49,46,18,44,57,52,59
4,62,48,43,31,34,32,34,35,42,46,56,39,31,54,23,48,42,27,24,47,22,43,48,47,49,21,40,50,52,61
5,61,46,43,31,31,34,35,37,48,42,47,43,32,51,23,43,44,27,24,52,21,46,50,48,44,19,47,52,52,58
6,64,50,49,26,35,41,35,41,38,41,49,41,27,54,18,44,36,29,24,49,25,47,46,49,51,27,39,48,51,57
7,58,42,46,23,32,34,39,39,42,45,56,34,31,54,20,45,41,23,21,49,26,50,48,53,44,24,43,55,55,59
8,58,53,48,24,38,37,39,40,43,46,48,43,31,50,24,40,42,25,21,49,18,46,45,46,49,19,42,57,53,57
9,59,49,45,26,43,32,41,41,39,43,49,40,36,53,19,46,36,29,22,51,25,42,44,50,49,23,48,54,46,51
10,57,49,50,26,36,36,35,41,45,43,52,38,24,49,23,44,42,23,19,51,28,44,44,48,49,20,45,54,56,60
11,53,51,50,23,34,36,35,39,37,50,52,39,25,49,23,49,42,27,25,51,21,48,46,48,49,22,41,55,56,55
12,59,47,39,27,30,37,40,37,44,42,53,38,37,60,23,43,37,24,30,51,27,47,44,50,47,19,45,51,44,59
13,61,47,49,29,39,28,28,41,42,44,51,41,31,51,25,48,38,27,21,49,19,51,45,48,52,20,41,59,53,53
14,62,46,50,25,30,35,31,45,45,42,50,40,33,53,26,46,35,24,18,50,23,46,45,47,50,22,44,55,54,59
15,68,44,44,28,34,29,31,41,37,43,50,37,35,56,20,48,39,26,15,52,28,40,48,53,50,25,42,59,53,56
16,61,48,42,29,32,39,31,45,40,45,50,40,37,53,17,43,45,24,18,51,25,49,44,49,44,24,47,49,51,59
17,61,47,50,24,37,37,32,39,37,39,51,37,30,53,25,44,50,25,21,52,23,54,47,52,49,18,43,47,52,55
18,62,48,44,21,35,33,35,38,40,39,52,44,32,54,23,43,44,27,24,55,18,51,47,48,52,23,37,51,53,58
19,63,44,42,28,36,33,34,43,38,44,50,39,33,51,21,43,44,26,28,53,21,44,42,51,47,27,43,54,56,53
20,61,50,49,25,36,36,30,41,43,47,52,40,27,51,21,45,44,27,21,47,20,43,42,52,53,25,41,55,51,56
21,65,48,42,27,30,32,37,40,40,42,50,35,33,56,20,42,42,19,25,50,25,41,44,54,55,25,48,55,55,54
22,61,45,50,24,37,32,40,41,44,47,48,41,27,52,19,45,42,21,21,55,24,44,42,47,54,19,44,50,56,59
23,57,48,37,22,40,35,33,44,41,43,49,44,37,51,23,47,39,25,20,53,24,46,49,52,47,24,42,51,55,53
24,65,44,45,23,35,27,37,37,38,42,49,41,38,53,23,42,32,28,20,55,27,46,48,55,49,21,47,56,52,56
25,59,47,46,26,31,38,33,39,41,48,49,36,32,47,24,41,48,26,21,53,23,48,48,50,48,24,44,54,49,58
26,63,52,42,30,43,33,35,40,38,46,49,39,34,54,18,43,41,26,20,51,24,47,43,48,44,25,41,53,52,57
