simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,68,41,41,23,48,44,29,44,35,46,49,29,30,47,25,44,43,17,25,57,22,45,49,53,48,21,44,55,50,59
1,63,49,41,28,36,42,35,43,44,48,52,24,39,44,26,48,33,25,26,50,24,48,45,52,47,22,38,52,51,56
2,67,51,47,29,44,38,34,44,41,45,45,35,29,48,20,48,35,22,26,56,23,45,39,52,55,21,41,52,47,52
3,60,47,40,27,33,35,34,39,46,44,51,42,30,55,27,42,45,24,28,47,20,45,46,50,54,15,48,53,50,54
4,61,45,45,25,34,42,38,41,37,47,48,41,35,53,20,44,37,22,24,55,28,51,45,44,48,24,31,60,53,53
5,64,46,51,29,28,39,41,47,35,43,59,36,34,53,23,38,41,20,28,53,15,40,44,56,49,22,44,52,45,56
6,65,43,46,27,30,33,33,39,42,48,49,34,35,52,23,47,41,16,30,57,23,45,46,50,55,26,47,52,47,50
7,62,43,51,22,35,40,35,39,42,36,52,33,40,43,22,41,48,19,21,48,31,49,45,51,52,27,51,55,43,55
8,68,45,44,29,39,32,45,40,35,42,51,37,28,43,21,45,42,24,31,51,24,39,46,56,47,24,47,55,42,59
9,66,46,47,33,34,41,39,35,42,47,48,35,37,47,18,43,44,16,28,53,28,44,40,51,47,18,42,52,50,60
10,61,47,45,25,38,39,45,41,37,41,51,39,37,47,24,49,34,24,24,53,24,40,45,47,49,23,43,51,50,58
11,66,45,54,26,34,38,32,39,44,49,48,31,24,52,25,47,35,22,26,51,21,45,50,53,53,23,39,54,47,58
12,70,41,45,23,34,39,31,38,38,41,54,38,32,43,24,45,38,26,25,52,34,45,50,50,51,25,43,53,49,54
13,65,48,44,29,35,41,34,38,44,41,48,35,35,51,23,47,44,20,25,54,19,43,39,53,53,25,48,52,47,51
14,68,43,43,21,38,39,34,46,39,48,48,37,34,51,18,48,39,20,28,45,27,49,41,54,45,21,43,61,48,55
15,62,44,41,18,38,35,43,48,40,39,56,33,36,49,22,45,45,18,25,52,22,46,46,50,54,22,43,58,43,58
16,65,38,45,30,34,32,37,46,45,48,51,33,39,50,19,43,36,22,26,52,20,49,46,48,48,27,40,60,51,51
17,63,50,47,24,33,39,35,37,41,46,53,34,38,50,16,46,37,23,31,57,27,39,49,49,48,21,41,56,45,56
18,63,39,39,22,37,32,42,43,38,50,55,36,33,55,25,47,40,21,32,52,28,48,47,50,48,22,46,49,34,58
19,63,49,51,24,32,38,40,44,41,48,54,35,35,48,20,41,38,20,28,45,25,46,46,55,47,22,39,52,51,54
