team,wins,losses,champion,finals,conference_finals,second_round,playoffs
OKC,68.0,14.0,0.352,0.551,0.753,0.909,1.0
BOS,61.0,21.0,0.298,0.509,0.681,0.849,1.0
MIN,49.0,33.0,0.071,0.151,0.356,0.575,0.96
NYK,51.0,31.0,0.057,0.122,0.213,0.706,1.0
CLE,64.0,18.0,0.053,0.131,0.412,0.719,1.0
IND,50.0,32.0,0.038,0.098,0.283,0.598,1.0
DEN,50.0,32.0,0.029,0.07,0.155,0.486,1.0
MIL,48.0,34.0,0.022,0.067,0.195,0.402,1.0
GSW,49.0,34.0,0.022,0.066,0.24,0.483,0.944
ORL,42.0,41.0,0.017,0.04,0.083,0.175,0.827
LAC,50.0,32.0,0.012,0.046,0.11,0.463,1.0
LAL,50.0,32.0,0.01,0.045,0.114,0.451,1.0
HOU,52.0,30.0,0.009,0.044,0.177,0.404,1.0
DET,44.0,38.0,0.003,0.018,0.043,0.294,1.0
MIA,38.0,45.0,0.003,0.007,0.041,0.092,0.262
MEM,48.0,35.0,0.002,0.021,0.082,0.202,0.743
ATL,40.0,43.0,0.001,0.006,0.029,0.108,0.692
DAL,40.0,43.0,0.001,0.002,0.007,0.014,0.159
SAC,40.0,43.0,0.0,0.004,0.006,0.013,0.194
CHI,39.0,44.0,0.0,0.002,0.02,0.057,0.219
PHO,36.0,46.0,0.0,0.0,0.0,0.0,0.0
POR,36.0,46.0,0.0,0.0,0.0,0.0,0.0
SAS,34.0,48.0,0.0,0.0,0.0,0.0,0.0
TOR,30.0,52.0,0.0,0.0,0.0,0.0,0.0
BRK,26.0,56.0,0.0,0.0,0.0,0.0,0.0
PHI,24.0,58.0,0.0,0.0,0.0,0.0,0.0
NOP,21.0,61.0,0.0,0.0,0.0,0.0,0.0
CHO,19.0,63.0,0.0,0.0,0.0,0.0,0.0
WAS,18.0,64.0,0.0,0.0,0.0,0.0,0.0
UTA,17.0,65.0,0.0,0.0,0.0,0.0,0.0
