team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,57.304,24.696,0.298,0.448,0.6,0.831,1.0
OKC,62.546,19.454,0.25,0.436,0.604,0.817,1.0
NYK,51.485,30.515,0.066,0.124,0.253,0.606,1.0
CLE,59.709,22.291,0.053,0.135,0.369,0.656,1.0
IND,47.762,34.238,0.047,0.096,0.234,0.554,0.997
DEN,49.928,32.072,0.043,0.101,0.238,0.526,0.982
MIN,45.896,36.104,0.042,0.108,0.225,0.455,0.848
MEM,52.457,29.543,0.032,0.096,0.269,0.559,0.996
DAL,43.421,38.579,0.028,0.07,0.137,0.282,0.626
HOU,49.579,32.421,0.019,0.057,0.162,0.423,0.965
LAL,46.845,35.155,0.019,0.051,0.145,0.397,0.861
MIL,44.172,37.828,0.018,0.068,0.173,0.398,0.938
ORL,40.284,41.716,0.017,0.04,0.091,0.227,0.671
MIA,41.95,40.05,0.014,0.033,0.097,0.29,0.841
PHI,37.022,44.978,0.014,0.029,0.082,0.164,0.421
SAC,41.601,40.399,0.012,0.031,0.066,0.149,0.414
PHO,40.58,41.42,0.009,0.019,0.056,0.116,0.292
LAC,43.776,38.224,0.007,0.019,0.05,0.151,0.59
GSW,40.568,41.432,0.006,0.012,0.039,0.097,0.314
ATL,37.426,44.574,0.003,0.016,0.038,0.086,0.379
CHI,34.841,47.159,0.002,0.005,0.021,0.051,0.185
DET,39.355,42.645,0.001,0.006,0.039,0.131,0.552
SAS,37.466,44.534,0.0,0.0,0.008,0.024,0.095
TOR,28.946,53.054,0.0,0.0,0.003,0.005,0.014
POR,34.816,47.184,0.0,0.0,0.001,0.004,0.017
BRK,27.482,54.518,0.0,0.0,0.0,0.001,0.002
NOP,25.365,56.635,0.0,0.0,0.0,0.0,0.0
UTA,23.997,58.003,0.0,0.0,0.0,0.0,0.0
CHO,23.627,58.373,0.0,0.0,0.0,0.0,0.0
WAS,19.794,62.206,0.0,0.0,0.0,0.0,0.0
