team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,61.993,20.007,62.0,2.733304044558527,58.0,65.0,1.0,0.997,0.81,0.187,0.0,0.439,0.583,0.726,0.889,1.0
CLE,50.114,31.886,50.0,2.896377737795953,46.0,54.0,0.576,0.069,0.0,0.0,0.0,0.115,0.263,0.412,0.669,0.992
DET,56.255,25.745,56.0,3.252994774050521,52.0,60.0,0.979,0.699,0.165,0.003,0.0,0.071,0.193,0.379,0.678,1.0
NYK,51.862,31.138,52.0,3.0187672980870848,48.0,56.0,0.786,0.174,0.007,0.0,0.0,0.07,0.184,0.349,0.626,0.995
BOS,50.077,31.923,50.0,3.0726325846088396,46.0,54.0,0.587,0.07,0.0,0.0,0.0,0.047,0.136,0.285,0.578,0.989
MIN,49.814,32.186,50.0,2.9616556180623026,46.0,53.0,0.564,0.045,0.0,0.0,0.0,0.047,0.094,0.237,0.532,0.958
HOU,51.579,30.421,52.0,3.193393023102543,47.0,56.0,0.746,0.19,0.005,0.0,0.0,0.041,0.088,0.248,0.574,0.983
SAS,52.32,30.68,52.0,3.0912133540084223,48.0,56.0,0.817,0.252,0.006,0.0,0.0,0.039,0.077,0.261,0.574,0.985
DEN,50.769,31.231,51.0,3.078577431217217,47.0,55.0,0.667,0.116,0.004,0.0,0.0,0.028,0.06,0.186,0.505,0.982
ORL,44.092,37.908,44.0,3.340289807786145,40.0,48.0,0.045,0.0,0.0,0.0,0.0,0.026,0.077,0.155,0.337,0.768
GSW,44.856,37.144,45.0,3.061578677741273,41.0,49.0,0.073,0.002,0.0,0.0,0.0,0.014,0.036,0.103,0.258,0.757
TOR,46.25,35.75,46.0,3.139984076392745,42.0,50.0,0.141,0.004,0.0,0.0,0.0,0.011,0.036,0.115,0.319,0.891
PHI,44.394,37.606,44.0,3.242647683606716,40.0,48.0,0.06,0.0,0.0,0.0,0.0,0.01,0.035,0.097,0.252,0.77
MIA,44.584,37.416,45.0,3.042851294427646,41.0,48.0,0.047,0.0,0.0,0.0,0.0,0.009,0.035,0.102,0.277,0.79
LAL,46.606,35.394,47.0,3.27822573963417,42.0,51.0,0.189,0.007,0.0,0.0,0.0,0.009,0.023,0.091,0.262,0.816
ATL,41.236,40.764,41.0,3.048328066334068,37.0,45.0,0.0,0.0,0.0,0.0,0.0,0.008,0.03,0.083,0.19,0.49
PHX,46.269,35.731,46.0,3.352109634245276,42.0,50.0,0.162,0.006,0.0,0.0,0.0,0.006,0.021,0.076,0.235,0.786
LAC,42.348,39.652,42.0,3.4039529961502115,38.0,47.0,0.011,0.0,0.0,0.0,0.0,0.006,0.016,0.061,0.144,0.498
CHO,37.663,44.337,38.0,3.278022422131978,34.0,42.0,0.0,0.0,0.0,0.0,0.0,0.003,0.01,0.018,0.047,0.159
POR,38.776,43.224,39.0,3.208087280608182,34.0,43.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.007,0.02,0.17
MEM,34.241,47.759,34.0,3.7179186381630247,30.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.045
MIL,33.119,48.881,33.0,3.860678567298759,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.007,0.031
CHI,37.052,44.948,37.0,3.2157885502625945,33.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.02,0.125
DAL,32.967,49.033,33.0,3.329250816625266,29.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.02
UTA,24.97,57.03,25.0,2.936170975948097,21.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,24.434,57.566,24.0,3.1899285258450543,20.900000000000006,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,23.919,58.081,24.0,3.276345372514931,20.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRK,23.214,58.786,23.0,3.066301355053022,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,22.69,59.31,23.0,2.6999814814179746,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC,22.537,59.463,22.0,3.1347457632158946,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
