simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,60,45,46,24,35,38,28,39,42,38,54,42,33,51,25,45,38,22,29,50,21,46,47,55,47,20,49,49,51,62
1,59,50,44,27,35,32,35,38,37,43,51,41,34,56,22,44,44,19,26,50,24,46,50,48,49,23,43,52,53,56
2,60,51,42,24,38,35,35,35,48,45,52,38,29,48,25,49,44,27,22,49,23,46,48,56,47,22,41,51,47,54
3,61,44,45,19,34,33,39,43,38,51,48,34,31,50,26,46,45,20,22,51,20,49,50,54,47,23,43,58,49,58
4,59,49,49,26,36,33,37,41,40,43,47,46,27,54,20,45,43,20,20,52,25,46,48,48,50,27,44,53,52,51
5,64,49,49,26,34,33,37,42,38,46,52,37,33,54,15,46,39,25,22,48,23,50,49,51,42,24,42,55,51,55
6,60,50,47,25,34,36,34,40,43,42,54,39,30,46,27,45,42,22,22,48,24,47,47,53,49,20,41,54,53,57
7,61,48,49,25,32,37,38,36,43,43,47,33,37,51,22,41,39,32,19,50,26,41,45,49,50,26,50,57,50,54
8,59,51,49,19,37,33,36,38,44,39,49,41,33,48,19,46,46,22,21,56,21,45,45,50,47,28,42,57,53,57
9,62,47,50,23,38,33,37,36,36,42,57,37,34,50,24,44,45,22,22,49,24,45,44,48,51,22,49,54,52,54
10,64,51,43,23,28,39,32,42,44,49,48,39,30,54,23,44,41,27,20,52,23,43,47,51,43,29,46,53,43,60
11,61,52,44,21,37,35,32,39,40,45,55,36,28,51,25,41,43,30,24,47,25,43,47,53,47,23,49,54,45,59
12,63,49,54,21,31,40,37,40,46,45,47,35,30,55,20,42,43,22,24,46,23,44,44,49,53,21,49,52,50,56
13,63,52,44,25,35,35,32,42,39,38,52,34,31,55,21,44,46,24,25,50,21,51,52,49,46,23,44,48,54,56
14,64,45,50,29,29,30,40,37,39,46,47,34,28,52,22,49,44,29,20,52,25,46,45,55,49,20,46,50,47,62
15,63,44,48,24,43,32,36,37,36,42,45,43,36,55,20,40,43,26,21,54,25,49,47,49,49,23,41,47,55,58
16,59,54,48,24,36,31,37,41,41,49,51,43,28,46,20,42,44,29,23,51,21,49,43,50,46,20,44,53,52,56
17,58,53,46,25,39,31,41,42,41,41,52,41,30,53,20,43,39,21,25,51,25,42,44,48,50,24,45,53,49,59
18,59,45,46,22,34,32,39,43,38,42,50,38,30,57,20,45,40,24,21,49,23,49,47,56,47,23,49,53,52,58
19,63,43,47,23,36,27,32,36,39,43,51,36,37,51,28,42,45,25,26,57,23,39,44,46,53,24,44,56,57,58
20,59,54,46,23,38,39,32,42,36,48,57,46,27,49,16,41,46,25,22,51,23,49,42,49,48,22,42,52,49,58
21,66,45,45,27,29,38,35,39,40,49,44,42,26,50,25,41,45,26,19,53,26,44,51,47,49,20,49,53,49,59
22,58,46,44,22,39,32,36,39,40,39,52,41,31,58,21,42,45,29,23,54,19,50,47,49,52,25,43,52,45,58
23,61,50,51,21,36,32,35,37,42,41,50,38,32,51,26,37,42,27,19,49,29,50,47,50,47,26,42,61,48,54
24,55,51,46,23,34,31,34,36,43,38,50,42,32,52,26,49,37,21,18,54,26,51,49,51,52,19,45,56,55,55
25,61,50,46,21,36,35,35,41,39,44,49,44,35,56,18,41,41,24,20,51,24,50,47,47,46,23,48,53,49,57
26,64,52,44,23,31,36,39,41,46,51,54,39,30,49,24,36,41,23,20,50,23,44,42,54,47,21,49,52,49,57
27,61,45,42,29,40,35,33,36,40,43,53,40,34,51,22,49,45,23,17,51,22,47,47,54,44,26,43,51,50,58
28,63,50,47,25,32,41,37,42,43,45,51,36,34,55,22,45,42,21,22,48,20,41,54,49,45,21,40,48,51,61
29,59,45,43,24,32,32,34,37,42,47,50,49,40,53,22,42,43,24,21,47,20,49,46,56,50,19,43,53,51,58
30,63,45,45,24,38,34,37,44,43,38,50,38,36,57,23,44,39,26,22,51,21,44,41,51,48,23,37,59,50,60
31,60,46,41,21,41,33,35,40,39,41,53,42,31,53,22,43,46,30,20,52,24,49,53,49,48,24,42,50,51,52
32,57,45,42,23,33,32,29,40,36,49,53,37,33,55,27,48,42,22,26,49,22,48,47,49,54,21,44,56,56,56
33,57,51,47,27,34,38,41,38,38,43,54,38,33,50,24,46,46,21,18,51,24,46,50,50,46,19,45,49,55,52
34,59,50,44,25,41,35,37,37,42,44,54,37,29,50,18,46,45,18,22,50,24,46,44,50,49,23,49,54,51,58
35,61,48,46,30,33,44,35,43,44,41,49,36,34,51,22,44,45,18,23,51,17,46,41,45,46,27,44,55,51,61
36,58,47,47,26,32,37,37,43,37,45,55,39,32,53,23,45,45,20,22,48,25,46,43,55,44,22,45,54,46,60
37,55,51,49,20,36,26,31,42,41,40,50,46,33,51,22,45,44,20,23,52,22,52,48,56,47,25,44,53,52,55
38,63,51,49,28,38,34,32,39,42,42,47,34,35,58,24,40,39,26,22,51,23,44,43,46,50,25,42,56,47,61
39,64,44,46,25,34,34,37,38,43,45,46,35,30,53,21,47,41,25,25,55,23,46,44,49,52,25,46,56,50,52
40,60,45,44,26,39,37,40,37,46,48,50,44,28,48,18,41,44,27,20,53,28,46,47,46,49,22,40,54,46,58
41,58,47,46,23,31,33,33,40,43,40,48,36,31,53,22,39,42,22,24,56,28,51,49,52,49,24,44,52,56,59
42,58,48,42,25,37,29,34,41,37,36,51,40,39,52,28,45,44,31,22,53,18,45,48,51,48,26,40,55,50,58
43,64,43,47,24,35,33,31,37,41,47,53,41,35,56,24,43,45,20,23,54,21,46,44,47,46,20,45,53,53,60
44,57,48,52,23,34,29,33,44,39,44,48,42,31,52,18,44,41,23,20,57,24,50,46,55,47,25,44,54,50,57
45,61,50,47,25,34,40,36,41,42,40,49,43,30,50,24,47,43,23,18,50,19,48,47,47,42,25,43,57,51,59
46,61,43,47,25,40,38,33,41,39,45,52,43,29,48,23,39,40,20,25,55,25,54,46,51,51,22,35,53,52,56
47,62,48,46,24,33,43,32,38,40,47,49,39,34,57,24,43,47,25,25,43,19,49,47,47,41,23,48,52,53,53
48,65,50,45,20,41,37,40,40,42,38,51,39,32,51,21,46,40,26,19,49,16,48,48,50,46,31,44,46,53,57
49,64,47,44,27,33,33,37,37,37,50,51,43,35,51,23,38,41,28,18,53,27,48,42,46,46,25,42,56,50,59
50,60,45,50,22,31,32,32,43,41,42,54,41,30,51,26,45,48,25,29,51,20,51,43,46,50,25,43,55,50,50
51,65,47,49,24,27,34,37,41,40,42,51,40,34,53,21,42,47,21,20,52,28,44,45,48,47,22,48,53,49,60
52,64,51,42,26,30,34,37,31,42,42,50,44,31,53,18,45,47,26,22,52,26,45,48,47,48,24,42,51,54,59
53,58,45,48,21,38,31,39,43,42,43,51,39,31,50,26,46,45,21,21,53,19,46,48,48,49,23,46,51,50,60
54,61,50,36,20,30,35,39,44,38,48,50,39,35,50,19,39,47,22,24,49,24,47,48,47,50,22,50,51,55,62
55,59,52,49,20,33,33,38,42,40,47,53,36,24,54,18,44,46,23,25,53,24,43,45,51,52,21,43,52,54,57
56,60,45,46,22,33,34,28,39,37,42,56,37,34,58,22,45,40,26,20,47,23,50,46,51,49,25,50,54,57,55
57,59,47,43,24,33,36,37,39,44,38,51,37,26,53,22,46,39,22,30,51,22,54,51,42,53,23,43,59,51,56
