simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,63,51,46,20,30,42,35,39,39,45,49,38,32,49,19,40,44,23,24,52,26,46,48,56,48,22,45,51,51,58
1,67,49,41,24,39,32,44,50,40,42,48,40,40,49,23,43,41,21,25,53,22,48,49,49,45,18,42,48,42,57
2,60,48,50,24,34,39,37,42,37,53,54,32,32,48,26,46,41,20,20,51,30,43,48,53,51,20,43,52,45,52
3,66,41,44,23,41,38,39,34,45,49,48,32,37,46,30,46,42,13,27,52,28,46,40,49,46,24,45,50,53,57
4,59,43,37,26,32,36,42,41,46,45,53,33,35,51,30,41,42,23,21,47,28,49,49,54,51,19,40,49,56,53
5,58,46,45,24,43,33,35,38,40,41,51,40,35,48,23,44,46,20,21,53,26,52,43,54,51,22,45,51,46,57
6,66,41,40,25,38,32,39,39,49,38,50,35,35,53,29,46,37,26,21,53,24,55,49,46,43,16,45,55,51,55
7,62,39,42,31,32,39,41,41,45,48,56,31,39,49,23,45,43,19,27,44,19,46,48,50,45,22,44,54,53,54
8,63,47,42,25,36,44,32,43,35,45,54,34,33,53,26,47,48,17,26,50,21,43,48,54,51,20,49,46,45,54
9,63,45,47,21,39,33,38,42,35,44,47,40,36,45,20,42,42,19,34,54,26,51,50,54,51,21,43,45,49,55
10,55,44,44,31,33,32,39,38,42,48,51,35,31,57,24,51,43,15,26,54,24,51,44,57,47,14,50,53,45,53
11,65,45,43,23,37,43,33,48,43,40,46,35,43,49,19,50,42,24,24,54,21,51,39,54,42,22,48,45,48,55
12,61,48,46,23,34,36,40,42,38,46,56,35,32,52,26,45,41,23,19,55,24,49,35,48,49,24,49,51,50,54
13,64,47,47,22,32,43,37,38,40,44,48,33,38,53,25,45,38,30,20,48,21,53,45,48,49,18,47,58,46,54
14,62,46,48,23,34,31,43,43,43,35,50,38,39,50,21,48,44,25,25,49,24,49,41,53,47,24,43,48,52,53
15,64,49,47,26,34,33,35,42,38,40,51,33,38,55,22,41,33,25,22,51,26,49,44,49,49,25,47,56,51,56
16,58,46,49,26,27,34,36,38,48,43,60,33,34,49,21,52,40,27,23,45,24,49,44,51,50,20,47,53,48,56
17,65,48,47,27,26,42,38,42,44,47,53,35,38,52,19,40,38,22,21,53,21,46,46,50,50,17,46,57,48,53
18,66,43,38,26,35,34,39,40,41,40,52,39,38,51,23,46,40,22,27,52,19,42,44,53,50,19,48,54,51,59
19,64,42,48,24,35,38,44,39,39,43,50,33,39,53,19,49,43,27,22,50,23,48,47,48,44,21,44,50,51,54
20,62,55,47,24,41,38,43,37,42,48,48,34,29,46,24,48,45,34,24,41,21,47,43,48,50,20,42,51,46,53
21,65,47,44,23,33,42,37,41,47,41,57,30,38,52,24,45,39,27,24,47,21,47,44,50,49,22,40,49,47,59
22,64,53,47,29,37,39,32,40,34,47,50,32,37,47,26,46,38,21,21,54,22,48,42,52,48,20,44,58,50,53
23,64,39,42,27,33,42,44,41,46,42,52,34,34,53,21,44,38,20,26,48,20,50,44,52,46,21,46,59,45,58
24,64,41,43,21,38,32,37,47,38,45,51,31,37,46,25,52,39,22,25,57,20,49,48,49,47,24,49,56,48,50
25,61,50,41,26,32,33,39,41,42,50,51,34,33,53,21,44,44,25,28,53,21,44,41,49,45,22,43,54,54,57
26,62,45,44,19,36,43,43,42,41,44,49,35,39,50,24,43,43,27,21,50,22,51,44,47,45,20,48,51,49,54
27,62,43,45,28,34,33,43,40,39,41,48,37,33,42,22,42,46,21,25,53,32,50,45,58,48,19,48,44,51,59
28,67,41,42,28,36,33,45,41,46,41,46,35,31,45,21,52,40,22,27,50,24,50,39,50,48,24,44,51,49,63
29,63,44,49,25,37,43,33,43,44,42,53,42,36,46,21,44,39,24,28,58,19,42,38,54,45,21,47,48,44,59
30,62,50,47,26,40,38,34,46,34,48,45,43,33,52,19,45,41,20,26,54,28,49,45,46,44,18,48,50,48,52
31,64,49,44,19,41,36,34,46,45,42,47,36,30,51,23,44,33,25,30,54,28,45,43,51,51,21,43,48,49,59
32,62,44,45,27,38,46,38,36,41,46,57,30,34,53,22,46,41,23,22,49,23,46,48,50,46,17,42,47,48,64
33,70,50,44,23,36,40,40,47,43,44,48,34,33,51,15,38,44,24,24,51,23,48,45,45,50,21,43,52,49,56
34,61,43,50,32,35,43,35,44,37,50,53,34,35,49,23,43,38,18,23,56,24,46,41,49,48,25,44,47,50,55
35,68,46,45,27,41,37,35,48,41,36,51,41,37,53,31,53,43,19,16,50,19,46,46,51,45,22,49,46,37,52
36,61,47,50,26,39,34,43,43,42,44,51,37,36,46,22,49,44,17,18,48,25,45,43,53,54,15,46,52,50,51
37,63,43,43,27,38,36,41,36,44,46,52,30,33,52,31,53,42,21,21,44,21,46,43,55,43,27,42,54,50,54
38,63,49,51,29,30,32,40,39,45,46,49,31,33,46,21,46,44,18,19,50,23,51,48,51,51,22,46,58,52,48
39,59,48,43,27,40,37,38,46,40,40,49,34,32,48,26,45,44,22,28,51,17,47,42,53,52,18,45,49,49,62
40,66,46,48,25,42,34,36,47,35,43,50,39,37,52,19,48,41,28,22,48,20,48,44,48,42,21,49,49,46,58
41,69,46,46,25,34,38,31,42,41,42,49,37,30,52,24,47,39,27,24,55,21,48,44,46,47,29,43,52,55,48
42,70,48,43,29,32,36,40,43,37,49,56,29,35,50,20,48,40,21,24,49,23,44,49,48,46,23,43,49,53,54
43,62,52,42,21,41,42,32,44,41,41,51,26,35,52,27,40,36,25,26,55,24,47,44,53,42,22,44,53,55,56
44,59,44,47,29,33,37,36,40,40,44,49,36,33,53,27,42,39,19,33,57,20,47,39,53,46,19,49,53,54,54
45,67,50,42,21,37,49,34,42,35,45,52,31,38,53,25,48,39,24,24,46,24,47,41,48,46,23,43,56,49,52
46,63,44,46,23,33,36,42,46,40,45,47,38,33,51,19,47,50,23,18,50,20,48,45,54,49,17,46,51,46,61
47,61,41,43,25,35,36,40,40,42,47,48,44,34,49,25,51,37,26,24,53,18,44,45,52,46,21,44,51,43,66
48,64,43,50,20,35,37,41,40,41,50,44,33,32,48,23,51,47,23,27,53,27,46,39,52,49,20,40,51,49,56
49,66,46,48,24,38,31,41,39,45,44,50,32,32,53,19,46,39,21,29,54,21,45,42,49,53,21,45,53,49,56
50,63,44,47,30,32,36,40,50,45,41,48,38,28,48,29,42,41,26,20,49,21,48,38,53,53,21,41,56,46,57
51,68,47,50,18,35,29,37,45,43,48,48,33,34,53,24,41,43,29,24,48,19,50,51,45,48,23,43,55,50,50
52,64,45,52,26,35,33,38,41,45,48,49,35,37,46,31,48,41,22,27,51,21,48,37,52,50,17,45,44,46,57
53,63,44,42,27,30,42,44,36,39,49,51,30,36,57,23,48,43,23,21,53,23,45,44,53,51,23,41,46,49,55
54,63,45,50,26,31,40,36,41,46,47,45,33,34,48,19,49,38,17,19,51,28,47,42,56,52,17,47,54,50,60
55,59,50,41,23,31,36,42,36,42,47,52,38,36,52,20,43,41,23,27,52,32,41,45,52,50,21,45,53,48,53
56,59,48,42,24,27,37,35,42,41,45,53,34,37,49,23,50,42,24,24,55,24,48,42,55,51,22,39,56,43,60
57,65,46,48,28,37,37,37,45,38,43,49,33,37,53,22,38,38,31,25,47,22,43,51,49,50,20,42,49,51,57
58,66,49,42,25,39,36,35,45,41,41,45,35,35,47,22,43,40,21,27,52,24,57,50,48,45,19,51,54,47,50
59,60,45,53,26,31,37,41,40,41,41,52,33,32,55,19,47,45,24,19,50,25,46,45,47,50,20,46,52,52,57
60,60,43,45,24,40,34,40,45,43,42,51,40,41,50,23,43,37,22,21,49,32,48,41,48,50,21,49,51,49,49
61,61,50,45,22,33,34,43,41,46,42,55,34,32,48,25,45,41,22,23,49,21,53,54,52,48,22,46,52,43,49
62,60,39,46,27,31,31,45,45,40,45,47,36,32,52,26,47,45,21,23,52,23,45,45,51,46,22,44,54,55,56
63,61,41,47,23,33,30,40,41,43,50,47,32,38,47,24,48,40,27,26,49,34,49,46,51,47,23,34,54,51,55
64,63,50,50,26,33,44,43,40,42,45,49,39,30,43,20,43,45,25,21,52,25,50,44,49,44,21,44,52,49,50
65,59,55,45,27,33,36,38,42,41,45,49,30,41,49,23,38,35,29,25,52,29,45,50,51,52,21,47,46,46,52
66,61,44,51,21,40,41,33,45,36,44,48,30,37,55,22,46,34,27,21,51,29,40,52,50,48,23,44,52,48,58
67,67,45,46,25,38,36,33,44,44,43,47,34,39,49,35,45,40,21,21,46,24,45,38,52,46,25,50,54,47,52
68,62,45,43,23,41,37,44,40,43,44,54,34,31,47,24,48,42,18,25,55,23,41,46,50,45,24,45,52,47,58
69,65,50,44,24,36,35,34,42,39,47,49,35,38,48,18,48,41,21,22,50,23,49,49,46,48,16,46,57,48,63
70,59,48,40,25,39,38,33,39,41,42,48,41,38,46,27,46,38,18,25,49,30,50,46,53,43,21,48,54,51,55
71,67,41,38,31,40,40,40,48,41,48,52,35,34,46,25,45,46,21,22,48,21,54,38,50,49,17,41,51,51,51
72,61,46,45,26,29,40,45,39,43,47,52,36,33,47,17,53,44,20,30,48,23,49,44,51,46,23,44,56,42,52
73,65,41,47,26,37,33,44,43,44,47,52,36,37,48,14,48,34,25,21,50,22,43,43,54,49,22,51,54,47,54
74,62,46,48,29,36,36,39,46,48,34,51,34,31,53,26,45,37,22,22,52,27,46,48,52,50,26,34,51,45,55
75,62,47,49,29,43,37,44,42,48,39,43,34,40,46,21,44,43,25,26,52,23,42,42,52,47,17,39,51,49,55
76,62,49,40,22,31,36,39,48,47,50,51,30,39,50,19,44,38,22,23,46,23,45,45,55,50,27,42,52,51,55
77,61,43,46,27,27,36,44,43,42,47,47,31,36,50,18,44,38,27,22,52,27,52,46,50,42,19,47,57,56,54
78,62,46,44,27,41,29,41,39,48,43,47,36,41,48,19,40,39,15,24,47,28,39,49,52,53,22,43,55,52,62
79,66,45,49,25,36,38,38,49,41,43,43,38,37,44,16,48,38,24,21,50,23,51,42,46,51,23,46,56,49,55
80,63,48,42,24,40,36,41,41,41,42,53,31,35,48,26,43,40,21,32,53,22,43,47,55,46,19,41,52,55,51
81,56,42,51,25,31,33,40,40,37,50,47,43,33,60,22,45,45,23,23,45,22,46,44,49,47,22,47,54,52,57
