simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,67,47,46,24,38,40,36,44,45,44,49,38,34,48,17,47,42,18,25,53,21,44,48,51,46,20,42,48,47,62
1,60,45,48,26,27,31,32,45,41,48,50,26,30,53,22,49,44,26,34,50,24,42,51,50,56,15,48,52,55,51
2,62,44,44,30,29,33,36,34,42,49,49,36,40,55,27,43,41,21,31,52,23,48,43,54,50,21,37,51,48,58
3,62,45,46,27,32,44,38,42,43,52,49,30,21,46,24,51,38,17,28,49,25,45,48,52,53,23,42,55,54,50
4,61,48,43,28,34,36,37,45,39,45,49,31,34,53,18,42,41,29,25,56,26,45,45,55,52,19,43,51,43,58
5,59,43,45,25,36,29,36,39,45,48,43,32,37,53,28,49,40,23,24,54,28,54,42,48,49,23,43,56,44,56
6,60,41,46,26,31,31,36,44,41,44,51,39,38,47,30,54,40,25,24,49,24,42,44,54,48,20,48,49,49,56
7,62,44,50,26,42,36,35,42,40,53,48,28,29,47,16,51,38,23,26,50,25,47,51,54,52,20,40,52,53,51
8,63,43,44,20,40,35,37,43,32,47,46,34,38,46,22,45,44,22,25,58,23,46,49,58,53,25,41,51,47,54
9,64,44,45,26,35,46,34,44,36,47,57,34,27,48,25,48,45,20,27,55,29,48,43,49,45,22,44,51,42,51
10,68,38,54,21,29,36,36,37,39,42,53,31,38,48,18,40,41,25,24,50,29,44,47,52,54,23,51,57,49,57
11,70,48,41,27,34,32,39,37,45,47,50,33,32,50,23,40,38,23,25,46,26,49,47,54,50,20,45,57,45,58
12,65,48,37,29,29,30,29,43,39,47,50,33,27,50,24,45,43,27,24,54,34,43,45,55,54,23,46,48,56,54
13,57,43,47,25,39,30,33,45,41,45,53,30,33,47,20,45,43,20,31,55,23,44,44,55,52,23,48,57,48,55
14,66,49,46,27,37,37,37,38,37,50,52,36,32,49,25,50,38,21,26,48,29,44,42,53,49,23,43,50,47,50
