team,wins,losses,champion,finals,conference_finals,second_round,playoffs
OKC,67.665,14.335,0.277,0.434,0.613,0.824,1.0
BOS,60.839,21.161,0.264,0.404,0.608,0.83,1.0
CLE,64.785,17.215,0.07,0.175,0.405,0.71,1.0
MIN,48.303,33.697,0.068,0.144,0.296,0.559,0.945
IND,48.885,33.115,0.061,0.149,0.335,0.636,1.0
HOU,52.939,29.061,0.043,0.103,0.271,0.53,1.0
NYK,51.072,30.928,0.039,0.106,0.217,0.603,1.0
GSW,48.939,33.061,0.035,0.088,0.212,0.472,0.959
DEN,49.162,32.838,0.03,0.073,0.175,0.464,0.97
MIL,45.304,36.696,0.02,0.082,0.164,0.428,1.0
LAC,47.749,34.251,0.018,0.051,0.126,0.325,0.877
LAL,48.878,33.122,0.018,0.048,0.156,0.419,0.961
MEM,47.527,34.473,0.017,0.037,0.113,0.323,0.854
ORL,39.73,42.27,0.017,0.037,0.075,0.161,0.726
DET,45.503,36.497,0.006,0.017,0.076,0.333,1.0
DAL,39.982,42.018,0.005,0.013,0.023,0.052,0.225
ATL,39.232,42.768,0.004,0.014,0.046,0.112,0.569
SAC,39.345,42.655,0.004,0.006,0.01,0.021,0.173
CHI,37.741,44.259,0.003,0.006,0.025,0.076,0.31
PHO,37.344,44.656,0.001,0.003,0.005,0.011,0.033
MIA,37.947,44.053,0.0,0.01,0.049,0.111,0.395
POR,36.206,45.794,0.0,0.0,0.0,0.0,0.003
SAS,34.029,47.971,0.0,0.0,0.0,0.0,0.0
TOR,29.998,52.002,0.0,0.0,0.0,0.0,0.0
BRK,27.042,54.958,0.0,0.0,0.0,0.0,0.0
PHI,25.225,56.775,0.0,0.0,0.0,0.0,0.0
NOP,23.104,58.896,0.0,0.0,0.0,0.0,0.0
CHO,20.241,61.759,0.0,0.0,0.0,0.0,0.0
WAS,18.31,63.69,0.0,0.0,0.0,0.0,0.0
UTA,16.974,65.026,0.0,0.0,0.0,0.0,0.0
