team,wins,losses,champion,finals,conference_finals,second_round,playoffs
OKC,63.816,18.184,0.291,0.445,0.612,0.8,1.0
BOS,58.498,23.502,0.256,0.433,0.628,0.843,1.0
CLE,62.826,19.174,0.073,0.17,0.423,0.741,1.0
DEN,51.485,30.515,0.06,0.129,0.297,0.559,0.996
MIN,46.062,35.938,0.059,0.125,0.257,0.476,0.858
NYK,51.296,30.704,0.042,0.129,0.248,0.645,1.0
DAL,44.286,37.714,0.04,0.072,0.152,0.296,0.676
IND,48.297,33.703,0.039,0.123,0.288,0.62,0.997
MEM,51.546,30.454,0.034,0.073,0.214,0.513,0.99
LAL,48.514,33.486,0.025,0.05,0.146,0.432,0.951
MIL,44.726,37.274,0.017,0.065,0.155,0.386,0.964
GSW,44.065,37.935,0.016,0.037,0.101,0.258,0.618
HOU,49.024,32.976,0.014,0.041,0.119,0.388,0.965
SAC,42.021,39.979,0.01,0.016,0.051,0.12,0.375
ORL,39.581,42.419,0.008,0.026,0.066,0.163,0.637
MIA,40.126,41.874,0.006,0.023,0.064,0.185,0.739
ATL,37.945,44.055,0.003,0.009,0.031,0.091,0.471
PHI,32.055,49.945,0.002,0.004,0.015,0.032,0.105
CHI,32.608,49.392,0.002,0.003,0.014,0.031,0.105
DET,44.536,37.464,0.001,0.015,0.068,0.259,0.947
LAC,43.289,38.711,0.001,0.009,0.044,0.138,0.488
PHO,38.592,43.408,0.001,0.003,0.006,0.018,0.073
SAS,34.759,47.241,0.0,0.0,0.001,0.002,0.007
TOR,28.48,53.52,0.0,0.0,0.0,0.003,0.016
BRK,29.135,52.865,0.0,0.0,0.0,0.001,0.019
POR,35.066,46.934,0.0,0.0,0.0,0.0,0.003
NOP,25.525,56.475,0.0,0.0,0.0,0.0,0.0
UTA,22.239,59.761,0.0,0.0,0.0,0.0,0.0
CHO,21.661,60.339,0.0,0.0,0.0,0.0,0.0
WAS,17.941,64.059,0.0,0.0,0.0,0.0,0.0
