team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,62.831,19.169,63.0,3.142998409162817,59.0,67.0,1.0,0.993,0.858,0.309,0.011,0.404,0.514,0.685,0.859,1.0
HOU,51.67,30.33,52.0,3.800934095719104,47.0,57.0,0.707,0.235,0.015,0.0,0.0,0.076,0.123,0.288,0.604,0.981
DET,54.147,27.853,54.0,3.9604786326907506,49.0,59.0,0.867,0.494,0.079,0.002,0.0,0.071,0.165,0.319,0.591,0.994
CLE,47.66,34.34,48.0,3.6017218104678768,43.0,52.0,0.318,0.021,0.0,0.0,0.0,0.062,0.185,0.337,0.581,0.938
NYK,51.502,31.498,52.0,3.8094613792503527,47.0,56.0,0.701,0.218,0.015,0.0,0.0,0.057,0.175,0.333,0.599,0.986
BOS,50.207,31.793,50.0,3.7640604405349283,45.0,55.0,0.583,0.122,0.007,0.0,0.0,0.056,0.152,0.277,0.537,0.969
MIN,49.882,32.118,50.0,3.6246483967414,45.0,54.0,0.546,0.095,0.003,0.0,0.0,0.05,0.09,0.213,0.5,0.963
DEN,50.925,31.075,51.0,3.664338275869192,46.0,55.0,0.665,0.16,0.014,0.0,0.0,0.047,0.098,0.246,0.546,0.98
SAS,52.527,30.473,53.0,3.7485025009995656,48.0,57.0,0.805,0.297,0.027,0.0,0.0,0.043,0.084,0.249,0.559,0.981
ORL,45.723,36.277,46.0,3.768059314819765,41.0,50.0,0.164,0.008,0.0,0.0,0.0,0.039,0.116,0.225,0.423,0.852
PHI,46.106,35.894,46.0,4.068754600611839,41.0,51.0,0.209,0.013,0.0,0.0,0.0,0.025,0.071,0.154,0.345,0.818
GSW,45.341,36.659,45.0,3.657419718872856,41.0,50.0,0.124,0.004,0.0,0.0,0.0,0.017,0.038,0.12,0.291,0.778
TOR,45.618,36.382,46.0,3.8512434355672713,41.0,51.0,0.155,0.008,0.0,0.0,0.0,0.012,0.041,0.113,0.32,0.813
ATL,42.368,39.632,42.0,3.8160943384565327,37.0,47.0,0.026,0.0,0.0,0.0,0.0,0.01,0.045,0.106,0.246,0.604
MIA,43.589,38.411,44.0,4.039564209169104,38.0,49.0,0.064,0.002,0.0,0.0,0.0,0.008,0.034,0.099,0.246,0.669
LAL,46.408,35.592,47.0,3.968568507661169,41.0,51.0,0.215,0.015,0.0,0.0,0.0,0.008,0.018,0.08,0.275,0.81
LAC,40.047,41.953,40.0,4.025020621065188,35.0,45.0,0.006,0.0,0.0,0.0,0.0,0.007,0.01,0.035,0.09,0.363
PHX,44.647,37.353,45.0,4.154803364781539,39.0,50.0,0.119,0.007,0.0,0.0,0.0,0.003,0.012,0.054,0.175,0.669
MEM,37.417,44.583,37.0,4.140907026244371,32.0,43.0,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.013,0.03,0.157
POR,40.183,41.817,40.0,4.147711537703653,35.0,45.10000000000002,0.012,0.0,0.0,0.0,0.0,0.002,0.009,0.017,0.069,0.291
MIL,37.568,44.432,38.0,4.093333116178061,32.0,43.0,0.003,0.0,0.0,0.0,0.0,0.0,0.013,0.026,0.069,0.195
CHI,35.83,46.17,36.0,4.2063166785205315,30.0,41.0,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.032,0.11
CHO,33.171,48.829,33.0,4.434609227429177,27.0,39.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.011,0.049
DAL,31.995,50.005,32.0,4.185806373926057,27.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.026
BRK,26.909,55.091,27.0,4.146892692125032,22.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
UTA,26.261,55.739,26.0,3.6667259237635967,22.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
IND,22.749,59.251,22.0,4.065956099123551,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,22.662,59.338,23.0,3.2829492837995535,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,22.562,59.438,22.0,3.8366855487516824,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC,22.495,59.505,22.0,3.5606144132719564,18.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
