team,wins,losses,champion,finals,conference_finals,second_round,playoffs
OKC,61.634,20.366,0.309,0.424,0.589,0.812,1.0
CLE,47.401,34.599,0.118,0.234,0.384,0.62,0.935
NYK,53.909,29.091,0.086,0.2,0.376,0.634,0.995
DEN,53.458,28.542,0.06,0.127,0.294,0.559,0.988
DET,53.554,28.446,0.055,0.127,0.269,0.553,0.997
HOU,52.0,30.0,0.047,0.091,0.222,0.517,0.977
MIN,49.284,32.716,0.044,0.084,0.202,0.48,0.944
ORL,46.733,35.267,0.041,0.112,0.221,0.455,0.898
SAS,53.611,29.389,0.038,0.089,0.228,0.518,0.985
BOS,49.382,32.618,0.034,0.091,0.206,0.488,0.948
ATL,40.636,41.364,0.026,0.051,0.099,0.23,0.543
GSW,45.12,36.88,0.025,0.054,0.126,0.295,0.724
PHI,42.586,39.414,0.021,0.055,0.117,0.245,0.664
MIA,43.834,38.166,0.02,0.051,0.129,0.288,0.741
LAL,46.134,35.866,0.019,0.039,0.116,0.303,0.761
LAC,39.225,42.775,0.018,0.036,0.067,0.14,0.375
MIL,35.962,46.038,0.008,0.022,0.05,0.111,0.274
MEM,41.64,40.36,0.007,0.024,0.07,0.152,0.5
CHI,37.064,44.936,0.006,0.015,0.041,0.098,0.284
DAL,35.468,46.532,0.006,0.013,0.025,0.054,0.139
TOR,42.56,39.44,0.005,0.041,0.106,0.263,0.654
PHX,40.932,41.068,0.004,0.01,0.033,0.111,0.408
POR,36.113,45.887,0.003,0.008,0.025,0.054,0.178
SAC,27.738,54.262,0.0,0.001,0.003,0.003,0.013
CHO,29.106,52.894,0.0,0.001,0.001,0.009,0.033
BRK,28.97,53.03,0.0,0.0,0.001,0.006,0.031
UTA,26.112,55.888,0.0,0.0,0.0,0.001,0.005
NOP,25.539,56.461,0.0,0.0,0.0,0.001,0.003
IND,23.011,58.989,0.0,0.0,0.0,0.0,0.002
WAS,22.284,59.716,0.0,0.0,0.0,0.0,0.001
