team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,62.92,19.08,63.0,3.242159773977834,59.0,67.0,1.0,0.993,0.847,0.324,0.013,0.405,0.538,0.698,0.887,1.0
NYK,51.255,31.745,51.0,3.60582514828437,47.0,56.0,0.679,0.185,0.013,0.0,0.0,0.082,0.195,0.367,0.614,0.988
CLE,47.471,34.529,48.0,3.647623747044094,43.0,52.0,0.287,0.03,0.0,0.0,0.0,0.073,0.194,0.321,0.581,0.926
DET,54.044,27.956,54.0,3.8081575597656148,49.0,59.0,0.869,0.487,0.065,0.002,0.0,0.059,0.181,0.349,0.644,0.996
HOU,50.875,31.125,51.0,3.658056177808099,46.0,56.0,0.637,0.175,0.009,0.0,0.0,0.058,0.101,0.248,0.574,0.976
DEN,52.243,29.757,52.0,3.716981436596099,48.0,57.0,0.773,0.269,0.022,0.0,0.0,0.052,0.099,0.292,0.581,0.986
MIN,51.576,30.424,52.0,3.556996485800907,47.0,56.0,0.716,0.212,0.014,0.0,0.0,0.05,0.093,0.25,0.577,0.984
SAS,51.402,31.598,51.0,3.6789123392655063,47.0,56.0,0.705,0.213,0.011,0.0,0.0,0.047,0.082,0.201,0.491,0.981
ORL,45.741,36.259,46.0,3.7688086977186837,41.0,51.0,0.157,0.005,0.0,0.0,0.0,0.04,0.11,0.206,0.425,0.843
BOS,48.618,33.382,49.0,3.778898781391214,44.0,53.0,0.417,0.053,0.0,0.0,0.0,0.033,0.105,0.223,0.502,0.938
ATL,42.638,39.362,43.0,3.592346865212211,38.0,47.0,0.025,0.0,0.0,0.0,0.0,0.019,0.049,0.117,0.267,0.636
PHI,45.473,36.527,46.0,3.9994088313149483,40.0,50.0,0.148,0.017,0.001,0.0,0.0,0.018,0.062,0.158,0.337,0.81
MIA,44.056,37.944,44.0,3.910353436711316,39.0,49.0,0.075,0.002,0.0,0.0,0.0,0.014,0.047,0.115,0.272,0.724
GSW,44.994,37.006,45.0,3.5927655086298076,40.0,49.0,0.098,0.003,0.0,0.0,0.0,0.013,0.034,0.112,0.273,0.752
TOR,45.799,36.201,46.0,3.667505828216228,41.0,51.0,0.158,0.009,0.0,0.0,0.0,0.01,0.045,0.113,0.271,0.83
PHX,44.813,37.187,45.0,3.9255612337600847,40.0,50.0,0.125,0.007,0.0,0.0,0.0,0.008,0.018,0.058,0.18,0.697
LAL,46.333,35.667,46.0,3.8717064713121006,41.0,51.0,0.21,0.014,0.0,0.0,0.0,0.007,0.018,0.07,0.264,0.799
LAC,40.636,41.364,41.0,3.948607855941129,36.0,46.0,0.006,0.0,0.0,0.0,0.0,0.004,0.01,0.038,0.097,0.384
POR,39.528,42.472,39.0,4.020847671822448,34.0,45.0,0.004,0.0,0.0,0.0,0.0,0.003,0.004,0.019,0.047,0.251
MIL,36.649,45.351,37.0,4.16314772738129,31.0,42.0,0.0,0.0,0.0,0.0,0.0,0.002,0.007,0.02,0.044,0.156
MEM,37.649,44.351,38.0,4.138816135080175,32.0,43.0,0.001,0.0,0.0,0.0,0.0,0.002,0.003,0.012,0.025,0.167
CHI,36.49,45.51,37.0,4.153540658281799,31.0,42.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.007,0.036,0.131
CHO,32.423,49.577,32.0,3.884594058585787,27.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.007,0.022
DAL,32.086,49.914,32.0,3.957853458631332,27.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.022
UTA,27.247,54.753,27.0,3.5594930818868016,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
BRK,25.467,56.533,25.0,3.9411814218581713,20.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC,24.67,57.33,25.0,3.7516796238484975,20.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,22.871,59.129,23.0,3.6260666017049386,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,22.561,59.439,23.0,4.078514312835006,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,22.472,59.528,22.0,3.2123536542541515,18.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
