team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,61.638,20.362,62.0,2.8026694418000853,58.0,65.0,1.0,0.991,0.777,0.156,0.0,0.409,0.561,0.713,0.864,1.0
CLE,50.752,31.248,51.0,2.7576250651602368,47.0,54.0,0.681,0.082,0.0,0.0,0.0,0.1,0.251,0.431,0.701,0.993
NYK,52.818,30.182,53.0,2.9736973618712446,49.0,56.10000000000002,0.861,0.301,0.009,0.0,0.0,0.083,0.214,0.389,0.665,0.999
DET,56.592,25.408,57.0,3.1917919731711835,52.0,61.0,0.984,0.751,0.188,0.004,0.0,0.073,0.175,0.341,0.665,1.0
SAS,52.783,30.217,53.0,3.090616605145323,49.0,57.0,0.855,0.291,0.009,0.0,0.0,0.058,0.115,0.281,0.6,0.994
BOS,51.486,30.514,52.0,2.964085693767979,48.0,55.0,0.744,0.144,0.004,0.0,0.0,0.053,0.131,0.294,0.592,0.996
MIN,49.921,32.079,50.0,3.072256336961485,46.0,54.0,0.56,0.069,0.0,0.0,0.0,0.042,0.079,0.213,0.527,0.961
DEN,50.056,31.944,50.0,3.006137721396011,46.0,54.0,0.561,0.07,0.0,0.0,0.0,0.036,0.065,0.212,0.499,0.967
HOU,50.957,31.043,51.0,3.1030873336082565,47.0,55.0,0.679,0.117,0.0,0.0,0.0,0.031,0.089,0.255,0.554,0.983
PHI,46.352,35.648,46.0,3.2065707539363606,42.0,50.0,0.161,0.006,0.0,0.0,0.0,0.02,0.057,0.126,0.309,0.873
TOR,46.034,35.966,46.0,3.1605132494580683,42.0,50.0,0.133,0.007,0.0,0.0,0.0,0.017,0.042,0.103,0.272,0.857
GSW,44.297,37.703,44.0,2.9466575980252614,41.0,48.0,0.037,0.0,0.0,0.0,0.0,0.017,0.035,0.11,0.249,0.744
ORL,43.421,38.579,44.0,3.123100862924539,39.0,47.0,0.027,0.0,0.0,0.0,0.0,0.014,0.053,0.124,0.261,0.707
MIA,43.967,38.033,44.0,3.1304809534638602,40.0,48.0,0.042,0.0,0.0,0.0,0.0,0.01,0.035,0.079,0.244,0.714
ATL,41.745,40.255,42.0,3.023239156930857,38.0,46.0,0.004,0.0,0.0,0.0,0.0,0.01,0.034,0.093,0.209,0.538
LAL,46.986,35.014,47.0,3.121186312926545,43.0,51.0,0.202,0.004,0.0,0.0,0.0,0.01,0.016,0.079,0.305,0.859
PHX,46.542,35.458,47.0,3.2240093051974896,42.0,51.0,0.19,0.003,0.0,0.0,0.0,0.008,0.024,0.085,0.246,0.801
LAC,41.105,40.895,41.0,3.2279986059476546,37.0,45.0,0.002,0.0,0.0,0.0,0.0,0.006,0.012,0.036,0.117,0.416
CHO,37.91,44.09,38.0,3.333751640419544,34.0,42.0,0.0,0.0,0.0,0.0,0.0,0.003,0.006,0.013,0.051,0.19
MEM,35.297,46.703,35.0,3.608710434490415,31.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.016,0.072
POR,38.369,43.631,38.0,3.3323923838587794,34.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.008,0.018,0.184
MIL,34.404,47.596,34.0,3.5438374680563443,30.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.013,0.046
CHI,36.266,45.734,36.0,3.3688639034546943,32.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.018,0.087
DAL,32.621,49.379,33.0,3.276485769845491,28.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.005,0.019
UTA,25.338,56.662,25.0,2.8795409356354007,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,23.52,58.48,24.0,2.9579722784366997,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,23.48,58.52,23.0,3.409633411380174,19.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRK,22.252,59.748,22.0,2.7670374048790882,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC,22.105,59.895,22.0,2.8861696069358085,18.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,21.986,60.014,22.0,2.689573200342389,19.0,25.100000000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
