simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,61,40,44,25,41,37,39,41,46,46,55,31,41,48,26,40,39,19,29,52,17,48,44,56,50,19,44,53,47,53
1,66,52,38,27,34,39,42,38,39,38,55,33,36,48,26,45,42,27,19,46,24,50,45,43,53,26,47,50,48,55
2,65,52,43,25,37,37,43,41,40,43,52,38,35,47,20,50,34,22,24,49,30,46,45,56,46,19,38,50,51,53
3,60,47,48,24,36,38,34,41,37,51,52,29,27,54,24,45,43,26,30,49,25,45,49,48,54,25,49,51,40,50
4,63,46,47,25,31,44,35,45,40,47,46,31,34,49,21,46,41,22,21,52,25,39,46,54,53,29,47,52,47,53
5,67,42,50,20,36,42,35,40,36,53,49,31,35,53,21,51,40,23,28,46,25,49,45,52,48,22,46,47,43,56
6,67,46,47,27,33,43,43,41,35,49,52,41,34,49,18,44,41,19,28,54,21,39,43,47,47,23,37,60,51,52
7,63,46,50,26,40,39,38,42,40,44,53,28,34,46,20,49,44,25,26,54,21,45,45,53,53,20,44,45,45,53
8,57,49,51,24,31,35,37,42,38,47,50,36,36,41,30,49,43,28,24,52,25,43,47,50,47,20,50,50,45,54
9,66,51,40,25,39,40,33,45,38,49,53,32,30,46,23,45,37,22,27,54,27,48,48,44,50,23,47,53,43,53
10,65,44,52,23,35,34,37,40,41,44,46,30,39,49,28,41,44,23,26,53,25,38,43,52,49,20,42,59,48,61
11,62,50,52,23,34,42,34,39,41,44,52,27,33,47,19,41,35,32,29,52,24,49,42,55,52,17,43,56,46,59
12,70,43,49,23,36,36,36,45,40,43,54,36,31,47,18,46,42,19,25,46,31,43,47,51,51,19,45,52,46,61
13,63,45,44,23,35,35,39,41,39,48,47,33,36,44,20,51,40,23,34,53,29,38,47,53,49,20,44,55,46,57
14,61,44,43,29,39,42,34,43,44,48,47,37,35,52,21,54,35,24,21,52,25,45,41,46,52,23,44,49,46,55
15,64,43,46,26,38,33,41,38,45,43,52,34,33,48,22,40,48,23,28,54,23,44,40,54,55,23,40,52,44,57
16,66,50,45,25,40,44,36,42,46,47,46,30,39,49,21,45,41,21,27,45,23,49,47,47,45,19,44,52,46,54
17,63,41,54,20,33,44,38,37,40,43,51,33,33,47,23,45,40,20,32,51,24,48,47,53,49,21,38,53,55,55
18,67,46,48,22,44,37,29,39,41,45,56,33,39,46,17,45,41,21,24,51,22,43,47,52,47,23,48,52,50,56
19,63,51,44,27,33,42,42,36,41,45,52,34,36,48,16,47,37,28,23,54,29,44,49,51,44,22,40,52,53,48
20,66,45,45,33,32,41,34,42,45,42,53,36,38,40,20,43,43,20,18,52,27,50,46,52,47,27,35,53,49,57
21,66,44,42,26,34,35,38,41,33,48,56,29,30,52,26,45,44,20,22,48,22,47,48,54,49,23,47,55,48,59
22,63,42,45,30,29,40,42,40,45,47,50,31,36,39,26,48,37,26,26,50,28,45,42,56,46,21,39,53,50,59
23,67,47,47,19,38,36,36,42,45,47,51,35,42,46,26,42,41,27,26,41,21,48,46,46,45,22,40,51,52,59
24,66,52,41,26,37,37,29,43,37,45,51,31,31,54,22,43,36,18,31,53,23,46,39,52,55,25,47,58,47,56
25,66,43,44,29,37,41,42,40,37,45,50,33,32,48,21,47,49,20,21,51,25,46,49,51,46,18,41,53,49,57
26,60,47,47,27,33,47,39,36,37,45,48,35,36,49,22,42,42,22,26,49,28,50,47,45,51,26,38,55,50,52
27,62,44,36,25,37,45,40,46,41,45,49,32,38,53,16,48,46,24,23,51,24,44,48,51,45,17,45,54,51,51
28,58,47,47,20,37,37,43,37,39,50,51,39,28,52,19,43,45,26,23,50,23,43,48,52,54,24,44,52,52,48
29,63,48,44,37,30,37,39,41,37,46,50,34,39,52,25,41,39,22,27,54,23,39,41,57,51,20,49,48,49,49
30,61,45,49,29,36,35,38,41,42,48,41,31,37,45,22,48,39,27,23,45,21,53,44,51,51,24,45,50,52,58
31,63,46,46,26,39,38,39,43,38,50,48,35,31,52,19,48,43,17,21,52,24,40,42,50,46,23,49,54,49,60
32,62,44,48,26,34,45,44,43,44,47,47,28,33,45,19,44,48,25,23,54,21,44,43,48,49,20,36,58,49,60
33,65,44,46,26,35,32,40,45,42,51,44,35,35,45,21,43,43,26,26,49,24,46,39,48,53,17,49,51,48,63
