team,wins,losses,champion,finals,conference_finals,second_round,playoffs
OKC,62.702,19.298,0.274,0.397,0.566,0.788,1.0
CLE,48.162,33.838,0.107,0.223,0.367,0.589,0.935
NYK,54.18,28.82,0.101,0.199,0.388,0.669,0.989
DEN,53.833,28.167,0.085,0.148,0.306,0.588,0.982
HOU,53.638,28.362,0.072,0.129,0.284,0.587,0.983
ORL,49.514,32.486,0.062,0.177,0.316,0.589,0.945
DET,53.648,28.352,0.049,0.132,0.276,0.582,0.989
MIN,48.983,33.017,0.047,0.089,0.203,0.45,0.92
LAL,49.523,32.477,0.038,0.072,0.171,0.417,0.932
ATL,44.648,37.352,0.03,0.069,0.153,0.326,0.779
SAS,50.421,32.579,0.024,0.058,0.174,0.44,0.928
GSW,44.02,37.98,0.024,0.05,0.121,0.289,0.733
BOS,47.125,34.875,0.017,0.062,0.155,0.383,0.868
LAC,36.679,45.321,0.014,0.026,0.057,0.114,0.28
MIA,44.905,37.095,0.013,0.044,0.113,0.284,0.758
TOR,42.978,39.022,0.013,0.041,0.094,0.227,0.642
PHI,42.588,39.412,0.012,0.034,0.085,0.214,0.618
MIL,35.994,46.006,0.007,0.013,0.036,0.08,0.245
MEM,38.73,43.27,0.005,0.014,0.038,0.111,0.356
PHX,39.897,42.103,0.003,0.007,0.029,0.088,0.372
IND,28.164,53.836,0.002,0.002,0.008,0.013,0.052
DAL,36.572,45.428,0.001,0.006,0.029,0.066,0.225
POR,36.489,45.511,0.0,0.004,0.022,0.059,0.253
CHI,32.318,49.682,0.0,0.004,0.009,0.032,0.139
CHO,27.773,54.227,0.0,0.0,0.0,0.008,0.025
BRK,26.139,55.861,0.0,0.0,0.0,0.004,0.014
SAC,27.628,54.372,0.0,0.0,0.0,0.002,0.018
UTA,28.674,53.326,0.0,0.0,0.0,0.001,0.017
WAS,21.589,60.411,0.0,0.0,0.0,0.0,0.002
NOP,23.486,58.514,0.0,0.0,0.0,0.0,0.001
