simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,66,47,46,24,35,33,37,43,45,47,51,43,35,51,19,39,38,25,21,48,24,50,41,51,47,26,39,59,49,52
1,60,48,43,19,31,41,37,40,41,44,51,35,31,52,29,44,43,28,23,42,23,45,46,47,51,26,49,54,53,55
2,63,45,48,25,31,30,40,43,44,46,51,37,28,51,25,52,38,24,22,50,22,53,42,47,47,18,47,53,55,54
3,60,47,49,30,32,31,32,37,50,43,47,39,34,48,23,48,44,20,20,51,23,51,46,46,51,21,46,55,53,54
4,64,55,44,24,30,38,31,42,37,42,55,39,29,51,26,44,38,25,24,53,21,48,44,48,49,24,41,56,49,60
5,57,48,49,31,30,30,33,36,45,50,55,36,31,58,21,48,41,28,21,43,24,43,46,44,50,20,55,51,51,56
6,64,55,45,23,34,35,36,40,39,43,51,38,31,54,23,43,37,24,21,50,23,49,43,47,57,23,43,60,53,47
7,65,47,44,24,40,36,32,33,45,46,51,36,31,52,19,45,43,23,25,50,24,49,43,52,52,23,42,52,51,56
8,60,49,49,24,32,32,38,44,41,48,48,35,33,53,24,45,36,30,25,47,25,46,49,48,47,22,45,49,51,56
9,63,47,49,27,35,40,35,38,43,42,53,39,34,43,27,44,40,21,16,51,22,48,44,51,49,22,47,58,49,54
10,62,49,44,25,36,33,36,43,40,41,55,34,35,51,23,46,36,24,23,54,23,47,41,50,48,22,46,52,54,58
11,64,42,47,24,38,34,37,35,44,47,53,31,28,49,29,49,36,25,25,56,21,47,43,53,47,21,44,55,48,59
12,60,47,45,24,38,44,36,44,46,47,53,38,26,53,18,40,41,22,24,50,17,45,46,49,45,20,47,59,53,54
13,63,49,43,25,38,31,39,36,40,41,52,36,38,50,22,46,38,25,26,53,21,45,47,53,50,20,43,48,55,58
14,62,47,43,25,36,37,33,42,39,44,52,44,28,53,24,43,40,23,20,47,21,48,46,53,51,25,43,55,53,54
15,63,48,52,29,29,33,40,36,43,43,51,40,32,53,28,45,45,20,20,49,26,44,39,50,49,20,46,55,47,56
16,58,49,40,24,40,35,37,36,44,46,56,36,34,55,22,44,41,21,25,54,25,43,47,48,53,26,42,50,50,50
17,63,45,43,27,30,30,35,36,46,47,53,40,31,50,25,48,43,24,26,51,22,45,43,51,52,25,47,52,44,57
18,62,51,45,27,33,36,32,36,42,45,51,43,32,53,16,39,45,23,21,52,28,48,44,53,48,24,41,53,53,55
19,63,51,47,25,34,34,36,40,37,40,53,40,39,49,25,45,40,26,24,54,20,42,46,50,46,19,46,49,58,53
20,64,47,48,21,31,28,32,39,38,43,51,39,38,56,22,47,33,22,26,48,26,48,45,56,51,26,44,55,52,55
21,63,48,38,22,30,38,38,38,46,39,52,42,32,53,31,47,42,23,19,49,22,49,42,48,54,20,46,52,57,51
22,60,53,52,25,35,38,38,42,43,43,54,37,34,50,18,41,43,25,22,46,20,41,48,48,50,26,43,53,52,51
23,60,51,41,30,39,31,33,40,40,41,51,42,33,57,21,40,40,25,18,50,23,47,49,51,50,23,45,54,51,55
24,62,52,47,22,44,29,45,41,44,39,51,38,33,51,23,40,40,23,19,51,19,43,49,54,54,25,44,47,48,54
25,62,45,46,28,35,34,38,42,39,40,53,40,32,51,20,45,40,30,21,50,23,44,47,46,50,28,43,53,54,52
