simulation,OKC,LAL,DAL,CHO,BOS,ORL,ATL,NYK,CHI,MEM,POR,MIL,UTA,PHX,IND,GSW,BRK,HOU,TOR,SAC,LAC,NOP,PHI,DEN,SAS,DET,CLE,MIA,WAS,MIN
0,61,46,34,20,50,46,45,50,44,39,45,41,32,38,25,45,29,57,37,23,36,27,35,55,45,53,48,46,29,50
1,55,51,35,29,49,55,38,53,32,50,45,43,25,45,14,45,22,50,46,27,45,19,40,44,56,48,52,53,20,45
2,62,58,35,30,46,48,34,49,33,38,41,41,34,52,24,52,28,52,44,21,32,23,44,48,50,52,49,42,19,50
3,67,49,37,29,49,52,46,52,35,33,42,30,30,46,20,37,32,54,38,22,36,18,43,55,49,50,55,45,21,59
4,64,46,32,32,49,33,42,49,38,38,37,30,22,52,31,47,31,46,39,19,43,28,48,54,50,55,47,54,25,50
5,67,43,30,29,55,53,42,55,45,39,44,34,23,40,19,46,25,48,36,28,43,21,39,51,48,57,50,41,28,52
6,67,40,29,32,50,51,49,59,33,39,47,36,23,47,15,51,34,48,48,23,48,17,38,45,51,50,48,41,25,47
7,65,53,35,33,57,48,37,53,40,31,34,39,26,43,20,45,27,52,45,29,36,21,42,56,55,50,45,39,28,47
8,60,42,33,31,45,49,53,54,39,41,33,31,24,49,20,45,23,47,47,22,38,23,29,56,60,53,47,52,29,56
9,70,54,35,27,49,47,43,48,29,41,45,37,28,41,19,41,41,54,42,21,35,22,37,50,53,53,43,55,21,50
10,57,50,33,24,52,47,31,57,35,36,36,36,29,46,26,42,26,46,44,23,45,26,49,59,60,52,46,48,20,50
11,65,45,42,37,56,39,29,52,33,36,38,43,28,52,22,46,31,54,34,24,41,25,46,42,56,56,53,52,15,39
12,61,49,27,20,56,52,39,54,31,40,42,29,30,44,28,44,30,56,47,30,38,26,37,49,49,45,58,44,23,53
13,61,47,40,31,49,42,43,52,31,36,36,42,32,32,23,39,25,52,47,35,46,14,45,45,61,51,51,43,24,56
14,62,41,38,36,55,48,34,57,38,37,36,36,23,41,19,45,30,54,37,27,38,20,49,56,52,59,41,48,20,54
15,66,51,40,26,44,35,44,53,37,36,46,35,31,47,29,40,25,56,42,21,38,22,43,49,55,51,50,49,25,45
16,61,46,40,32,36,41,39,58,41,39,35,39,22,44,26,39,32,51,39,26,44,25,50,58,53,55,47,45,20,48
17,63,48,32,25,51,43,43,57,30,39,33,45,23,40,33,50,31,47,43,19,35,24,43,52,54,60,49,45,21,53
18,65,50,38,29,45,45,39,54,41,47,27,41,35,37,24,40,21,61,32,19,38,26,43,49,57,52,44,54,27,51
19,65,58,31,24,51,42,37,48,39,44,36,25,29,46,28,44,33,58,41,22,44,16,49,52,58,45,44,52,17,53
20,63,51,34,26,53,43,39,52,35,41,41,28,27,44,26,44,30,58,43,25,44,22,39,54,50,55,47,42,25,50
21,64,48,39,25,51,41,46,44,41,36,38,35,34,51,20,41,27,51,35,29,48,21,40,50,52,59,45,46,20,54
22,55,46,35,24,47,47,45,56,40,36,35,36,29,52,28,47,26,45,46,23,45,17,47,53,56,58,46,39,23,49
23,62,48,37,29,45,49,33,60,41,43,37,34,20,42,18,53,39,55,37,17,45,18,46,49,49,56,49,40,31,49
24,69,45,39,25,52,45,45,56,35,40,42,32,23,38,25,46,31,55,39,19,42,20,39,52,51,63,43,52,22,46
25,63,52,34,31,48,49,41,51,31,50,35,28,21,51,19,46,41,55,37,20,37,22,48,52,51,60,42,43,22,51
26,54,48,38,22,49,53,43,58,39,42,33,33,26,52,23,45,20,51,43,24,45,23,39,56,44,55,46,53,21,53
27,64,42,27,37,51,50,38,58,36,28,35,45,25,40,20,48,28,57,36,29,35,19,54,44,54,61,47,50,20,53
28,58,49,41,39,45,40,31,57,33,32,39,40,27,46,19,40,30,55,37,25,41,22,54,59,50,57,55,34,21,55
29,57,53,41,37,47,47,44,53,43,35,40,43,25,34,23,41,22,51,51,17,48,21,45,52,50,56,50,44,18,43
30,66,45,34,32,53,43,37,47,32,38,36,42,24,46,24,43,35,51,44,25,38,17,42,54,50,53,54,47,22,57
31,65,44,30,19,52,51,38,51,44,35,35,30,24,42,14,47,35,55,34,25,41,29,43,51,58,57,53,46,28,55
32,66,47,30,30,54,50,34,58,41,34,33,40,23,37,25,48,25,55,50,19,38,22,44,48,55,51,51,45,24,54
33,62,43,33,24,51,53,36,55,39,38,41,31,28,50,17,46,22,63,47,27,44,18,38,46,58,56,48,43,22,52
34,63,51,19,35,44,56,39,55,37,40,37,32,25,47,23,51,36,54,49,17,40,23,40,48,52,46,45,52,27,48
35,61,47,37,32,49,48,46,54,40,43,38,37,31,44,29,36,25,57,40,14,41,23,42,49,51,57,49,46,24,41
36,61,46,30,20,52,45,35,55,41,47,41,33,24,35,26,46,23,54,49,22,44,22,55,54,40,54,52,51,18,56
37,63,43,28,34,47,39,47,48,49,30,35,32,26,33,22,51,32,50,45,19,47,28,45,53,53,51,50,52,23,56
38,60,48,32,32,58,47,48,56,30,42,36,39,23,48,24,45,25,53,47,22,44,16,41,51,41,58,47,49,18,51
39,58,44,32,33,53,51,45,54,42,44,37,36,27,47,19,47,22,45,47,21,49,25,47,48,49,51,39,51,25,43
40,67,43,41,29,46,50,38,48,31,35,38,37,27,42,29,44,34,52,34,21,38,26,50,53,58,55,49,39,28,49
41,61,55,32,30,52,50,46,51,33,50,44,46,31,30,15,41,34,47,50,21,42,17,36,43,50,57,40,53,27,47
42,62,51,32,29,45,48,39,52,31,41,35,44,30,43,23,47,25,52,38,29,41,26,34,59,52,57,52,48,17,49
43,64,46,32,29,53,60,39,43,33,38,35,39,28,49,26,46,22,54,47,35,42,18,38,53,48,56,49,36,23,50
44,64,48,32,29,57,51,47,49,32,38,27,43,27,43,28,51,31,52,44,20,37,24,54,45,53,50,46,53,17,39
45,64,40,33,28,47,51,39,59,34,36,46,34,25,43,26,52,30,53,45,24,36,26,48,51,51,48,48,47,14,53
46,61,46,32,30,52,45,37,52,33,37,38,42,32,44,17,44,38,54,45,24,40,20,42,48,56,52,49,47,27,47
47,58,55,46,36,48,42,47,50,31,36,43,33,24,37,18,39,39,55,37,25,34,17,45,53,55,61,38,51,25,53
48,58,56,37,35,52,46,37,55,28,38,32,34,23,44,21,46,23,59,47,29,38,23,44,55,54,56,46,46,20,49
49,59,52,31,28,51,48,47,56,36,39,38,40,28,48,24,42,25,47,31,18,35,28,46,49,57,66,47,43,20,52
50,67,57,30,25,53,46,39,51,41,37,37,39,29,51,18,37,31,45,46,24,41,26,46,46,52,48,50,47,25,47
51,55,47,39,33,49,43,41,48,38,38,35,45,31,46,19,37,27,44,45,25,45,27,48,54,58,46,42,52,28,46
52,53,47,40,26,43,50,44,51,42,33,44,43,31,33,17,35,32,52,48,33,45,19,44,58,55,59,43,45,19,47
53,62,46,32,29,57,43,39,59,37,44,35,45,19,40,29,42,31,52,46,21,41,19,43,52,48,45,53,47,24,51
54,67,34,41,34,52,52,42,54,41,31,34,32,29,47,14,49,31,59,36,24,40,27,43,47,47,57,53,49,23,42
55,66,49,42,27,48,49,41,46,34,40,41,37,23,41,24,46,27,53,39,30,35,18,46,51,47,53,53,47,24,54
56,60,46,35,39,50,45,34,50,30,34,35,33,26,49,19,50,37,57,44,25,44,28,46,54,47,53,41,44,26,50
