simulation,OKC,LAL,DAL,CHO,BOS,ORL,ATL,NYK,CHI,MEM,POR,MIL,UTA,PHX,IND,GSW,BRK,HOU,TOR,SAC,LAC,NOP,PHI,DEN,SAS,DET,CLE,MIA,WAS,MIN
0,54,54,26,30,45,48,41,58,38,40,35,31,36,47,27,42,27,58,36,18,39,25,47,51,50,54,48,49,27,50
1,62,46,35,27,52,53,43,60,26,54,38,31,24,39,25,39,29,52,37,26,39,24,52,53,53,51,45,47,24,45
2,63,51,36,28,46,36,40,52,31,39,39,43,24,42,19,40,18,57,50,30,41,21,44,55,52,53,50,53,27,51
3,58,46,31,24,49,46,31,58,38,42,33,34,28,43,24,39,32,50,44,23,46,22,51,54,58,54,47,47,30,49
4,61,51,20,27,49,47,38,55,45,39,36,41,28,50,30,45,26,52,44,31,43,20,40,57,51,44,50,46,15,50
5,63,49,27,31,40,50,45,54,35,38,34,36,22,40,25,52,25,55,43,33,38,20,42,60,55,59,44,47,24,45
6,60,42,37,29,59,42,38,63,32,40,40,29,32,41,18,37,31,53,46,27,45,19,43,49,51,54,51,46,33,44
7,64,49,33,35,50,48,39,55,37,32,31,30,23,40,14,49,31,51,48,21,51,31,49,56,57,49,45,50,20,43
8,69,41,36,24,54,43,36,50,41,41,43,39,23,48,26,46,18,55,41,22,36,19,46,54,54,51,50,46,28,51
9,66,45,36,40,51,49,35,55,25,35,39,39,31,36,28,45,24,56,42,27,40,36,45,50,56,53,33,44,23,47
10,68,44,25,28,56,48,44,51,36,44,35,36,22,47,18,37,29,64,51,30,36,21,49,56,56,47,44,50,14,45
11,63,50,44,28,59,49,38,54,28,39,31,35,37,39,21,43,37,49,47,28,40,21,49,40,49,51,52,37,25,48
12,64,46,34,24,49,48,38,54,39,38,48,37,23,40,20,47,24,62,41,24,43,26,39,42,53,50,53,50,21,54
13,62,52,24,35,51,45,48,53,49,41,34,32,29,34,25,44,29,41,38,29,42,29,41,42,52,51,53,53,23,50
14,62,53,31,34,48,48,45,54,35,42,36,39,33,39,19,39,26,47,48,25,43,20,50,59,42,53,47,51,13,50
15,62,54,38,24,44,45,42,52,33,45,42,38,28,42,22,54,29,48,46,21,45,28,47,44,52,48,47,48,27,36
