simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
0,66,45,43,30,37,33,30,35,38,53,54,35,37,53,23,38,45,18,27,53,22,46,42,49,54,22,46,51,48,58
1,67,44,40,26,39,37,35,44,41,44,49,41,28,54,22,46,45,20,22,56,33,49,46,48,55,25,30,54,42,49
2,64,44,44,25,31,40,41,48,39,42,52,28,37,52,20,48,39,22,26,58,22,50,44,48,45,20,45,53,53,51
3,70,44,41,25,41,36,34,38,46,46,48,26,34,56,22,47,47,20,31,50,23,50,42,52,53,17,44,50,51,47
4,65,50,53,27,33,36,37,43,45,47,48,31,28,53,25,46,38,21,25,51,25,45,39,54,50,19,42,53,41,61
5,62,42,44,25,38,39,38,45,44,47,50,35,36,48,29,42,39,22,24,47,27,46,43,56,50,23,36,57,49,48
6,64,45,44,29,37,40,36,41,42,53,51,28,29,49,22,44,41,21,26,47,28,44,50,51,47,22,47,53,49,51
7,58,52,40,23,39,37,40,36,45,40,45,45,31,48,21,41,42,22,26,54,31,46,44,57,53,21,42,50,53,49
8,65,47,39,32,37,45,33,36,41,49,44,32,31,46,27,50,37,20,29,52,24,47,47,58,50,23,41,51,50,48
9,62,43,41,23,34,39,33,40,47,48,47,33,33,45,23,43,41,27,26,47,25,49,47,56,50,19,49,51,51,59
10,60,41,47,32,33,41,28,40,36,45,52,34,34,55,28,45,45,25,21,54,29,48,42,52,46,23,45,49,51,50
11,61,47,51,18,34,35,27,36,39,46,51,38,32,50,20,49,46,20,22,53,31,51,45,57,54,20,44,48,53,53
12,61,46,36,28,36,37,32,42,43,50,51,36,30,48,18,45,45,18,27,54,24,49,44,49,54,21,49,53,46,59
13,63,48,45,21,44,46,33,42,36,39,60,33,25,51,19,46,40,23,30,47,23,44,49,54,55,22,39,52,47,55
14,57,48,44,25,42,39,33,48,44,47,47,38,29,49,25,42,44,25,18,50,24,45,41,50,51,25,41,53,53,54
15,64,40,52,29,33,40,42,40,46,45,47,34,36,53,21,48,38,18,22,46,22,48,47,49,52,22,41,58,50,48
16,66,48,46,27,35,37,36,41,42,45,47,41,32,53,21,42,42,24,23,42,26,47,41,53,51,23,41,51,50,58
17,67,42,42,27,38,38,34,39,47,49,44,35,32,49,19,43,41,25,21,46,31,44,45,53,51,25,44,56,48,56
18,65,47,45,26,37,35,40,42,37,49,38,37,33,53,20,48,41,22,21,53,30,46,43,52,54,24,48,50,50,45
19,64,52,49,23,39,42,32,40,41,47,47,37,35,44,20,47,38,23,30,49,26,44,43,51,50,22,49,50,46,51
20,60,45,49,32,34,37,38,38,46,52,51,23,35,47,25,47,42,21,26,46,20,51,47,56,54,25,40,46,45,53
21,70,40,44,31,34,36,39,40,37,57,48,32,32,46,22,41,45,25,26,48,29,41,48,51,50,22,46,47,51,53
22,61,49,46,27,36,33,40,38,42,49,53,32,34,46,24,46,34,20,31,48,32,48,42,57,51,23,38,52,52,47
23,66,50,40,21,39,41,34,44,43,43,53,40,28,50,20,47,46,21,21,55,26,40,47,53,45,25,50,49,44,50
24,67,53,40,21,37,35,44,36,42,43,50,39,33,48,25,39,37,26,16,52,33,46,43,57,45,20,42,58,48,56
25,66,44,48,26,34,27,28,43,42,49,52,30,30,54,25,43,37,25,30,54,26,50,44,50,49,22,38,58,50,57
26,63,48,46,27,34,35,35,42,40,50,55,31,35,53,21,46,48,19,21,51,29,44,42,58,53,20,40,50,43,52
27,64,42,42,27,37,45,34,46,42,46,50,25,30,60,26,48,45,18,25,50,26,42,47,46,50,21,51,45,50,51
28,67,46,36,21,41,43,36,39,44,43,54,34,40,52,23,41,40,22,26,56,21,50,41,46,52,24,45,48,48,52
29,63,38,45,26,29,30,37,36,48,42,51,32,38,51,19,43,43,22,24,52,28,46,44,58,53,23,46,55,53,56
30,66,50,50,30,37,39,35,40,40,45,53,30,28,50,27,42,45,18,28,52,29,42,34,43,48,20,46,54,45,65
31,66,35,52,19,33,37,38,43,41,58,54,28,33,47,22,45,41,25,24,48,21,49,43,57,49,23,43,50,46,61
32,63,47,42,22,36,34,34,43,38,49,47,37,31,51,22,47,43,24,23,57,25,45,42,58,46,21,50,53,47,54
33,64,45,49,26,38,31,38,39,40,40,52,41,35,46,24,44,36,21,21,49,28,40,50,57,53,26,44,51,50,53
34,60,44,43,29,43,35,29,44,37,48,45,40,29,55,23,49,43,25,23,53,29,49,43,45,49,23,42,54,47,53
35,62,40,46,25,38,39,28,39,33,44,51,37,36,55,28,43,36,21,26,53,30,46,49,52,56,20,46,47,49,56
