team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,63.802,18.198,64.0,3.419473058820613,59.0,68.0,1.0,0.995,0.884,0.439,0.04,0.26,0.394,0.601,0.805,1.0
CLE,48.456,33.544,48.0,4.035847370751277,43.0,54.0,0.392,0.069,0.002,0.0,0.0,0.105,0.207,0.345,0.604,0.95
NYK,53.269,29.731,53.0,4.060127953648751,48.0,58.0,0.822,0.386,0.056,0.001,0.0,0.097,0.217,0.369,0.642,0.991
HOU,53.111,28.889,53.0,4.031709190901546,48.0,58.0,0.81,0.389,0.05,0.0,0.0,0.071,0.134,0.291,0.601,0.984
DEN,52.236,29.764,52.5,4.37587751199688,46.0,58.0,0.732,0.31,0.05,0.001,0.0,0.07,0.138,0.278,0.597,0.977
DET,53.378,28.622,54.0,4.290351500751425,48.0,59.0,0.813,0.414,0.069,0.004,0.0,0.065,0.15,0.298,0.569,0.987
ORL,46.948,35.052,47.0,4.248446304238763,41.0,52.0,0.299,0.033,0.0,0.0,0.0,0.051,0.115,0.25,0.459,0.86
MIN,48.929,33.071,49.0,4.17012697648405,43.0,54.0,0.456,0.083,0.005,0.0,0.0,0.041,0.071,0.187,0.435,0.919
SAS,51.386,31.614,52.0,4.164733364814607,46.0,56.0,0.68,0.24,0.02,0.0,0.0,0.033,0.075,0.194,0.475,0.971
LAC,40.213,41.787,40.0,4.360003555044423,35.0,45.0,0.012,0.0,0.0,0.0,0.0,0.028,0.048,0.092,0.172,0.416
PHI,44.867,37.133,45.0,4.8192645704505574,39.0,51.0,0.155,0.023,0.002,0.0,0.0,0.027,0.061,0.119,0.278,0.756
BOS,49.884,32.116,50.0,4.392555520423162,44.0,55.0,0.554,0.139,0.007,0.0,0.0,0.024,0.076,0.204,0.463,0.93
LAL,46.903,35.097,47.0,4.452593738485469,41.0,53.0,0.292,0.035,0.0,0.0,0.0,0.021,0.05,0.117,0.315,0.835
GSW,45.05,36.95,45.0,4.337914245348794,39.0,50.0,0.16,0.007,0.0,0.0,0.0,0.019,0.043,0.122,0.288,0.746
ATL,41.935,40.065,42.0,4.263657467480239,36.0,47.0,0.031,0.001,0.0,0.0,0.0,0.018,0.063,0.134,0.279,0.604
TOR,44.459,37.541,45.0,4.4168222739883936,39.0,50.0,0.117,0.01,0.0,0.0,0.0,0.017,0.043,0.105,0.277,0.741
PHX,42.54,39.46,42.0,4.672515382532197,36.0,49.0,0.07,0.003,0.0,0.0,0.0,0.016,0.021,0.048,0.13,0.496
MIL,36.89,45.11,37.0,4.762131875536418,30.0,43.0,0.002,0.0,0.0,0.0,0.0,0.013,0.02,0.043,0.098,0.234
MEM,39.259,42.741,39.0,4.68955424320905,33.0,45.0,0.017,0.0,0.0,0.0,0.0,0.011,0.017,0.042,0.097,0.326
MIA,45.327,36.673,45.0,4.525270268171836,40.0,51.0,0.184,0.016,0.0,0.0,0.0,0.009,0.042,0.115,0.281,0.761
POR,38.291,43.709,38.0,4.839247772123266,32.0,45.0,0.006,0.002,0.0,0.0,0.0,0.003,0.007,0.02,0.061,0.247
BRK,26.707,55.293,26.0,4.835199168596884,21.0,33.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.005,0.007,0.014
CHI,35.075,46.925,35.0,4.63350569223779,29.0,41.0,0.002,0.0,0.0,0.0,0.0,0.0,0.004,0.01,0.032,0.133
DAL,34.134,47.866,34.0,4.530567734842952,28.0,40.0,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.022,0.077
CHO,30.343,51.657,30.0,5.036799678367207,24.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.01,0.035
UTA,24.607,57.393,24.0,4.2242811222739425,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004
IND,21.536,60.464,21.0,4.721091399242341,16.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003
SAC,24.269,57.731,24.0,4.500293212669592,19.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002
WAS,23.591,58.409,23.0,4.019915297615112,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
NOP,23.605,58.395,23.0,4.344303741682895,18.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
