team,wins,losses,wins_median,wins_std,wins_10th,wins_90th,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,champion,finals,conference_finals,second_round,playoffs
OKC,62.984,19.016,63.0,2.8572266273433753,59.0,67.0,1.0,0.998,0.894,0.306,0.007,0.441,0.573,0.736,0.879,1.0
CLE,48.313,33.687,48.0,3.380980774864004,44.0,53.0,0.379,0.027,0.0,0.0,0.0,0.084,0.19,0.342,0.59,0.957
DET,54.993,27.007,55.0,3.622561386643434,50.0,59.0,0.936,0.559,0.093,0.002,0.0,0.064,0.195,0.338,0.641,0.999
NYK,49.518,33.482,49.0,3.50452222135914,45.0,54.0,0.496,0.081,0.001,0.0,0.0,0.056,0.187,0.334,0.594,0.975
HOU,51.096,30.904,51.0,3.3314837535248465,47.0,55.10000000000002,0.688,0.151,0.0,0.0,0.0,0.053,0.095,0.259,0.58,0.982
BOS,50.318,31.682,50.0,3.397480831439671,46.0,55.0,0.605,0.111,0.002,0.0,0.0,0.051,0.15,0.325,0.607,0.979
SAS,52.495,30.505,52.0,3.399113855109887,48.0,57.0,0.816,0.277,0.018,0.0,0.0,0.048,0.081,0.251,0.571,0.992
MIN,48.395,33.605,48.5,3.4823806512212303,44.0,53.0,0.378,0.029,0.0,0.0,0.0,0.039,0.075,0.194,0.445,0.904
DEN,51.096,30.904,51.0,3.216330828755027,47.0,55.0,0.687,0.15,0.004,0.0,0.0,0.038,0.07,0.222,0.54,0.984
ORL,44.339,37.661,44.0,3.463246886954495,40.0,49.0,0.073,0.002,0.0,0.0,0.0,0.023,0.078,0.163,0.362,0.79
GSW,45.114,36.886,45.0,3.249462109334405,41.0,49.0,0.082,0.003,0.0,0.0,0.0,0.02,0.03,0.104,0.271,0.765
TOR,46.696,35.304,47.0,3.3748457742539886,43.0,51.0,0.204,0.012,0.0,0.0,0.0,0.014,0.057,0.159,0.34,0.895
PHI,45.046,36.954,45.0,3.478488752317592,41.0,50.0,0.11,0.003,0.0,0.0,0.0,0.012,0.057,0.13,0.321,0.829
LAC,41.415,40.585,41.0,3.4857961787803946,37.0,46.0,0.005,0.0,0.0,0.0,0.0,0.012,0.019,0.048,0.107,0.407
MIA,43.478,38.522,43.0,3.5599882022276423,39.0,48.0,0.051,0.001,0.0,0.0,0.0,0.01,0.045,0.102,0.243,0.655
ATL,41.432,40.568,42.0,3.387237222280128,37.0,46.0,0.002,0.0,0.0,0.0,0.0,0.009,0.032,0.08,0.207,0.527
PHX,45.802,36.198,46.0,3.5750239160039197,41.0,50.0,0.151,0.007,0.0,0.0,0.0,0.009,0.023,0.082,0.239,0.748
LAL,45.882,36.118,46.0,3.5284665224428586,42.0,51.0,0.147,0.005,0.0,0.0,0.0,0.009,0.02,0.069,0.259,0.755
POR,41.271,40.729,41.0,3.4836129233885904,37.0,46.0,0.009,0.0,0.0,0.0,0.0,0.005,0.009,0.023,0.077,0.321
CHI,38.376,43.624,38.0,3.740938919576207,34.0,43.0,0.002,0.0,0.0,0.0,0.0,0.002,0.003,0.01,0.044,0.218
MEM,36.728,45.272,37.0,3.705133735777968,32.0,41.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.012,0.024,0.089
MIL,35.855,46.145,36.0,4.033605707056653,31.0,41.0,0.001,0.0,0.0,0.0,0.0,0.0,0.003,0.012,0.034,0.11
CHO,34.798,47.202,35.0,3.821674502099832,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.005,0.017,0.066
DAL,35.3,46.7,35.0,3.7226334764518523,31.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.053
UTA,26.345,55.655,26.0,3.362138456399438,22.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC,24.008,57.992,24.0,3.4017548412547307,20.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRK,23.669,58.331,23.5,3.3339824534631255,19.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,22.662,59.338,23.0,3.5524295911389996,18.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOP,22.448,59.552,22.0,3.4344280455412077,18.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAS,21.128,60.872,21.0,2.9620290342938906,17.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
